symbol,60_events,60_gross_sum,60_gross_mean,60_median,60_positive_fraction,60_net_mean_10bps
MSTR,1,0.0809341685649203,0.0809341685649203,0.0809341685649203,1.0,0.0789341685649203
AAPL,3,0.06411787640218258,0.021372625467394196,-0.004232266802099205,0.3333333333333333,0.019372625467394197
INCY,5,0.062464844017774634,0.012492968803554928,0.011241667608179684,0.8,0.010492968803554928
GLD,2,0.047059996699780005,0.023529998349890002,0.023529998349890002,1.0,0.02152999834989
NVDA,3,0.04408979523975942,0.01469659841325314,0.014179463855743979,1.0,0.01269659841325314
WBA,1,0.04236453201970436,0.04236453201970436,0.04236453201970436,1.0,0.04036453201970436
INTC,5,0.040509921182952824,0.008101984236590564,0.015608180839612684,0.6,0.006101984236590564
APP,2,0.031219021154277327,0.015609510577138663,0.015609510577138663,0.5,0.013609510577138663
AAL,3,0.03078768374747065,0.010262561249156884,0.01623237932507471,0.6666666666666666,0.008262561249156884
TSLA,3,0.029980883530427604,0.009993627843475869,0.011412321799914915,0.6666666666666666,0.007993627843475869
SNDK,2,0.028855778008614497,0.014427889004307248,0.014427889004307248,1.0,0.012427889004307248
MU,3,0.027551956593325322,0.00918398553110844,0.0126189089497184,0.6666666666666666,0.007183985531108441
CDNS,1,0.027408892984262856,0.027408892984262856,0.027408892984262856,1.0,0.025408892984262854
CHKP,1,0.025950589670597823,0.025950589670597823,0.025950589670597823,1.0,0.02395058967059782
AXON,3,0.025244747139788748,0.008414915713262916,0.004878658994245555,1.0,0.006414915713262916
UAL,6,0.02370288907808593,0.003950481513014322,0.0029360190460981928,0.6666666666666666,0.0019504815130143216
EBAY,1,0.023489331181638873,0.023489331181638873,0.023489331181638873,1.0,0.02148933118163887
SMCI,2,0.02332171546484796,0.01166085773242398,0.01166085773242398,1.0,0.00966085773242398
MDB,4,0.02128034381879529,0.005320085954698822,0.010161152710964183,0.75,0.003320085954698822
TEAM,2,0.020776679698324862,0.010388339849162431,0.010388339849162431,1.0,0.008388339849162431
FANG,2,0.02023487321292783,0.010117436606463914,0.010117436606463914,1.0,0.008117436606463914
HSIC,1,0.01997987638349863,0.01997987638349863,0.01997987638349863,1.0,0.017979876383498627
DOCU,3,0.017837922782320104,0.005945974260773368,0.009920634920634885,0.6666666666666666,0.003945974260773368
BKR,2,0.01469131020018466,0.00734565510009233,0.00734565510009233,1.0,0.00534565510009233
SOLS,1,0.014098646294062434,0.014098646294062434,0.014098646294062434,1.0,0.012098646294062433
LRCX,3,0.013838068272142845,0.004612689424047615,-0.0011549249298795639,0.3333333333333333,0.0026126894240476152
VRSK,1,0.013752455795677632,0.013752455795677632,0.013752455795677632,1.0,0.011752455795677632
RIVN,3,0.013329434547250218,0.0044431448490834064,-0.010318062226716496,0.3333333333333333,0.0024431448490834064
PYPL,3,0.011814356719740515,0.003938118906580172,0.006593787957660968,0.6666666666666666,0.001938118906580172
AMAT,3,0.011311016765553572,0.0037703389218511907,0.005684537860500827,0.6666666666666666,0.0017703389218511906
CEG,1,0.011249291725252464,0.011249291725252464,0.011249291725252464,1.0,0.009249291725252464
ROST,2,0.010726547969694078,0.005363273984847039,0.005363273984847039,1.0,0.003363273984847039
DASH,1,0.010638952093967147,0.010638952093967147,0.010638952093967147,1.0,0.008638952093967147
ROP,1,0.008757758693988649,0.008757758693988649,0.008757758693988649,1.0,0.006757758693988649
ON,3,0.00797626306191368,0.0026587543539712266,0.0005971931919974693,0.6666666666666666,0.0006587543539712266
META,1,0.00767933326718917,0.00767933326718917,0.00767933326718917,1.0,0.00567933326718917
AVGO,2,0.007622095821521957,0.0038110479107609785,0.0038110479107609785,0.5,0.0018110479107609784
CTSH,2,0.007508587180672599,0.0037542935903362995,0.0037542935903362995,1.0,0.0017542935903362995
ARKK,2,0.006996802192782092,0.003498401096391046,0.003498401096391046,0.5,0.001498401096391046
MRVL,2,0.0066052433064754945,0.0033026216532377473,0.0033026216532377473,0.5,0.0013026216532377472
FTNT,2,0.005942787063416111,0.0029713935317080553,0.0029713935317080553,0.5,0.0009713935317080553
BKNG,1,0.005821202336024456,0.005821202336024456,0.005821202336024456,1.0,0.0038212023360244558
ORLY,1,0.005644992682416916,0.005644992682416916,0.005644992682416916,1.0,0.003644992682416916
LULU,1,0.005051348255712407,0.005051348255712407,0.005051348255712407,1.0,0.0030513482557124067
USO,6,0.004652324139480135,0.0007753873565800226,-0.0018818440210451315,0.3333333333333333,-0.0012246126434199774
CTAS,1,0.004428421381326819,0.004428421381326819,0.004428421381326819,1.0,0.002428421381326819
SMH,2,0.004388174016097146,0.002194087008048573,0.002194087008048573,0.5,0.000194087008048573
SPY,1,0.004283001333387215,0.004283001333387215,0.004283001333387215,1.0,0.002283001333387215
GILD,1,0.004161484741222576,0.004161484741222576,0.004161484741222576,1.0,0.0021614847412225763
VOO,1,0.0041537548625305565,0.0041537548625305565,0.0041537548625305565,1.0,0.0021537548625305564
IVV,1,0.0040615260882677084,0.0040615260882677084,0.0040615260882677084,1.0,0.0020615260882677084
LIN,1,0.0037793521787550244,0.0037793521787550244,0.0037793521787550244,1.0,0.0017793521787550243
STX,4,0.003470609509715339,0.0008676523774288347,0.005109259503632613,0.75,-0.0011323476225711653
AZN,1,0.0029448233106013078,0.0029448233106013078,0.0029448233106013078,1.0,0.0009448233106013077
QQQ,1,0.002906278522361694,0.002906278522361694,0.002906278522361694,1.0,0.0009062785223616938
ODFL,5,0.002880631165090186,0.0005761262330180372,0.0038708735027752628,0.8,-0.0014238737669819627
MSFT,1,0.002643707410863172,0.002643707410863172,0.002643707410863172,1.0,0.0006437074108631719
CSX,3,0.0025935653837163564,0.0008645217945721188,0.0006123067596239817,0.6666666666666666,-0.0011354782054278814
AMZN,1,0.002369067103109579,0.002369067103109579,0.002369067103109579,1.0,0.00036906710310957887
XLI,1,0.0021658147795200478,0.0021658147795200478,0.0021658147795200478,1.0,0.0001658147795200477
XLF,1,0.001957623215108173,0.001957623215108173,0.001957623215108173,1.0,-4.23767848918271e-05
XLE,1,0.0019490644490645082,0.0019490644490645082,0.0019490644490645082,1.0,-5.093555093549189e-05
COST,1,0.0016572744045528776,0.0016572744045528776,0.0016572744045528776,1.0,-0.0003427255954471225
NFLX,1,0.0015639534883720163,0.0015639534883720163,0.0015639534883720163,1.0,-0.00043604651162798373
XLK,1,0.0011122851899225683,0.0011122851899225683,0.0011122851899225683,1.0,-0.0008877148100774317
ADBE,1,0.0010990316639931663,0.0010990316639931663,0.0010990316639931663,1.0,-0.0009009683360068337
DIA,1,0.0008276598584968653,0.0008276598584968653,0.0008276598584968653,1.0,-0.0011723401415031347
DLTR,4,0.0005409098177128202,0.00013522745442820505,0.00297083457464975,0.75,-0.001864772545571795
OKTA,1,-0.00012881617931204126,-0.00012881617931204126,-0.00012881617931204126,0.0,-0.0021288161793120413
MAR,1,-0.00030653147842485406,-0.00030653147842485406,-0.00030653147842485406,0.0,-0.002306531478424854
SNPS,1,-0.00030946065428816283,-0.00030946065428816283,-0.00030946065428816283,0.0,-0.002309460654288163
PCAR,2,-0.0007887948421306801,-0.00039439742106534004,-0.00039439742106534004,0.5,-0.00239439742106534
JD,4,-0.0008097772247114277,-0.00020244430617785691,0.001627701577402163,0.5,-0.002202444306177857
XLY,1,-0.0008981195621666771,-0.0008981195621666771,-0.0008981195621666771,0.0,-0.002898119562166677
CRWD,3,-0.0010789553098552451,-0.00035965176995174836,-0.0010062893081760338,0.3333333333333333,-0.0023596517699517486
INTU,1,-0.001183382524920673,-0.001183382524920673,-0.001183382524920673,0.0,-0.003183382524920673
CPRT,2,-0.001236000565763451,-0.0006180002828817255,-0.0006180002828817255,0.5,-0.0026180002828817255
XLC,1,-0.001270354544404606,-0.001270354544404606,-0.001270354544404606,0.0,-0.003270354544404606
ISRG,2,-0.0016736539231108072,-0.0008368269615554036,-0.0008368269615554036,0.5,-0.0028368269615554036
HAS,2,-0.00233497844990449,-0.001167489224952245,-0.001167489224952245,0.5,-0.003167489224952245
HON,1,-0.002662974009373653,-0.002662974009373653,-0.002662974009373653,0.0,-0.004662974009373653
LBTYA,1,-0.0029850746268658135,-0.0029850746268658135,-0.0029850746268658135,0.0,-0.0049850746268658135
AMD,4,-0.0031162720930842935,-0.0007790680232710734,-0.0028142426054634795,0.25,-0.0027790680232710734
ABNB,1,-0.0031597089237839215,-0.0031597089237839215,-0.0031597089237839215,0.0,-0.005159708923783922
SBUX,2,-0.003166211173018074,-0.001583105586509037,-0.001583105586509037,0.5,-0.003583105586509037
NTAP,2,-0.003446181452247621,-0.0017230907261238104,-0.0017230907261238104,0.0,-0.0037230907261238105
BIDU,1,-0.003699236027342123,-0.003699236027342123,-0.003699236027342123,0.0,-0.005699236027342123
ARM,3,-0.0048203047747708005,-0.0016067682582569336,-0.00011534249981648426,0.3333333333333333,-0.003606768258256934
PANW,2,-0.004983906028923735,-0.0024919530144618673,-0.0024919530144618673,0.5,-0.004491953014461867
CSCO,1,-0.005187863543468008,-0.005187863543468008,-0.005187863543468008,0.0,-0.007187863543468008
ILMN,3,-0.0062886380525504215,-0.002096212684183474,-0.001115388766955716,0.3333333333333333,-0.004096212684183474
PLTR,2,-0.006543994881743065,-0.0032719974408715324,-0.0032719974408715324,0.5,-0.0052719974408715325
FOX,1,-0.007296466973886195,-0.007296466973886195,-0.007296466973886195,0.0,-0.009296466973886195
SHOP,2,-0.007418955454333798,-0.003709477727166899,-0.003709477727166899,0.5,-0.005709477727166899
FOXA,2,-0.008488256575511888,-0.004244128287755944,-0.004244128287755944,0.0,-0.006244128287755944
CHTR,2,-0.00911473695786058,-0.00455736847893029,-0.00455736847893029,0.5,-0.0065573684789302904
FAST,1,-0.009529997834091475,-0.009529997834091475,-0.009529997834091475,0.0,-0.011529997834091475
WYNN,1,-0.009971194327498267,-0.009971194327498267,-0.009971194327498267,0.0,-0.011971194327498267
WBD,2,-0.010045198837252967,-0.005022599418626483,-0.005022599418626483,0.5,-0.007022599418626483
WDC,3,-0.010369298527796889,-0.003456432842598963,-0.0027499691014707395,0.0,-0.0054564328425989635
EA,2,-0.010695624987595354,-0.005347812493797677,-0.005347812493797677,0.5,-0.007347812493797677
ADSK,4,-0.010890564522448631,-0.002722641130612158,-0.0011507500477713206,0.5,-0.004722641130612158
IWM,1,-0.012434082708853822,-0.012434082708853822,-0.012434082708853822,0.0,-0.014434082708853822
TXN,2,-0.012816526449155763,-0.0064082632245778814,-0.0064082632245778814,0.0,-0.008408263224577881
MCHP,2,-0.013170206963939557,-0.0065851034819697785,-0.0065851034819697785,0.0,-0.008585103481969779
GEHC,3,-0.01443109650332719,-0.004810365501109064,-0.0019436345966957758,0.3333333333333333,-0.006810365501109064
CDW,2,-0.01750519441483045,-0.008752597207415225,-0.008752597207415225,0.0,-0.010752597207415225
SIRI,1,-0.017802197802197828,-0.017802197802197828,-0.017802197802197828,0.0,-0.01980219780219783
GOOGL,2,-0.019314080994668137,-0.009657040497334068,-0.009657040497334068,0.5,-0.011657040497334068
GOOG,2,-0.019436864726723235,-0.009718432363361618,-0.009718432363361618,0.5,-0.011718432363361618
AMGN,2,-0.01979577358509066,-0.00989788679254533,-0.00989788679254533,0.0,-0.01189788679254533
DDOG,3,-0.02038317381414756,-0.00679439127138252,-0.001877898286896884,0.3333333333333333,-0.00879439127138252
CMCSA,2,-0.020736365114735644,-0.010368182557367822,-0.010368182557367822,0.0,-0.012368182557367822
ADI,3,-0.020762079286519075,-0.006920693095506358,-0.01273250014668792,0.3333333333333333,-0.008920693095506358
GFS,4,-0.021895346229303447,-0.005473836557325862,-0.004999569091311495,0.25,-0.007473836557325862
MTCH,4,-0.02292067097558248,-0.00573016774389562,-0.0028644495006803217,0.5,-0.00773016774389562
NXPI,3,-0.02379408669868277,-0.007931362232894257,-0.005471440026413865,0.3333333333333333,-0.009931362232894257
CSGP,5,-0.024766863968925246,-0.004953372793785049,0.00023932987634633918,0.6,-0.006953372793785049
QCOM,3,-0.024915903195546596,-0.0083053010651822,-0.01136096529029218,0.3333333333333333,-0.0103053010651822
ASML,1,-0.024973982221861313,-0.024973982221861313,-0.024973982221861313,0.0,-0.026973982221861315
TTWO,1,-0.02525331955334864,-0.02525331955334864,-0.02525331955334864,0.0,-0.027253319553348643
ENPH,2,-0.027314891735301994,-0.013657445867650997,-0.013657445867650997,0.0,-0.015657445867651
TCOM,2,-0.02822569587124213,-0.014112847935621065,-0.014112847935621065,0.0,-0.016112847935621066
PDD,2,-0.04230148379515275,-0.021150741897576375,-0.021150741897576375,0.0,-0.023150741897576377
TTD,3,-0.04504135609045079,-0.015013785363483597,-0.015529308836395472,0.3333333333333333,-0.017013785363483597
LITE,3,-0.0474080904603662,-0.01580269682012207,-0.025013164823591283,0.3333333333333333,-0.017802696820122067
SWKS,4,-0.050088419536681306,-0.012522104884170326,-0.00655803094827484,0.0,-0.014522104884170326
EXPE,6,-0.06183399545136348,-0.01030566590856058,-0.010204683191615216,0.0,-0.01230566590856058
MRNA,4,-0.07083444531600913,-0.017708611329002283,-0.01755239574272105,0.25,-0.019708611329002285
SOXL,5,-0.07188930733117216,-0.014377861466234432,-0.027697935719885103,0.4,-0.016377861466234434
FI,3,-0.07623352724459964,-0.02541117574819988,-0.011627906976743985,0.0,-0.02741117574819988
SQQQ,5,-0.08720104044809962,-0.017440208089619925,0.013578036407042804,0.8,-0.019440208089619923
VIXY,4,-0.11825634853614087,-0.029564087134035216,0.00476341162042937,0.75,-0.03156408713403522
TQQQ,6,-0.15562848599070456,-0.02593808099845076,-0.0291263598240884,0.16666666666666666,-0.027938080998450757
SOXS,3,-0.2619812318736502,-0.08732707729121673,-0.005079825834542806,0.3333333333333333,-0.08932707729121674
