formation,absolute,relative,hold,candidate_events,portfolio_events,portfolio_clusters,net,net_ex_20250407,max_drawdown,recovery_days,unresolved,positive_event_fraction,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,18m_events,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,15m_events,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months,12m_events
45,0.06,10.0,30,59,50,48,0.10624538621213109,-0.06001702422416243,0.17716978648998266,386,True,0.62,0.1062453862121311,0.0059025214562295055,0.0023586305973554173,7,0,50,0.10130684150147562,0.006753789433431708,0.0011220730565095777,6,0,46,0.07178195677219613,0.005981829731016345,0.0038302116367932033,4,0,35
45,0.06,8.0,15,83,72,67,0.08953407527647883,-0.02402597223491649,0.16445838522548667,386,True,0.5277777777777778,0.08953407527647886,0.004974115293137714,0.0023898090426513526,8,0,72,0.09060090281291783,0.006040060187527855,0.0020858051539554036,7,0,66,0.02256336244285961,0.0018802802035716342,2.9246312860337596e-05,6,0,47
45,0.06,10.0,15,59,50,48,0.0845080858906613,-0.09818977080801328,0.14499849780531798,386,True,0.54,0.0845080858906613,0.004694893660592295,0.003936145728433539,9,0,50,0.07472495512861835,0.004981663675241223,-0.0014048102356772896,8,0,46,0.016248799735490795,0.0013540666446242328,-0.0024737638056387366,7,0,35
45,0.04,10.0,60,146,106,99,0.07121592772314422,-0.1309323974230766,0.2293847478794009,386,True,0.6037735849056604,0.07121592772314429,0.0039564404290635714,0.001248117806416875,9,0,106,0.06021164443228749,0.004014109628819166,0.007501904017222399,7,0,97,-0.04284547634041274,-0.0035704563617010615,0.0006741841743218638,6,0,78
45,0.04,10.0,5,146,125,110,0.06760844853363496,-0.028385231977614597,0.09457086898252694,386,True,0.568,0.067608448533635,0.0037560249185352775,0.001798062826430808,7,0,125,0.056531758326635706,0.0037687838884423804,0.0019457733144693304,6,0,114,-0.010837493307837944,-0.0009031244423198287,-0.0006141094344663742,6,0,94
45,0.06,10.0,5,59,51,49,0.029721649298215344,-0.058998460888459246,0.089629008733097,386,True,0.5294117647058824,0.029721649298215372,0.001651202738789743,0.001133227555664031,9,0,51,0.020466350782335233,0.0013644233854890155,-0.0005528219971055997,8,0,47,-0.018064521544289,-0.0015053767953574165,-0.0050509662935291294,8,0,36
45,0.06,8.0,5,83,75,70,-0.016394496317907174,-0.07767526610411044,0.0961261812880849,386,True,0.48,-0.016394496317907105,-0.0009108053509948392,0.0010995841301498811,8,0,75,0.014803602574126178,0.0009869068382750785,0.003271194940327687,6,0,68,-0.007387914061948549,-0.0006156595051623791,0.001829157072198999,5,0,48
45,0.06,10.0,60,59,50,48,0.055099610452186254,-0.14704871469403458,0.24747972045813033,386,True,0.54,0.055099610452186254,0.003061089469565903,0.007026628817084047,9,0,50,0.0029348036237170083,0.00019565357491446722,-0.0001727879666153509,8,0,46,0.023369518644575274,0.0019474598870479396,0.008703308699796075,6,0,35
45,0.04,8.0,5,250,194,181,-0.02935607849517869,-0.12064668995573397,0.1045530667641998,224,True,0.4587628865979381,-0.0293560784951786,-0.0016308932497321445,-0.004299407629326348,10,0,194,-0.004695297748411617,-0.0003130198498941078,-0.004047536364846466,8,0,170,-0.006455848475219383,-0.0005379873729349486,0.0002967887825558978,6,0,134
45,0.06,8.0,30,83,68,65,0.052244672626349464,-0.03985048221512655,0.18819947022909855,386,True,0.5294117647058824,0.052244672626349485,0.0029024818125749714,-0.0009820317301376088,9,0,68,-0.012144340601124215,-0.0008096227067416143,-0.0020912707531409724,8,0,62,-0.027716204173660046,-0.002309683681138337,-0.001972135146750649,6,0,43
45,0.06,6.0,15,130,109,99,-0.04762785290259433,-0.16849698855031436,0.2182332303843345,386,True,0.4954128440366973,-0.047627852902594234,-0.002645991827921902,0.005977971909677697,8,0,109,-0.021077772844349682,-0.0014051848562899789,0.00496950522212126,7,0,100,-0.019514567317213738,-0.0016262139431011448,0.0077902465475299144,5,0,66
