variant,K,M,breadth,execution,state,full_gross_simple_return,mean_decision_bps,break_even_cost_bps_per_side,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,average_month_18m,negative_months_18m,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
K6_M3_decile_source_cc_high_market_vol,6,3,decile,source_cc,high_market_vol,0.11763482423260226,2.1006218612964687,1.0503109306482343,0.06095219970529151,266,True,560,112,0.006535268012922348,2,0.007842321615506818,2,0.008379417742852781,1
K6_M3_decile_actionable_oc_high_market_vol,6,3,decile,actionable_oc,high_market_vol,0.11413589472767431,2.0381409772798986,1.0190704886399493,0.06201191210947706,266,True,560,112,0.00634088304042635,2,0.00760905964851162,2,0.008306287995818666,1
K6_M2_decile_source_cc_high_market_vol,6,2,decile,source_cc,high_market_vol,0.09316556292362221,1.3863923054110452,0.6931961527055226,0.030941863970438455,272,True,672,112,0.005175864606867901,5,0.006211037528241483,5,0.005895022741846122,3
K6_M3_quintile_source_cc_high_market_vol,6,3,quintile,source_cc,high_market_vol,0.09084957069552935,1.622313762420167,0.8111568812100834,0.04612726956431706,78,False,560,112,0.005047198371973853,3,0.006056638046368623,3,0.008008605661055776,1
K6_M2_decile_actionable_oc_high_market_vol,6,2,decile,actionable_oc,high_market_vol,0.08926903073343515,1.328408195438023,0.6642040977190115,0.03242495001562206,291,True,672,112,0.004959390596301953,5,0.005951268715562344,5,0.005783583271630664,3
K6_M3_quintile_actionable_oc_high_market_vol,6,3,quintile,actionable_oc,high_market_vol,0.08894654809458485,1.5883312159747291,0.7941656079873646,0.04714355467959107,78,False,560,112,0.0049414748941436016,3,0.005929769872972322,3,0.007981439195418806,1
K6_M4_quintile_source_cc_high_market_vol,6,4,quintile,source_cc,high_market_vol,0.0852532350085475,1.9029739957265068,0.9514869978632534,0.041369891230258596,85,False,448,112,0.004736290833808194,3,0.005683549000569833,3,0.0075004961119942044,1
K2_M6_decile_source_cc_high_market_vol,2,6,decile,source_cc,high_market_vol,0.08384820805092348,1.2477411912339795,0.6238705956169898,0.082292717778035,182,True,672,112,0.004658233780606859,5,0.005589880536728233,5,0.0022464568808739697,4
K6_M4_quintile_actionable_oc_high_market_vol,6,4,quintile,actionable_oc,high_market_vol,0.08353571125953912,1.8646364120432835,0.9323182060216417,0.041562540233192544,85,False,448,112,0.004640872847752174,3,0.005569047417302608,3,0.00748241478283018,1
K1_M1_quintile_source_cc_high_noise,1,1,quintile,source_cc,high_noise,0.06836938322558848,0.5308181927452521,0.26540909637262605,0.0341075631981072,301,True,1288,285,0.0037982990680882484,8,0.005403261786675402,7,0.0019708096326950756,6
K6_M2_quintile_source_cc_high_market_vol,6,2,quintile,source_cc,high_market_vol,0.08077096240449053,1.2019488453049185,0.6009744226524593,0.03851154338674043,161,False,672,112,0.0044872756891383625,1,0.005384730826966034,1,0.006095784834750866,1
K6_M2_quintile_actionable_oc_high_market_vol,6,2,quintile,actionable_oc,high_market_vol,0.07863008512039077,1.1700905523867675,0.5850452761933838,0.039246167002187554,161,False,672,112,0.004368338062243932,1,0.005242005674692718,1,0.006062418275578265,1
K2_M6_decile_actionable_oc_high_market_vol,2,6,decile,actionable_oc,high_market_vol,0.07757980991186321,1.154461457021773,0.5772307285108865,0.08321667439024236,182,True,672,112,0.004309989439547956,5,0.005171987327457546,5,0.001735912549688833,4
K6_M4_decile_source_cc_high_market_vol,6,4,decile,source_cc,high_market_vol,0.07672410260898566,1.7125915760934303,0.8562957880467151,0.05772061390110296,331,True,448,112,0.0042624501449436475,4,0.005114940173932377,4,0.007404845541673827,2
