variant,model,K,M,breadth,weight,cost_bps_per_side,full_net_simple_return,mean_decision_net_bps_scaled,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,top_5_day_profit_share,average_month_18m,negative_months_18m,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
return_risk_K4_M4_decile_strength_capped_c1,return_risk,4,4,decile,strength_capped,1,0.14288040450984185,2.12619649568217,0.06455828294404511,290,True,672,112,1.3348996508941924,0.00793780025054677,5,0.009525360300656123,5,0.0023694253201351286,4
return_risk_K6_M3_decile_strength_capped_c1,return_risk,6,3,decile,strength_capped,1,0.13455916781527766,2.4028422824156723,0.06382800636138763,183,False,560,112,1.1620363598037557,0.007475509323070981,5,0.008970611187685178,5,0.0034049997406153786,4
full_proxy_K4_M4_decile_strength_capped_c1,full_proxy,4,4,decile,strength_capped,1,0.133192673917076,1.9820338380517255,0.05937756670175908,293,True,672,112,1.400929070892711,0.007399592995393112,5,0.008879511594471734,5,0.001782637780894203,4
full_proxy_K6_M3_decile_strength_capped_c1,full_proxy,6,3,decile,strength_capped,1,0.13083811872858336,2.336394977296132,0.05810153389098782,183,False,560,112,1.1673044012293685,0.007268784373810188,5,0.008722541248572227,5,0.0026448823234158946,4
beta_only_K4_M4_decile_strength_capped_c1,beta_only,4,4,decile,strength_capped,1,0.13064569903222717,1.9441324260748094,0.06221028196898399,345,True,672,112,1.5059491714256583,0.007258094390679287,4,0.008709713268815145,4,0.0014238396700133344,3
beta_only_K6_M3_decile_strength_capped_c1,beta_only,6,3,decile,strength_capped,1,0.12682471304942824,2.2647270187397908,0.05743600368972486,183,False,560,112,1.3237585481819403,0.007045817391634904,6,0.008454980869961883,6,0.0018448762251518864,5
full_proxy_K6_M2_decile_strength_capped_c1,full_proxy,6,2,decile,strength_capped,1,0.1243093745461288,1.8498418831269168,0.07918522842377013,330,False,672,112,1.5082962735646417,0.006906076363673822,5,0.008287291636408586,5,0.0018083071234018275,4
return_risk_K6_M2_decile_strength_capped_c1,return_risk,6,2,decile,strength_capped,1,0.12051895011787488,1.793436757706471,0.08108731405908573,329,False,672,112,1.5835155893789046,0.006695497228770826,5,0.00803459667452499,5,0.002433444848869077,4
return_risk_K4_M4_quintile_strength_capped_c1,return_risk,4,4,quintile,strength_capped,1,0.11892103021452527,1.7696581877161497,0.05659584540791357,293,True,672,112,1.4969277402960925,0.006606723900806959,5,0.007928068680968351,5,0.0014507012985991545,4
full_proxy_K4_M4_quintile_strength_capped_c1,full_proxy,4,4,quintile,strength_capped,1,0.11811037172178052,1.7575948172884002,0.056344977961859735,293,True,672,112,1.4851134216966126,0.0065616873178766955,5,0.007874024781452032,5,0.0017026959040843022,4
return_risk_K6_M3_decile_equal_c1,return_risk,6,3,decile,equal,1,0.11722277036302665,2.093263756482619,0.06106827970685171,276,False,560,112,1.261773766173497,0.006512376131279258,5,0.007814851357535112,5,0.0030845132780898867,4
return_risk_K4_M4_decile_equal_c1,return_risk,4,4,decile,equal,1,0.11658657740480141,1.7349193066190687,0.06710934417729417,329,True,672,112,1.5747350916301655,0.006477032078044523,5,0.007772438493653428,5,0.0014144757709721404,4
return_risk_K6_M2_decile_equal_c1,return_risk,6,2,decile,equal,1,0.11346304680152286,1.6884381964512327,0.0781428750143487,338,False,672,112,1.6352770832304102,0.006303502600084602,5,0.007564203120101522,5,0.0020884274651651103,4
full_proxy_K6_M2_quintile_strength_capped_c1,full_proxy,6,2,quintile,strength_capped,1,0.11337781218673637,1.687169824207387,0.08401659881822092,342,False,672,112,1.6428867788038328,0.006298767343707577,5,0.007558520812449093,5,0.0018958141693843388,4
full_proxy_K6_M3_quintile_strength_capped_c1,full_proxy,6,3,quintile,strength_capped,1,0.11318913635312798,2.021234577734428,0.05400962573616543,187,False,560,112,1.3111607432067982,0.0062882853529515545,5,0.007545942423541867,5,0.0023808050870298683,4
price_liquidity_K4_M4_decile_strength_capped_c1,price_liquidity,4,4,decile,strength_capped,1,0.1124884481549597,1.6739352404011862,0.056872256295958636,335,True,672,112,1.5520666586226717,0.0062493582308310956,4,0.007499229876997315,4,0.0011236504496435313,3
full_proxy_K4_M4_decile_equal_c1,full_proxy,4,4,decile,equal,1,0.1108404235257758,1.6494110643716637,0.06871975041826381,329,True,672,112,1.6350559637090074,0.006157801306987544,5,0.007389361568385053,5,0.00081594748032105,4
return_risk_K6_M3_quintile_strength_capped_c1,return_risk,6,3,quintile,strength_capped,1,0.10966231925342017,1.9582557009539319,0.055828095815745334,183,False,560,112,1.4026448616796925,0.006092351069634453,5,0.007310821283561346,5,0.002013551485059005,4
return_risk_K4_M4_quintile_equal_c1,return_risk,4,4,quintile,equal,1,0.10753570789109515,1.6002337483793925,0.06260423073001672,293,True,672,112,1.6131428732459494,0.005974205993949732,4,0.007169047192739679,4,0.0010890960953268169,3
full_proxy_K4_M4_quintile_equal_c1,full_proxy,4,4,quintile,equal,1,0.10673325621114468,1.5882925031420343,0.06506619802236602,293,False,672,112,1.6030173401245262,0.005929625345063593,5,0.00711555041407631,5,0.0015384999433322325,4
full_proxy_K6_M3_decile_equal_c1,full_proxy,6,3,decile,equal,1,0.10499707991269785,1.8749478555838903,0.05427841058342007,338,False,560,112,1.3679489538287108,0.005833171106260993,5,0.0069998053275131915,5,0.0018930981156206322,4
full_proxy_K6_M2_decile_equal_c1,full_proxy,6,2,decile,equal,1,0.1046627529584852,1.5574814428346013,0.0757352555690355,343,False,672,112,1.7338308560962918,0.005814597386582512,5,0.0069775168638990135,5,0.0009009829941333452,4
beta_only_K6_M2_decile_strength_capped_c1,beta_only,6,2,decile,strength_capped,1,0.10405923330679934,1.5485004956368948,0.07880851000838071,353,True,672,112,2.013196317291462,0.005781068517044406,6,0.006937282220453289,6,-0.0007059270438055498,5
return_risk_K6_M2_quintile_strength_capped_c1,return_risk,6,2,quintile,strength_capped,1,0.10302226569863462,1.533069430039206,0.08549748162020258,337,False,672,112,1.8576155605268727,0.005723459205479702,5,0.006868151046575643,5,0.0012028815888061185,4
price_liquidity_K6_M3_decile_strength_capped_c1,price_liquidity,6,3,decile,strength_capped,1,0.10301635495322235,1.8395777670218285,0.05349929351169839,289,False,560,112,1.3136524224774442,0.005723130830734578,5,0.006867756996881492,5,0.002288785343954806,4
beta_only_K4_M4_quintile_strength_capped_c1,beta_only,4,4,quintile,strength_capped,1,0.09863076401943596,1.467719702670178,0.05830754314515546,345,True,672,112,1.7513419123683305,0.005479486889968664,4,0.006575384267962397,4,0.00046459222615556124,3
beta_only_K6_M3_decile_equal_c1,beta_only,6,3,decile,equal,1,0.09861191478693794,1.7609270497667497,0.05260470641504319,353,True,560,112,1.5991215801056158,0.005478439710385442,6,0.00657412765246253,6,0.0003199473624298429,5
return_risk_K4_M3_decile_strength_capped_c1,return_risk,4,3,decile,strength_capped,1,0.09586238586918217,1.222734513637528,0.09235583467903577,330,True,784,112,2.0249645167822083,0.005325688103843456,5,0.006390825724612147,5,0.0007878854642832962,4
beta_only_K6_M3_quintile_strength_capped_c1,beta_only,6,3,quintile,strength_capped,1,0.09434340094993476,1.6847035883916928,0.05568964686903168,338,False,560,112,1.5949835012912092,0.005241300052774154,6,0.006289560063328985,6,0.0015673864937816124,5
beta_only_K4_M4_decile_equal_c1,beta_only,4,4,decile,equal,1,0.09429055611444111,1.4031332755125168,0.0649062585060517,345,True,672,112,1.9866938556578995,0.005238364228580062,4,0.006286037074296074,4,-0.00046294658966348655,3
return_risk_K6_M4_decile_strength_capped_c1,return_risk,6,4,decile,strength_capped,1,0.09424892478957672,2.103770642624481,0.06026117776094984,183,False,448,112,1.306748353992884,0.0052360513771987065,5,0.00628326165263845,5,0.00271079488750599,4
price_liquidity_K4_M4_quintile_strength_capped_c1,price_liquidity,4,4,quintile,strength_capped,1,0.09360149980572226,1.3928794613946762,0.059866228192651055,330,True,672,112,1.6307002237885464,0.005200083322540124,4,0.006240099987048149,4,0.0016378833740233877,3
price_liquidity_K4_M4_quintile_equal_c1,price_liquidity,4,4,quintile,equal,1,0.09249738384576092,1.376449164371442,0.06558620703644699,293,False,672,112,1.6080238865182144,0.0051387435469867175,4,0.0061664922563840615,4,0.001798606435889356,3
full_proxy_K6_M3_quintile_equal_c1,full_proxy,6,3,quintile,equal,1,0.09225644029817481,1.6474364338959788,0.05930792901208129,297,False,560,112,1.482994958052849,0.005125357794343044,5,0.006150429353211653,5,0.0021355940763944283,4
