variant,allocation,additional_slippage_bps_per_side,active_trade_count,average_event_exposure_all_q60,maximum_event_exposure,full_net_simple_return,average_month_18m,median_month_18m,positive_months_18m,negative_months_18m,zero_months_18m,standard_max_drawdown,max_recovery_days,recovery_unresolved,top_5_day_profit_share,worst_event_pnl,soxl_net,soxs_net
fixed_1_slip2,fixed_1,2,108,1.0,1.0,1.1459801680173094,0.06366556488985056,0.033740780995458644,13,5,0,0.1739817460456451,,True,0.5019019676405712,-0.181352380952381,0.849178163094589,0.29680200492272085
fixed_1_slip5,fixed_1,5,108,1.0,1.0,1.0811801680173097,0.060065564889850535,0.03164078099545864,12,6,0,0.1807246304759945,,True,0.529208468792224,-0.18195238095238098,0.8221781630945888,0.25900200492272085
fixed_1_slip10,fixed_1,10,108,1.0,1.0,0.9731801680173096,0.05406556488985053,0.028140780995458636,12,6,0,0.1927198544232694,,True,0.5828003075324403,-0.18295238095238098,0.7771781630945888,0.1960020049227208
high_volume_only_slip2,high_volume_only,2,68,0.6296296296296297,1.0,1.0177420577497671,0.05654122543054263,0.025473368907025788,12,4,2,0.06085525077188944,20.0,False,0.5082410344515739,-0.10039999999999998,0.5719159372931027,0.44582612045666475
high_volume_only_slip5,high_volume_only,5,68,0.6296296296296297,1.0,0.9769420577497671,0.05427455876387595,0.023973368907025783,11,5,2,0.06230658155522878,20.0,False,0.526395882085503,-0.10099999999999998,0.5521159372931024,0.4248261204566647
high_volume_only_slip10,high_volume_only,10,68,0.6296296296296297,1.0,0.908942057749767,0.050496780986098166,0.02147336890702578,11,5,2,0.06544924908001441,9.0,False,0.5602758414506269,-0.10199999999999998,0.5191159372931023,0.38982612045666465
low_volume_025_slip2,low_volume_025,2,108,0.7222222222222222,1.0,1.0498015853166527,0.05832231029536959,0.022806599274915282,14,4,0,0.07095027781922827,5.0,False,0.4927200372626547,-0.10039999999999998,0.6412314937434742,0.4085700915731787
low_volume_025_slip5,low_volume_025,5,108,0.7222222222222222,1.0,1.0030015853166527,0.055722310295369594,0.02018159927491528,12,6,0,0.07604618240281531,5.0,False,0.5127193054966719,-0.10099999999999998,0.6196314937434739,0.3833700915731787
low_volume_025_slip10,low_volume_025,10,108,0.7222222222222222,1.0,0.9250015853166527,0.05138897696203626,0.015806599274915276,11,7,0,0.08461426621052198,5.0,False,0.5505485442614484,-0.10199999999999998,0.5836314937434739,0.3413700915731786
low_volume_050_slip2,low_volume_050,2,108,0.8148148148148148,1.0,1.0818611128835385,0.06010339516019658,0.022219560076361073,13,5,0,0.10600559419036228,,True,0.4781189286459708,-0.10039999999999998,0.7105470501938459,0.37131406268969275
low_volume_050_slip5,low_volume_050,5,108,0.8148148148148148,1.0,1.0290611128835383,0.05717006182686325,0.02056956007636107,12,6,0,0.11033749937877815,,True,0.49973540909986275,-0.10099999999999998,0.6871470501938456,0.34191406268969277
low_volume_050_slip10,low_volume_050,10,108,0.8148148148148148,1.0,0.9410611128835383,0.05228117293797436,0.01781956007636107,12,6,0,0.11800240406010565,,True,0.5411532463340015,-0.10199999999999998,0.6481470501938456,0.2929140626896927
soxs_050_slip2,soxs_050,2,108,0.7083333333333334,1.0,0.9975791655559494,0.0554210647531083,0.037771130096555486,13,5,0,0.09447736503561545,,True,0.43310986437073873,-0.0906761904761905,0.849178163094589,0.14840100246136043
