variant,block,net_pnl,signal_days
tail02_reclaim00_all_1200_c5,block_1,-0.28957834004707106,70
tail02_reclaim00_all_1200_c5,block_2,-0.13530705696105022,65
tail02_reclaim00_all_1200_c5,block_3,-0.15043123201663305,72
tail02_reclaim00_all_1200_c10,block_1,-0.3595783400470711,70
tail02_reclaim00_all_1200_c10,block_2,-0.19730705696105028,65
tail02_reclaim00_all_1200_c10,block_3,-0.22143123201663312,72
tail02_reclaim00_all_1200_c20,block_1,-0.499578340047071,70
tail02_reclaim00_all_1200_c20,block_2,-0.32130705696105033,65
tail02_reclaim00_all_1200_c20,block_3,-0.3634312320166332,72
tail02_reclaim00_all_final_c5,block_1,-0.21465288799747573,70
tail02_reclaim00_all_final_c5,block_2,-0.3128132430294381,65
tail02_reclaim00_all_final_c5,block_3,-0.06844769411817908,72
tail02_reclaim00_all_final_c10,block_1,-0.2846528879974758,70
tail02_reclaim00_all_final_c10,block_2,-0.37781324302943814,65
tail02_reclaim00_all_final_c10,block_3,-0.14044769411817914,72
tail02_reclaim00_all_final_c20,block_1,-0.4246528879974759,70
tail02_reclaim00_all_final_c20,block_2,-0.5078132430294381,65
tail02_reclaim00_all_final_c20,block_3,-0.28444769411817916,72
tail02_reclaim00_participation_q50_1200_c5,block_1,-0.3572489252385843,52
tail02_reclaim00_participation_q50_1200_c5,block_2,-0.07726383993023872,52
tail02_reclaim00_participation_q50_1200_c5,block_3,-0.11007002477106526,61
tail02_reclaim00_participation_q50_1200_c10,block_1,-0.40924892523858436,52
tail02_reclaim00_participation_q50_1200_c10,block_2,-0.12726383993023876,52
tail02_reclaim00_participation_q50_1200_c10,block_3,-0.1710700247710653,61
tail02_reclaim00_participation_q50_1200_c20,block_1,-0.5132489252385843,52
tail02_reclaim00_participation_q50_1200_c20,block_2,-0.2272638399302388,52
tail02_reclaim00_participation_q50_1200_c20,block_3,-0.29307002477106536,61
tail02_reclaim00_participation_q50_final_c5,block_1,-0.2500137815556229,52
tail02_reclaim00_participation_q50_final_c5,block_2,-0.09297141979102158,52
tail02_reclaim00_participation_q50_final_c5,block_3,0.06934160092726033,61
tail02_reclaim00_participation_q50_final_c10,block_1,-0.302013781555623,52
tail02_reclaim00_participation_q50_final_c10,block_2,-0.14497141979102163,52
tail02_reclaim00_participation_q50_final_c10,block_3,0.008341600927260285,61
