variant,candidate,eligibility_rule,additional_slippage_bps_per_side,parent_events,eligible_events,eligible_fraction,symbol_count,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,top_5_day_profit_share,top_symbol_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
all_state_all_nbbo_slip0,all_state,all,0,232,232,1.0,91,0.6587760692303691,0.3086334134680302,27,False,0.6793554439184233,0.1920876012734409,0.03659867051279828,7,0,0.057670424991143256,4,0,0.05510473862629849,2,0
all_state_all_nbbo_slip2,all_state,all,2,232,232,1.0,91,0.5659760692303692,0.33393653752559194,34,False,0.7872119214522514,0.22004943616108125,0.03144311495724273,7,0,0.052550424991143256,4,0,0.04987140529296516,2,0
all_state_all_nbbo_slip5,all_state,all,5,232,232,1.0,91,0.4267760692303689,0.37200409872782847,34,False,1.0369445263247683,0.2847927137385963,0.023709781623909385,8,0,0.04487042499114324,5,0,0.04202140529296514,3,0
all_state_dollar_q50_nbbo_slip0,all_state,dollar_q50,0,232,187,0.8060344827586207,82,0.7041984893502997,0.24836991884667972,13,False,0.6355354572937795,0.17969750976256335,0.03912213829723887,6,0,0.05803724860824615,4,0,0.05380891723696679,2,0
all_state_dollar_q50_nbbo_slip2,all_state,dollar_q50,2,232,187,0.8060344827586207,82,0.6293984893502997,0.2676641885359727,26,False,0.7078871597145806,0.19787577666951153,0.03496658274168333,7,0,0.05387724860824616,4,0,0.04957558390363347,2,0
all_state_dollar_q50_nbbo_slip5,all_state,dollar_q50,5,232,187,0.8060344827586207,82,0.5171984893502996,0.2966916631900409,27,False,0.8556542953378506,0.23500206867867846,0.028733249408349974,7,0,0.04763724860824614,4,0,0.04322558390363345,2,0
all_state_dollar_q67_nbbo_slip0,all_state,dollar_q67,0,232,149,0.6422413793103449,74,0.6937576804914415,0.2924757218479971,27,False,0.6451000421902392,0.18323191147727297,0.03854209336063564,7,0,0.05615762789204081,4,0,0.05786932062309883,2,0
all_state_dollar_q67_nbbo_slip2,all_state,dollar_q67,2,232,149,0.6422413793103449,74,0.6341576804914415,0.30707253019929637,32,False,0.7025746476957546,0.19792955247536426,0.035230982249524534,7,0,0.05287762789204083,4,0,0.0544359872897655,2,0
all_state_dollar_q67_nbbo_slip5,all_state,dollar_q67,5,232,149,0.6422413793103449,74,0.5447576804914414,0.3290328578650158,34,False,0.8123669014736987,0.2260060762932563,0.030264315582857852,7,0,0.047957627892040805,4,0,0.04928598728976549,2,0
all_state_dollar_q80_nbbo_slip0,all_state,dollar_q80,0,232,109,0.4698275862068966,66,0.5865856178762076,0.2955432860702641,27,False,0.6736798466860866,0.2167092782784746,0.032588089882011534,7,0,0.05312625024933483,4,0,0.05586609977108698,2,0
