scenario,removed,event_count,symbol_count,full_net_simple_return,average_month_18m,average_month_15m,average_month_12m,negative_months_18m,zero_months_18m,standard_max_drawdown,max_recovery_days,recovery_unresolved
central,none,94,59,0.7847076873151749,0.043594871517509716,0.055257455016133473,0.04674583693980761,3,3,0.09832365342202008,5,False
remove_top_1_days,2025-04-09,93,58,0.6704350784704716,0.03724639324835953,0.04763928109315325,0.04674583693980761,3,3,0.09832365342202008,7,False
remove_top_5_days,"2025-05-08,2025-04-09,2025-08-28,2026-03-09,2025-11-25",89,56,0.39153677819606786,0.02175204323311488,0.029046061074859672,0.02350431191694065,3,3,0.09832365342202008,7,False
remove_top_10_days,"2025-05-08,2025-04-30,2025-10-30,2025-04-09,2025-04-07,2025-08-28,2026-03-09,2025-04-11,2025-11-25,2025-10-23",84,55,0.1248510142877346,0.0069361674604297,0.011267010147637447,0.01487597136733262,4,3,0.15267794030528978,166,False
remove_top_1_symbols,CRWD,90,58,0.6591891414166887,0.03662161896759382,0.046889551956234406,0.03628595811493377,3,3,0.09832365342202008,5,False
remove_top_5_symbols,"BKNG,CRWD,GEHC,LRCX,WBD",81,54,0.2598831559391837,0.014437953107732429,0.02026915292440072,0.01684787244117678,4,3,0.09832365342202008,7,False
remove_top_1_months,2025-04,83,55,0.5456638802052594,0.0303146600114033,0.03932120120880577,0.04674583693980761,3,4,0.08303909001704973,63,False
remove_top_3_months,"2025-04,2025-10,2025-11",65,47,0.24970339899489585,0.013872411055271991,0.019590502461448202,0.022082463505610658,3,6,0.08303909001704973,174,False
leave_out_block_1,2024-11-01:2025-04-30,58,41,0.5609500432776914,0.031163891293205077,0.03739666955184609,0.04674583693980761,1,9,0.08190168290651036,63,False
leave_out_block_2,2025-05-01:2025-10-31,72,50,0.5592272261684937,0.031068179231582987,0.0402254242730214,0.027955798510917517,2,7,0.09832365342202008,5,False
leave_out_block_3,2025-11-01:2026-04-30,58,44,0.4492381051841646,0.024957672510231368,0.03289281620739946,0.018790038428890092,3,8,0.09832365342202008,5,False
