symbol,net_pnl
SOXL,0.6465066359049851
TQQQ,0.37759018626366514
SMH,0.3013887972787386
ARKK,0.18701436712770347
XLK,0.15062703428732993
SQQQ,0.10366844661101633
GLD,0.09786098975164684
XLE,0.08096708352729537
XLC,0.07640500658696603
QQQ,0.04540365535356296
USO,0.04336951439806719
XLF,0.040151876883364274
XLI,0.02977151479709715
XLU,0.025633731108106378
XLP,0.021105358632406604
IWM,0.018517265956347027
SPY,0.00433067355560656
XLY,0.0028874530254580965
SHY,0.002417550747934997
BIL,0.0020292956213108747
HYG,0.00044424610289329764
XLB,-0.003131873073375032
DIA,-0.004521370849784516
TLT,-0.007662692589250985
XLV,-0.010861056126071035
XLRE,-0.013247344980898985
SOXS,-0.13310291477229033
