symbol,net_pnl
MRNA,0.13764279896570175
META,0.088811777719934
INTC,0.08812253371534261
PLTR,0.0774335154740847
CEG,0.07595710907369013
WDC,0.0663948476834157
STX,0.065888851087934
APP,0.06364980239001282
MU,0.05904173425608806
LRCX,0.05621137335754286
AMD,0.054436589563720106
PDD,0.04515069626598167
DASH,0.04245082222983599
WBD,0.040979268377466245
NFLX,0.03709288830213068
SHOP,0.031340514993909566
ORLY,0.03125589264544262
ZM,0.029166034596742767
CRWD,0.028053135744089665
KLAC,0.027799108486660513
MELI,0.02713177408470334
PYPL,0.02690123714468743
CDNS,0.02683331401681052
DOCU,0.023504227764200716
VRTX,0.023475578221646202
JD,0.02317951133613486
AMAT,0.01967161513506048
NVDA,0.017998197968559986
ALGN,0.017887732911803032
AXON,0.014489764305573683
ASML,0.014173392620355982
BKNG,0.011563373418297341
SNPS,0.010135068936389817
ADP,0.0052671715567669895
TTWO,0.004366768001461065
COST,0.004108337064712879
PEP,0.0036684641275590746
XLNX,0.0032719268237778824
MAR,0.003054639986771284
LULU,0.002965149045287087
FANG,0.002622860670991846
ISRG,0.002233679527559481
DLTR,0.00159424627856731
FI,0.0015730819904732941
ATVI,0.0008044813028813663
AMZN,0.00037553085269613723
GFS,0.00023508153785808098
ADI,8.064192939737686e-07
WMT,0.0
WTW,0.0
VRSN,0.0
VRSK,0.0
ULTA,0.0
ALNY,0.0
ADSK,0.0
ALXN,0.0
QQQ,0.0
AAL,0.0
ABNB,0.0
CCEP,0.0
CERN,0.0
SNDK,0.0
NTES,0.0
ROP,0.0
RIVN,0.0
ANSS,0.0
BMRN,0.0
CHKP,0.0
CELG,0.0
WYNN,0.0
WBA,0.0
VSNT,0.0
LIN,0.0
JBHT,0.0
ILMN,0.0
MCHP,0.0
LBTYA,0.0
EXC,0.0
FER,0.0
KHC,0.0
KDP,0.0
INCY,0.0
HAS,0.0
HSIC,0.0
LBTYK,0.0
MSFT,0.0
MPWR,0.0
GEHC,0.0
FOX,0.0
FAST,0.0
EXPE,0.0
FOXA,0.0
EBAY,0.0
EA,0.0
CSX,0.0
CSGP,0.0
CTSH,0.0
CTXS,0.0
CSCO,0.0
CMCSA,0.0
CPRT,0.0
HON,0.0
TCOM,0.0
SPLK,0.0
SWKS,0.0
SOLS,0.0
UAL,0.0
TRI,0.0
TXN,0.0
SIRI,0.0
MXIM,0.0
MYL,0.0
MDLZ,0.0
NLOK,0.0
NTAP,0.0
WDAY,-1.1418268165903339e-05
ADBE,-0.00012121307649572822
AEP,-0.0002835549695161665
XEL,-0.000767408430645342
NXPI,-0.0008131660892819352
CDW,-0.0012393566925218435
MTCH,-0.002084608967189405
GOOG,-0.002312658216482159
OKTA,-0.0029003218536583215
ROST,-0.003153578866285964
ARM,-0.003334611466861293
IDXX,-0.0033725432620873887
SBUX,-0.0037733856793886688
GILD,-0.0043219358771275935
SGEN,-0.004331749420828279
BIIB,-0.004371666151890002
PAYX,-0.004711045799078736
AZN,-0.005047385836302465
BKR,-0.0069321870082532724
PCAR,-0.0074574020640223926
TMUS,-0.008059329420101107
GOOGL,-0.008922275852114709
LCID,-0.009253731138585216
CHTR,-0.010092251683719662
ODFL,-0.010337432596032798
AVGO,-0.010944803616566436
AMGN,-0.01111280766272555
INSM,-0.012364659429354233
QCOM,-0.013756823171483136
ON,-0.0167984813372693
BIDU,-0.017069685610842083
MNST,-0.01774090063232732
MDB,-0.020121988088597376
TEAM,-0.021335400753594986
INTU,-0.02267223036875197
PTON,-0.025559144830594495
ENPH,-0.029616600282316215
ZS,-0.03316705268426698
REGN,-0.03691788652173132
DDOG,-0.03731674303117681
MSTR,-0.040579348962525366
CTAS,-0.05133636693485348
TSLA,-0.051942158627293185
MRVL,-0.05304115869690704
AAPL,-0.054401964564541154
TTD,-0.06494154874379335
SMCI,-0.07947618845157764
PANW,-0.08242405978834783
DXCM,-0.0844345169334237
FTNT,-0.11090375336997746
