symbol,net_pnl
LRCX,0.1166503979559913
MU,0.11238862146855998
ZM,0.10441536001076501
JD,0.0950220174541941
MELI,0.07195597033905085
PDD,0.07012601879941344
KLAC,0.06871246934235345
AMAT,0.06782245427252666
INTC,0.052897288558474094
WDC,0.05255408770351742
PLTR,0.05117874311473324
STX,0.0483036147075497
PYPL,0.0465507557941331
AMZN,0.0431603109654433
TMUS,0.04158298419674891
GOOG,0.04114699935474697
DOCU,0.04052010103525266
ASML,0.039450437333357714
META,0.03935941397898322
MRNA,0.039018998361553064
QCOM,0.03391645606254103
NVDA,0.03349015234306062
ADI,0.025953562303718612
GILD,0.025083786045960187
AVGO,0.021697103002846434
COST,0.020196314097327018
INTU,0.019228604049500296
REGN,0.019030681833659427
MSFT,0.01835950413995787
CEG,0.01768174379012756
GOOGL,0.01709331332935208
WBD,0.016386181852729668
NFLX,0.014216452146623952
ILMN,0.013440456589252366
BKNG,0.01336479639009872
CRWD,0.013196938855833356
DXCM,0.01145721899023002
AMD,0.011445546652099731
BIDU,0.009081746379638381
ALXN,0.008097621360271071
TXN,0.0077490371796412865
NXPI,0.00702970839428148
LULU,0.006954167181583149
AAPL,0.006425513182544491
DASH,0.006122054717958147
SPLK,0.003952120517328521
CSCO,0.00352370881307066
ADP,0.00231598091198533
DLTR,0.0020567285733242876
LCID,0.0017741719462360998
ARM,0.00032073006158803244
CERN,0.0
CHKP,0.0
AEP,0.0
ADSK,0.0
ALNY,0.0
ALGN,0.0
QQQ,0.0
AAL,0.0
ABNB,0.0
BMRN,0.0
AXON,0.0
BKR,0.0
BIIB,0.0
AZN,0.0
ATVI,0.0
ANSS,0.0
CCEP,0.0
CELG,0.0
WYNN,0.0
WDAY,0.0
WTW,0.0
CHTR,0.0
CDW,0.0
CDNS,0.0
FTNT,0.0
FOXA,0.0
FANG,0.0
FAST,0.0
EXC,0.0
FER,0.0
KHC,0.0
INCY,0.0
HAS,0.0
HSIC,0.0
MDB,0.0
MCHP,0.0
KDP,0.0
GFS,0.0
FOX,0.0
FI,0.0
CTXS,0.0
EXPE,0.0
GEHC,0.0
EA,0.0
CTAS,0.0
CPRT,0.0
CTSH,0.0
CSX,0.0
CSGP,0.0
CMCSA,0.0
XEL,0.0
WMT,0.0
VRSN,0.0
ULTA,0.0
WBA,0.0
ROST,0.0
LIN,0.0
MPWR,0.0
LBTYK,0.0
INSM,0.0
IDXX,0.0
JBHT,0.0
LBTYA,0.0
MAR,0.0
MDLZ,0.0
MNST,0.0
SGEN,0.0
ORLY,0.0
ON,0.0
OKTA,0.0
ODFL,0.0
PAYX,0.0
RIVN,0.0
PCAR,0.0
ROP,0.0
NTAP,0.0
NTES,0.0
NLOK,0.0
MXIM,0.0
MYL,0.0
MTCH,0.0
MSTR,0.0
TTWO,0.0
TTD,0.0
TRI,0.0
VRSK,0.0
VSNT,0.0
TCOM,0.0
SIRI,0.0
SWKS,0.0
UAL,0.0
SOLS,0.0
SNDK,0.0
TEAM,0.0
HON,-7.468396179628745e-05
VRTX,-0.003288950726157512
TSLA,-0.0033898896684401553
ADBE,-0.003468831513046233
ENPH,-0.0047252855701803275
SHOP,-0.006534592914302799
MRVL,-0.008607605075413059
AMGN,-0.010297359742365786
PEP,-0.011511170565750663
XLNX,-0.014383805703181509
PTON,-0.01563765504657497
SBUX,-0.0160310197213807
APP,-0.01680361133378206
SNPS,-0.016952128600568862
EBAY,-0.02217352458030127
SMCI,-0.025108350658992345
ZS,-0.04181365946319418
DDOG,-0.06003353289099838
PANW,-0.08443415691587776
ISRG,-0.09375245101396983
