symbol,net_pnl
LRCX,0.17947591437821422
MRNA,0.13443913995630594
NVDA,0.1239072988177265
AMD,0.11203768619306415
JD,0.10794365409425422
ZM,0.0929169215720182
NFLX,0.0848641420161709
GILD,0.08139766273111891
MU,0.07035983751150357
GOOG,0.06958117716828537
PDD,0.06692663926452044
MELI,0.060895647377188
WBD,0.054014689225164364
WDC,0.050842364582359925
GOOGL,0.0476456903652105
STX,0.04569868257912478
ASML,0.04466709277246872
INTC,0.03951528908160799
AMAT,0.03868820158060922
AMZN,0.0366466041738684
TMUS,0.03617815336312401
VRTX,0.03571412348196219
META,0.03269908460172123
DASH,0.0317936335440286
ALXN,0.028070261887473674
SBUX,0.027092563014632687
PLTR,0.024624436087335628
TSLA,0.02263360652054475
KLAC,0.020565676141978535
DOCU,0.02048956130783603
BKNG,0.019476815230226693
ADBE,0.017806912803741564
CSCO,0.01778112289539683
COST,0.01555165206351566
AAPL,0.015405944768925274
PYPL,0.013426551535198743
INTU,0.013331349018149986
SHOP,0.013323045001567982
NXPI,0.012099175332513078
ADSK,0.011266925842312871
DXCM,0.010785238541519535
EBAY,0.01028842860346497
AZN,0.009171314775468632
REGN,0.007201005099625716
MSFT,0.0069944595687093155
HON,0.006359866222236534
WDAY,0.005450744839197012
CRWD,0.004288056245759844
PEP,0.004124490147914601
TEAM,0.0039352527276376534
PANW,0.0021036605545895265
MDB,0.0007053141104499032
ADP,4.9476205323641477e-05
ALNY,0.0
ANSS,0.0
BKR,0.0
AXON,0.0
BMRN,0.0
AEP,0.0
ALGN,0.0
ABNB,0.0
AAL,0.0
QQQ,0.0
CERN,0.0
CDW,0.0
CCEP,0.0
CELG,0.0
CHTR,0.0
CHKP,0.0
VSNT,0.0
WBA,0.0
WTW,0.0
SIRI,0.0
RIVN,0.0
PCAR,0.0
ROP,0.0
MAR,0.0
LBTYK,0.0
LIN,0.0
EXC,0.0
EXPE,0.0
FANG,0.0
FAST,0.0
FI,0.0
FOXA,0.0
MNST,0.0
LBTYA,0.0
FTNT,0.0
GFS,0.0
FOX,0.0
FER,0.0
CTXS,0.0
DLTR,0.0
GEHC,0.0
EA,0.0
CSGP,0.0
CTSH,0.0
CTAS,0.0
CSX,0.0
CPRT,0.0
CMCSA,0.0
WYNN,0.0
XEL,0.0
WMT,0.0
UAL,0.0
TRI,0.0
VRSK,0.0
VRSN,0.0
SGEN,0.0
PAYX,0.0
TTD,0.0
ILMN,0.0
JBHT,0.0
KHC,0.0
KDP,0.0
MDLZ,0.0
MPWR,0.0
HAS,0.0
HSIC,0.0
IDXX,0.0
INSM,0.0
INCY,0.0
NTES,0.0
NTAP,0.0
MYL,0.0
ROST,0.0
ORLY,0.0
OKTA,0.0
ON,0.0
ODFL,0.0
NLOK,0.0
MXIM,0.0
MTCH,0.0
ULTA,0.0
SNDK,0.0
TCOM,0.0
TTWO,0.0
SWKS,0.0
SOLS,0.0
SPLK,0.0
BIIB,-0.00043114066019182503
CDNS,-0.0012294873854620098
AMGN,-0.0020230715314365124
LCID,-0.0034541767630048826
TXN,-0.00415891582516969
ADI,-0.005196831085109738
ENPH,-0.006506340892079441
ATVI,-0.007706272714815104
ARM,-0.008856374932461183
CEG,-0.01223615409586718
MCHP,-0.012985217264580113
LULU,-0.014441359197100585
MSTR,-0.015894007877902367
XLNX,-0.015952969818909885
APP,-0.018665619307695606
BIDU,-0.022201683461016367
SNPS,-0.024279221517784527
PTON,-0.02634561353430543
MRVL,-0.02749279322650691
AVGO,-0.029192504978996163
DDOG,-0.030283792779833035
ZS,-0.04049212247060286
QCOM,-0.041016512749848036
SMCI,-0.07239379176593319
ISRG,-0.09505191791729543
