symbol,net_pnl
SMH,0.4793056230902393
TQQQ,0.46524438636756504
XLE,0.3271875542697188
SOXL,0.3128318916888519
GLD,0.259172840049035
QQQ,0.10652134117409019
XLK,0.10546736470948449
XLI,0.03853049721823331
XLF,0.020480058310606616
SPY,0.012864713122476135
IWM,0.009977836927473107
DIA,0.009749605982713202
XLRE,0.0
HYG,0.0
SHY,0.0
BIL,0.0
XLY,0.0
XLB,0.0
USO,0.0
XLC,0.0
XLP,0.0
SOXS,-0.007650427472664622
TLT,-0.010520556208440062
ARKK,-0.011986641964363888
XLU,-0.014743495709093602
XLV,-0.02284182492835208
SQQQ,-0.05698894757878616
