symbol,net_pnl
SMH,0.36642919555961945
TQQQ,0.31501388563905963
SOXL,0.2013183595638076
QQQ,0.1656376731596755
GLD,0.15630412131214516
DIA,0.04563692374847607
XLK,0.03858174387904104
XLE,0.029907000632246307
XLF,0.022355554120892882
IWM,0.016454563849951295
XLI,0.0007370882402007976
XLRE,0.0
SOXS,0.0
HYG,0.0
SHY,0.0
BIL,0.0
XLC,0.0
USO,0.0
XLB,0.0
XLP,0.0
XLY,0.0
TLT,-0.0010101754272923685
XLV,-0.0017164121792377545
XLU,-0.006986879887316734
SPY,-0.010999328586828724
SQQQ,-0.03630091759780966
ARKK,-0.06709672156386977
