symbol,net_pnl
WDC,0.20405097712572606
NVDA,0.1323397162456567
TER,0.10400546293526254
SNDK,0.0924172908822109
STX,0.0900429877312257
PLTR,0.08692031531319008
MU,0.05613803723751979
ALB,0.05107549450957813
DG,0.04696710405643838
NEM,0.04527932465128071
ANET,0.030237435468196117
OXY,0.027519314280957483
BKNG,0.027363695748913744
MPWR,0.025537657887514238
COP,0.024589943679820384
TWTR,0.024587039990691718
GEV,0.02424441279844428
META,0.02296388563218265
GLW,0.02259292306021881
WBD,0.020657645689822358
ALGN,0.020222132635811223
FTNT,0.018369959194745336
AMD,0.018176077040844105
UAL,0.017651159493856247
GM,0.017386795020930632
WYNN,0.016369216380251985
CEG,0.01630268709570623
PM,0.016039366128848622
MRO,0.01452438441569972
AVGO,0.013893207337493014
LITE,0.013878649471531695
AAPL,0.011544810426044792
ENPH,0.01115519210704338
TPR,0.010784918061801116
APH,0.010534971683581753
LRCX,0.01027484056491921
PWR,0.00989307981415886
APA,0.009820595626581847
FICO,0.009610037426617925
LLY,0.009507985762430438
LULU,0.008218119494320953
HWM,0.00814152295379322
REGN,0.0078820356612846
GILD,0.007558068763017549
PXD,0.0069298398177507345
ETN,0.006854100506560214
NOW,0.006812806251670722
CF,0.006769674438532865
MSFT,0.006672335615305394
DAL,0.0062783533787273745
ADSK,0.0062268673431185775
COR,0.006006770357746212
AMAT,0.005916134351107864
EXPE,0.005803916826723713
CVS,0.005612341243304594
SWKS,0.005600353712921536
INTC,0.005277588390920521
CRM,0.005092473251801668
LVS,0.004564857789790573
ORCL,0.0045217024023641375
COF,0.004321231597771401
EOG,0.004264220697482659
NFLX,0.004253183626661644
CI,0.0038944990131513963
T,0.0037298120951145698
UBER,0.0032065081454552475
CME,0.0030004254413409327
SLB,0.0027796949483255462
EXC,0.002637896635092995
SEDG,0.002439552721202375
ORLY,0.0024223966075979575
GD,0.002075346643734278
CAT,0.002034723304061218
BIIB,0.0017488049261107077
PGR,0.001689250185576326
CMG,0.0015074888948802144
NRG,0.0011479348011727097
ULTA,0.0007491990181681447
ABBV,0.0006961546962115909
HPQ,0.0005133651019092535
IP,0.00038468550291005936
AMGN,0.0003457916680812793
VLO,6.566561633006892e-05
MDLZ,3.83298875195958e-05
BG,0.0
BIO,0.0
BK,0.0
BLDR,0.0
APD,0.0
APO,0.0
APTV,0.0
ARE,0.0
ARES,0.0
ATO,0.0
AVB,0.0
BRK.B,0.0
BRO,0.0
BSX,0.0
BWA,0.0
BX,0.0
BXP,0.0
CAG,0.0
CAH,0.0
CASY,0.0
BAC,0.0
BALL,0.0
BAX,0.0
BBWI,0.0
BBY,0.0
BDX,0.0
CB,0.0
CBOE,0.0
CBRE,0.0
CDAY,0.0
CDW,0.0
CE,0.0
CERN,0.0
CFG,0.0
CHD,0.0
CHRW,0.0
BLK,0.0
BLL,0.0
BMY,0.0
BR,0.0
CSX,0.0
CIEN,0.0
CINF,0.0
CL,0.0
CLX,0.0
CMA,0.0
CMCSA,0.0
CMI,0.0
CMS,0.0
CNP,0.0
COG,0.0
COHR,0.0
DD,0.0
DDOG,0.0
COIN,0.0
COO,0.0
COST,0.0
CPAY,0.0
CPB,0.0
CPRT,0.0
CPT,0.0
CRH,0.0
CRL,0.0
CSCO,0.0
CSGP,0.0
VRT,0.0
VTR,0.0
VTRS,0.0
VZ,0.0
CTAS,0.0
CTLT,0.0
CTRA,0.0
CTSH,0.0
CTXS,0.0
CVNA,0.0
CZR,0.0
D,0.0
DASH,0.0
DAY,0.0
