campaign_id,variant_id,clock,extra_adverse_bps_per_side,net_simple_return,maximum_drawdown,role_coverage,trade_roles,active_sessions,entry_roles,trade_sessions,entries_per_calendar_session,trade_session_fraction,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month
CAM-0608,qqq__slow_residual_r5__top10__weekly,0930,0.0,0.18398372430179455,0.24240371410055384,1.0,920,251,463,52,1.844621513944223,0.20717131474103587,128,123,6,6,0.015331977025149544,0.009930458801315083,-0.13045122826885597,0.12939935976543393
CAM-0608,qqq__slow_residual_r5__top10__weekly,0930,1.0,0.1754100223033617,0.2451454331697375,1.0,920,251,463,52,1.844621513944223,0.20717131474103587,127,124,6,6,0.014617501858613475,0.009187042258408665,-0.1310868836303115,0.12871138571185714
CAM-0608,qqq__slow_residual_r5__top10__weekly,0930,2.0,0.16683632030492884,0.24796598238005252,1.0,920,251,463,52,1.844621513944223,0.20717131474103587,127,124,6,6,0.0139030266920774,0.008443625715502251,-0.13172253899176706,0.12802341165828032
CAM-0608,qqq__slow_residual_r5__top10__weekly,0930,5.0,0.14111521430963037,0.25654090931746965,1.0,920,251,463,52,1.844621513944223,0.20717131474103587,126,125,6,6,0.011759601192469193,0.006213376086783014,-0.13362950507613366,0.12595948949754995
CAM-0609,qqq__slow_residual_r5__top10__weekly,0930,0.0,0.15099906922922182,0.12555254887780157,1.0,919,251,458,52,1.8247011952191234,0.20717131474103587,129,122,6,6,0.012583255769101817,0.004535484161053668,-0.05344185430546406,0.07652881342863654
CAM-0609,qqq__slow_residual_r5__top10__weekly,0930,1.0,0.14246514394965376,0.12844929829558774,1.0,919,251,458,52,1.8247011952191234,0.20717131474103587,129,122,6,6,0.011872095329137813,0.0037333286523896347,-0.054082472025957035,0.07585089857531853
CAM-0609,qqq__slow_residual_r5__top10__weekly,0930,2.0,0.13393121867008567,0.13136610829642673,1.0,919,251,458,52,1.8247011952191234,0.20717131474103587,129,122,6,6,0.011160934889173808,0.002931173143725603,-0.05472308974645001,0.07517298372200053
CAM-0609,qqq__slow_residual_r5__top10__weekly,0930,5.0,0.10832944283138154,0.14023900752586266,1.0,919,251,458,52,1.8247011952191234,0.20717131474103587,129,122,6,6,0.009027453569281795,0.000524706617733503,-0.05664494290792892,0.0731392391620465
CAM-0610,sp500__ma100__weekly__top10__momentum,0930,0.0,1.1028170390078524,0.08964623835809025,1.0,186,251,93,47,0.3705179282868526,0.18725099601593626,151,100,9,3,0.09190141991732105,0.0766987775608411,-0.021090455782750185,0.27817211085046184
CAM-0610,sp500__ma100__weekly__top10__momentum,0930,1.0,1.1009570390078525,0.08975933825619518,1.0,186,251,93,47,0.3705179282868526,0.18725099601593626,151,100,9,3,0.09174641991732106,0.0765187775608411,-0.02129045578275019,0.27811211085046184
CAM-0610,sp500__ma100__weekly__top10__momentum,0930,2.0,1.0990970390078525,0.08987265244766122,1.0,186,251,93,47,0.3705179282868526,0.18725099601593626,151,100,9,3,0.09159141991732105,0.07633877756084109,-0.021490455782750193,0.27805211085046183
CAM-0610,sp500__ma100__weekly__top10__momentum,0930,5.0,1.0935170390078524,0.09021388688999242,1.0,186,251,93,47,0.3705179282868526,0.18725099601593626,151,100,9,3,0.09112641991732105,0.07579877756084111,-0.022090455782750193,0.2778721108504618
CAM-0611,qqq__ma10_30__weekly__top10__risk_adjusted,0930,0.0,0.2357742569493207,0.22250223679535214,1.0,666,251,354,52,1.4103585657370519,0.20717131474103587,135,116,6,6,0.019647854745776724,0.01098995663308883,-0.13537539591827435,0.19259871431599734
CAM-0611,qqq__ma10_30__weekly__top10__risk_adjusted,0930,1.0,0.2322795157984251,0.2234701298620034,1.0,666,251,354,52,1.4103585657370519,0.20717131474103587,134,117,6,6,0.019356626316535425,0.010714209601774789,-0.1359118100743164,0.19223083771397914
CAM-0611,qqq__ma10_30__weekly__top10__risk_adjusted,0930,2.0,0.22878477464752955,0.22444169672422146,1.0,666,251,354,52,1.4103585657370519,0.20717131474103587,134,117,6,6,0.01906539788729413,0.010438462570460744,-0.13644822423035843,0.19186296111196097
CAM-0611,qqq__ma10_30__weekly__top10__risk_adjusted,0930,5.0,0.21830055119484273,0.22737865044931893,1.0,666,251,354,52,1.4103585657370519,0.20717131474103587,134,117,6,6,0.01819171259957023,0.009611221476518614,-0.13805746669848457,0.1907593313059064
CAM-0612,qqq__ma3_10_21__weekly__top10__momentum,0930,0.0,0.42710698811627373,0.2601236980377253,1.0,512,251,255,52,1.0159362549800797,0.20717131474103587,134,117,7,5,0.035592249009689485,0.008573856725391257,-0.23826512142163633,0.33653518758481066
CAM-0612,qqq__ma3_10_21__weekly__top10__momentum,0930,1.0,0.42178413097341666,0.2616478229319315,1.0,512,251,255,52,1.0159362549800797,0.20717131474103587,134,117,7,5,0.03514867758111805,0.008073856725391257,-0.23904012142163633,0.33623233044195355
CAM-0612,qqq__ma3_10_21__weekly__top10__momentum,0930,2.0,0.41646127383055953,0.26318018246887787,1.0,512,251,255,52,1.0159362549800797,0.20717131474103587,134,117,7,5,0.03470510615254662,0.007573856725391254,-0.23981512142163636,0.3359294732990964
