symbol,net_pnl
GOOGL,0.12672554132209873
MU,0.12332436178808075
GOOG,0.12177705234464058
META,0.11593292672053988
AAPL,0.09756694084991448
VRTX,0.09343573931383722
TSLA,0.0922318512090935
NFLX,0.08300965732529311
NVDA,0.07752133402046894
AMD,0.07200730163009396
CMCSA,0.06337159570445092
GILD,0.0620429643151109
TMUS,0.05254988462658032
AMZN,0.05085343615629393
PANW,0.050660366880843376
BIDU,0.04942927195413927
LIN,0.04878731350651468
ADI,0.046218882797586285
EBAY,0.043688891038576434
SBUX,0.039876563375905574
LULU,0.03869832390706172
AZN,0.037052654393670205
WDAY,0.03547023692727065
AVGO,0.03379351960865534
DOCU,0.03017986798134551
MRVL,0.02777341721462718
CSX,0.027123100017707232
PLTR,0.02672817440063589
BIIB,0.025069759477216746
CHTR,0.02490383352566849
CDNS,0.024748952598847056
KLAC,0.024540527481578957
APP,0.02350490276072553
PYPL,0.022168888043925767
ISRG,0.020004091207042992
WMT,0.019716510923551315
REGN,0.017962828242878773
COST,0.01749786176263459
JD,0.015295790052566273
INTU,0.014631867522821437
ON,0.012690317810000976
DXCM,0.010977816895861055
ATVI,0.010600730672380178
ADSK,0.010165939512246472
ORLY,0.007239539971531994
MDLZ,0.004110841257466343
BKNG,0.003840778554463068
NTES,0.0038068603782621625
MAR,0.0037681912235880337
MDB,0.003017207477443906
ALXN,0.002483119311692992
NXPI,0.002016483241845356
MSTR,0.0012574651747029992
AEP,0.0
ANSS,0.0
BKR,0.0
BMRN,0.0
QQQ,0.0
AAL,0.0
SMCI,0.0
SNDK,0.0
AXON,0.0
ALNY,0.0
ALGN,0.0
CERN,0.0
CCEP,0.0
CDW,0.0
CELG,0.0
CHKP,0.0
XEL,0.0
WDC,0.0
WTW,0.0
VRSK,0.0
VRSN,0.0
TCOM,0.0
INSM,0.0
KHC,0.0
FANG,0.0
EXPE,0.0
EXC,0.0
JBHT,0.0
HAS,0.0
HSIC,0.0
FTNT,0.0
GFS,0.0
MPWR,0.0
MNST,0.0
KDP,0.0
LBTYA,0.0
FOXA,0.0
FI,0.0
FAST,0.0
FOX,0.0
GEHC,0.0
CTXS,0.0
CTSH,0.0
FER,0.0
DLTR,0.0
CSGP,0.0
CTAS,0.0
CPRT,0.0
ZM,0.0
XLNX,0.0
WYNN,0.0
ULTA,0.0
WBA,0.0
VSNT,0.0
STX,0.0
PCAR,0.0
TTD,0.0
TTWO,0.0
TEAM,0.0
TRI,0.0
UAL,0.0
SWKS,0.0
SOLS,0.0
LBTYK,0.0
INCY,0.0
IDXX,0.0
NLOK,0.0
ODFL,0.0
OKTA,0.0
ROP,0.0
PAYX,0.0
MXIM,0.0
ROST,0.0
SGEN,0.0
SIRI,0.0
MTCH,0.0
RIVN,0.0
NTAP,0.0
MYL,0.0
ARM,-0.0002592786962027458
ILMN,-0.0008717453771920025
DDOG,-0.0021743567005432425
QCOM,-0.0030163253111023932
WBD,-0.0034163809177310345
LRCX,-0.004102233048773995
AMAT,-0.004235986122153602
INTC,-0.004531395720123632
PTON,-0.005573736753881907
EA,-0.009784748604090772
CEG,-0.011147479155637234
CRWD,-0.011268847139731667
MRNA,-0.01165385774550454
SPLK,-0.012448829372172072
SHOP,-0.013337197094170104
MCHP,-0.01649820043706592
ADP,-0.019940145930893806
ENPH,-0.022629505768885696
PEP,-0.02342421752649906
CSCO,-0.024610445363164257
SNPS,-0.025306736015246748
ASML,-0.03144375109875852
DASH,-0.033068320321085205
MELI,-0.03309055362171141
TXN,-0.03371454331566738
ABNB,-0.03390785171484939
ZS,-0.03493166752716811
MSFT,-0.036164310324534724
LCID,-0.03971644494623615
AMGN,-0.045176012438633326
ADBE,-0.05085129399051895
PDD,-0.054227570432086224
HON,-0.05538581583773459
