symbol,net_pnl
AMD,0.35892657836504266
MSTR,0.21703017428850271
MU,0.21617917060427477
ENPH,0.1960251168002981
ASML,0.17929695981203717
NFLX,0.1766915331075305
MAR,0.1564255743321708
TSLA,0.10510872256087586
PYPL,0.08323900731910885
SMCI,0.06425361243195278
QCOM,0.06120489161253089
SNDK,0.05956788634907523
TXN,0.05712195314649877
TMUS,0.052206586007017004
UAL,0.041006717659852136
KLAC,0.039216705155830936
DDOG,0.037723499833616725
LCID,0.03745793943842998
COST,0.0371156357817538
ADI,0.02907692733431652
DXCM,0.026566523382553657
GILD,0.025462100171860645
NXPI,0.02514469531032767
SBUX,0.024194974668539166
ADP,0.022935570387944394
WBD,0.021064856241056525
AMAT,0.020146350426366852
WDAY,0.01989518253348795
AMZN,0.018870653550243695
ISRG,0.018385656881356287
DASH,0.01622615158003622
ABNB,0.01610174646854368
AAL,0.015595725141819112
PEP,0.012641497691569432
SNPS,0.01131703833920154
MSFT,0.011217392171537818
ATVI,0.009310763190643707
ADBE,0.007368034768706995
ADSK,0.007287259617247077
TEAM,0.006453515306599309
STX,0.006252528605893228
WMT,0.005292976691429361
MCHP,0.005236320979094709
AZN,0.004663920402792524
MTCH,0.004043028915577933
MDLZ,0.003620596924623333
GOOG,0.0035551405491390502
CELG,0.00328736752918272
CDNS,0.003215103978497536
CMCSA,0.0018357006735711008
WBA,0.0013772435063400187
META,0.0007145149851604638
VRSK,0.0
CCEP,0.0
ALNY,0.0
AEP,0.0
AXON,0.0
ANSS,0.0
CHKP,0.0
QQQ,0.0
SOLS,0.0
PAYX,0.0
TRI,0.0
TCOM,0.0
SGEN,0.0
BMRN,0.0
BKR,0.0
CERN,0.0
CDW,0.0
WYNN,0.0
XEL,0.0
WTW,0.0
TTWO,0.0
VRSN,0.0
VSNT,0.0
MPWR,0.0
JBHT,0.0
HAS,0.0
HSIC,0.0
MNST,0.0
LBTYK,0.0
INSM,0.0
KDP,0.0
IDXX,0.0
INCY,0.0
GEHC,0.0
FTNT,0.0
GFS,0.0
FOXA,0.0
FAST,0.0
FANG,0.0
LBTYA,0.0
KHC,0.0
CTSH,0.0
CTXS,0.0
FOX,0.0
FI,0.0
FER,0.0
CTAS,0.0
CPRT,0.0
CSGP,0.0
SIRI,0.0
NTES,0.0
ODFL,0.0
PCAR,0.0
ROST,0.0
ROP,0.0
NLOK,0.0
MYL,0.0
NTAP,0.0
MXIM,0.0
ALXN,-0.00045717288326823074
EXPE,-0.000549688997641763
ALGN,-0.0005839645636904689
BIDU,-0.0010799963725859403
EXC,-0.0011463107153491412
EA,-0.0018277276790712514
TTD,-0.001836741166710733
SPLK,-0.002153962509130579
DLTR,-0.0025937431447349175
OKTA,-0.003196229184281757
LRCX,-0.005402301839118534
LIN,-0.006516278744556462
ON,-0.006571085432923463
SWKS,-0.006960693397592155
PANW,-0.008256246286074947
ORLY,-0.009317431032550751
ILMN,-0.010646228527087282
XLNX,-0.012617904624973569
WDC,-0.013882759480374837
RIVN,-0.013914118516442996
EBAY,-0.015294701533490615
CSCO,-0.01717027954244622
INTU,-0.01782938809756119
AAPL,-0.019667989647150552
CRWD,-0.020594630249531613
HON,-0.02184072798539139
CHTR,-0.02189412827514667
GOOGL,-0.025696780484479185
CSX,-0.02640498571652081
PLTR,-0.028518591158650984
REGN,-0.03069721903471035
VRTX,-0.030902670833433104
AVGO,-0.03510991043143585
MDB,-0.03637564964016107
ZM,-0.03672426004524256
DOCU,-0.04765070449462338
AMGN,-0.05059226783876047
BIIB,-0.055816843174216826
ULTA,-0.06601935764159524
MELI,-0.07150086544803701
BKNG,-0.07175877399915061
ARM,-0.08266181403208055
ZS,-0.08516041053967857
CEG,-0.08991806678451356
NVDA,-0.09466557229227172
MRVL,-0.09592687840204261
JD,-0.10624185609744259
MRNA,-0.12452657403628867
INTC,-0.13940757521976863
SHOP,-0.14852282547020676
LULU,-0.164753247502469
APP,-0.2201145890536847
PDD,-0.24925690577495355
PTON,-0.2549842919437924
