symbol,net_pnl
AMD,0.16660908321051587
TSLA,0.11319142754107314
MU,0.09212340958281146
MRNA,0.07303282797495436
LRCX,0.04963047902966555
AMAT,0.044160992958415565
ENPH,0.031557184474321126
PDD,0.03015288017805156
ASML,0.02924793159965087
SMCI,0.028323275771894203
PYPL,0.027374642995660045
QCOM,0.025413039375846047
NFLX,0.024345563670795028
ADBE,0.021911034759564223
MRVL,0.020545369164534453
LCID,0.019436601104407307
PLTR,0.019053337871905666
MAR,0.018377949491366397
NXPI,0.01774290126004865
ISRG,0.016929447521087628
WDC,0.015378350915849345
NVDA,0.014127046754979194
STX,0.012778009011006102
ATVI,0.011956324879106037
APP,0.011857607133854673
SNDK,0.011572875910629317
DOCU,0.011412774494381862
CEG,0.011361111599014777
ADSK,0.01131157617873532
MELI,0.010826700919123945
GOOG,0.010379979507468676
KLAC,0.009663212222200871
CRWD,0.009250943751586792
AAPL,0.008704629983606445
SNPS,0.008273988321029244
MCHP,0.008208846503322055
PEP,0.007203842685729922
ULTA,0.006900036630106546
TTD,0.005990033442228544
SHOP,0.005459106357345878
ADP,0.005457462503969361
CDNS,0.005296578918791079
GOOGL,0.005023721689978295
NTES,0.005007224342485323
CHTR,0.004542668543232788
WBD,0.0035913769840022437
TXN,0.0034000686037118032
AZN,0.0033316492118142674
DXCM,0.0030501937250352667
WMT,0.003011691990137809
CELG,0.0027805644316911374
MSFT,0.0022989342356015143
JD,0.002140191777440303
DASH,0.0016563486423597394
SPLK,0.0015123243759416162
AVGO,0.0013432097305151615
ILMN,0.000571799886571618
ORLY,0.0003498252748910163
EBAY,0.00011823734921204005
CCEP,0.0
QQQ,0.0
AEP,0.0
ANSS,0.0
ALNY,0.0
CDW,0.0
BKR,0.0
CERN,0.0
BMRN,0.0
CHKP,0.0
XEL,0.0
WYNN,0.0
VRSN,0.0
VRSK,0.0
VSNT,0.0
WTW,0.0
SOLS,0.0
TRI,0.0
TTWO,0.0
PCAR,0.0
NTAP,0.0
AXON,0.0
JBHT,0.0
INCY,0.0
KDP,0.0
KHC,0.0
MNST,0.0
MPWR,0.0
LBTYK,0.0
LBTYA,0.0
GEHC,0.0
FTNT,0.0
FOX,0.0
FOXA,0.0
CTXS,0.0
FAST,0.0
FI,0.0
FER,0.0
CTSH,0.0
CPRT,0.0
CTAS,0.0
CSGP,0.0
SIRI,0.0
ROST,0.0
HSIC,0.0
IDXX,0.0
GFS,0.0
FANG,0.0
HAS,0.0
INSM,0.0
ODFL,0.0
ROP,0.0
SGEN,0.0
PAYX,0.0
TCOM,0.0
NLOK,0.0
MYL,0.0
MXIM,0.0
ALXN,-7.178303163634831e-05
ALGN,-0.00015367206047047578
AMGN,-0.0001826653654960226
PTON,-0.0012373569145981507
DLTR,-0.0012851983045198737
SWKS,-0.0021655562997379605
LIN,-0.0023138186469657627
OKTA,-0.002363726624801001
EXPE,-0.0024379865998730393
MTCH,-0.002539892978756622
XLNX,-0.0031146849712818483
INTU,-0.0036918044337739602
COST,-0.0037540015794746153
ADI,-0.00391862074574912
EXC,-0.003947144693003026
MDLZ,-0.0046765996765919015
CSX,-0.005220995413328794
RIVN,-0.005848145196087099
TMUS,-0.005994336496217799
PANW,-0.006221401258608634
AAL,-0.006446389766329136
GILD,-0.007256598733921853
EA,-0.0073045300063492415
WDAY,-0.008114304795715826
ON,-0.008266099408292584
AMZN,-0.008725997621731816
TEAM,-0.008775477362435028
CSCO,-0.008847618806552975
BIIB,-0.009216104033472153
CMCSA,-0.009299002901189159
UAL,-0.010422462765701208
META,-0.011099010077007318
SBUX,-0.011213218795493692
WBA,-0.011364756137605748
MSTR,-0.013219236543992749
ARM,-0.01368335870654455
ZM,-0.01633898560574063
BKNG,-0.01690716053857457
VRTX,-0.01720949250993925
HON,-0.017594911209598853
REGN,-0.02029782068679675
INTC,-0.02198847112885479
ABNB,-0.024365294171147932
ZS,-0.025260491675294223
BIDU,-0.025776160176276132
MDB,-0.03096789080036613
DDOG,-0.03497479066280342
LULU,-0.05149439292045363
