campaign_id,variant_id,extra_slippage_bps_per_side,net_simple_return,maximum_drawdown,position_rows,quote_complete_position_rows,missing_position_rows,position_coverage_rate,symbols,active_sessions,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,recent12_average_month,top5_symbol_positive_share,leave_best_symbol_out_return,mean_entry_spread_bps,mean_exit_spread_bps,median_entry_delay_ms,median_exit_role_delay_ms,max_role_window_seconds,broker_margin,direct_short,holdout_rows_loaded
CAM-0600,etf__mom252_skip0_hold3_q10__all__regime0,0.0,0.41367639560327873,0.27062102603709115,994,994,0,1.0,9,249,148,101,9,3,0.03447303296693989,0.023771488397838738,0.03447303296693989,0.9865805925258262,0.052079906135498344,9.245654500708527,9.243008963866984,3.2237845000000003,3.2255375,1,False,False,0
CAM-0600,etf__mom252_skip0_hold3_q10__all__regime0,1.0,0.3638763956032787,0.28512854276562366,994,994,0,1.0,9,249,145,104,9,3,0.0303230329669399,0.019671488397838742,0.0303230329669399,0.9933728394422476,0.007724350579942807,9.245654500708527,9.243008963866984,3.2237845000000003,3.2255375,1,False,False,0
CAM-0600,etf__mom252_skip0_hold3_q10__all__regime0,2.0,0.3140763956032786,0.3085425739042833,994,994,0,1.0,9,249,145,104,9,3,0.02617303296693989,0.015571488397838737,0.02617303296693989,0.9976206137610975,-0.0366312049756129,9.245654500708527,9.243008963866984,3.2237845000000003,3.2255375,1,False,False,0
CAM-0600,etf__mom252_skip0_hold3_q10__all__regime0,5.0,0.16467639560327854,0.3850286179981371,994,994,0,1.0,9,249,138,111,7,5,0.01372303296693988,0.0032714883978387285,0.01372303296693988,1.0,-0.1696978716422796,9.245654500708527,9.243008963866984,3.2237845000000003,3.2255375,1,False,False,0
CAM-0601,qqq__sue_sec__hold1__q20__long,0.0,-1.8251094924611457,1.8211366313702646,5000,5000,0,1.0,27,250,61,189,0,12,-0.15209245770509547,-0.1576676685952747,-0.15209245770509547,0.9060409222521881,-1.8821901608079459,82.63587349818108,82.82737591535927,26.680017999999997,26.680017999999997,30,False,False,0
CAM-0601,qqq__sue_sec__hold1__q20__long,1.0,-1.8751094924611458,1.8717551599606794,5000,5000,0,1.0,27,250,58,192,0,12,-0.15625912437176212,-0.16216766859527468,-0.15625912437176212,0.9104459106439462,-1.929690160807946,82.63587349818108,82.82737591535927,26.680017999999997,26.680017999999997,30,False,False,0
CAM-0601,qqq__sue_sec__hold1__q20__long,2.0,-1.9251094924611456,1.9225146956060895,5000,5000,0,1.0,27,250,57,193,0,12,-0.1604257910384288,-0.16666766859527468,-0.1604257910384288,0.9191242453348636,-1.9771901608079459,82.63587349818108,82.82737591535927,26.680017999999997,26.680017999999997,30,False,False,0
CAM-0601,qqq__sue_sec__hold1__q20__long,5.0,-2.075109492461146,2.075645261604823,5000,5000,0,1.0,27,250,54,196,0,12,-0.17292579103842884,-0.1801676685952747,-0.17292579103842884,0.9657968574716991,-2.119690160807946,82.63587349818108,82.82737591535927,26.680017999999997,26.680017999999997,30,False,False,0
CAM-0602,qqq__btp__profitable__hold1__q10,0.0,-2.5883286698234933,2.5890764041515584,2169,2169,0,1.0,16,250,29,221,0,12,-0.21569405581862447,-0.20169519101219838,-0.21569405581862447,1.0,-2.6039662566690063,109.16427469937207,108.90757920096948,25.090839,25.098249,5,False,False,0
CAM-0602,qqq__btp__profitable__hold1__q10,1.0,-2.6383286698234936,2.6394279825066387,2169,2169,0,1.0,16,250,28,222,0,12,-0.2198607224852911,-0.20569519101219838,-0.2198607224852911,1.0,-2.65349959000234,109.16427469937207,108.90757920096948,25.090839,25.098249,5,False,False,0
