campaign_id,strategy_section,source_run,structured_survivors,selected_variant,bar_net_2bps,bar_maximum_drawdown,decision,quote_2bps_net,quote_2bps_drawdown,quote_2bps_positive_months,quote_2bps_negative_months,quote_2bps_coverage,quote_10bps_net,quote_10bps_drawdown,quote_10bps_positive_months,quote_10bps_negative_months,quote_10bps_coverage,strategy_title
CAM-0600,3.1,RUN-0020,71,qqq__mom252_skip21__top3__liquid_trend__panic1,2.3535292568426063,0.196331972608229,provisional_execution_survivor,0.7298310176178295,0.1353360115214435,9.0,3.0,1.0,0.723224344908144,0.1355387614616884,9.0,3.0,1.0,Price momentum
CAM-0601,3.2,RUN-0020,6,qqq__sue__hold6__top5__price20,1.1235609865202796,0.3007199764360217,provisional_execution_survivor,0.3529795896342453,0.1575900450160994,8.0,4.0,1.0,0.3504895475516011,0.1582459944711685,7.0,5.0,1.0,Earnings momentum
CAM-0602,3.3,RUN-0020,34,qqq__value_quality__top10__trend1,1.3872106555681776,0.2387873233885919,provisional_execution_survivor,0.6430887102940156,0.063414066852876,9.0,3.0,1.0,0.6375862209880954,0.0642220936651706,9.0,3.0,1.0,Value
CAM-0603,3.4,RUN-0020,11,qqq__lowvol_quality__top20__trend1,0.9312698082061462,0.2212323335432565,provisional_execution_survivor,0.2521906980291689,0.0703903727470411,8.0,4.0,1.0,0.2476568122527097,0.0708439746990487,8.0,4.0,1.0,Low-volatility anomaly
CAM-0604,3.6,RUN-0020,36,qqq__mom_quality__top5__trend1,1.1337945295872718,0.2562897231954215,provisional_execution_survivor,0.370845376322817,0.1473108510009819,8.0,4.0,1.0,0.3656679467610654,0.1482759693422671,8.0,4.0,1.0,Multifactor portfolio
CAM-0605,3.7,RUN-0020,12,sp500__resmom__top10__liquid_trend,0.5265625684920615,0.1758170227507806,provisional_execution_survivor,0.3730349446062466,0.0873419491994962,9.0,3.0,1.0,0.3636856744365641,0.0887230611487235,9.0,3.0,1.0,Residual momentum
CAM-0606,3.8,RUN-0020,4,,,,no_structured_survivor,,,,,,,,,,,Pairs trading
CAM-0607,3.9,RUN-0020,4,etf__long_cheap_r2__top1__z1__trend0,3.0485405953615663,0.2198220875541768,provisional_execution_survivor,0.2512686923042891,0.3002210618639839,8.0,4.0,1.0,-0.1311313076957112,0.4365852840772827,8.0,4.0,1.0,Single-cluster mean reversion
CAM-0608,3.9.1,RUN-0021,3,qqq__slow_residual_r10__top10__monthly,2.106745166754404,0.2828048049329515,provisional_execution_survivor,0.4473749177640226,0.2096160399240058,8.0,4.0,1.0,0.431037564084321,0.2142211247349992,8.0,4.0,1.0,Multiple-cluster mean reversion
CAM-0609,3.10,RUN-0021,6,qqq__slow_residual_r10__top10__monthly,1.4532518343531151,0.253476928148492,provisional_execution_survivor,0.3245337399472053,0.0935038667672602,8.0,4.0,1.0,0.3092901604265738,0.0956036113921395,8.0,4.0,1.0,Weighted-regression mean reversion
CAM-0610,3.11,RUN-0020,38,qqq__ma150__weekly__top3__momentum,3.489745108524958,0.3852959489879378,provisional_execution_survivor,1.167548461701624,0.1289192533684452,9.0,3.0,1.0,1.1536817950349572,0.1304268080200997,9.0,3.0,1.0,Single moving average
CAM-0611,3.12,RUN-0020,33,sp500__ma50_200__weekly__top3__momentum,2.500445477870296,0.2635994824702233,provisional_execution_survivor,1.6151100688704685,0.1187793556227905,11.0,1.0,1.0,1.5969767355371347,0.1198653623757879,11.0,1.0,1.0,Two moving averages
CAM-0612,3.13,RUN-0020,22,sp500__ma10_50_200__monthly__top3__momentum,2.1408196732757503,0.2819904684630343,provisional_execution_survivor,1.6959350154238375,0.1257697659076063,11.0,1.0,1.0,1.6874016820905045,0.1262612359663808,11.0,1.0,1.0,Three moving averages
CAM-0613,3.14,RUN-0020,0,,,,no_structured_survivor,,,,,,,,,,,Support and resistance
CAM-0614,3.15,RUN-0020,5,sp500__donchian100__reversal,0.3795591664258467,0.2381454825211656,provisional_execution_survivor,0.1346262412893403,0.0656744992134545,8.0,4.0,0.9993810376461746,0.1292949639794846,0.0663675202038913,8.0,4.0,0.9993810376461746,Donchian channel
CAM-0615,3.18,RUN-0020,40,qqq__fullcov_s50__mom60__positive_top5,1.1145713190311275,0.2784234998687941,provisional_execution_survivor,0.1811910683115105,0.1260696304664626,9.0,3.0,1.0,0.1693878960161353,0.1294826031324712,8.0,4.0,1.0,Statistical-arbitrage optimization
CAM-0616,3.18.1,RUN-0020,40,qqq__fullcov_s50__mom60__positive_top5,1.1161707575817876,0.2689708670748301,provisional_execution_survivor,0.1772382014548482,0.1319339039554642,8.0,4.0,1.0,0.1650373991051729,0.1357119592417607,8.0,4.0,1.0,Dollar-neutral statistical-arbitrage optimization
CAM-0617,3.20,RUN-0021,6,etf__alpha_M20_E5__top5__monthly__trend0,1.959860560613951,0.3241075343847185,provisional_execution_survivor,0.6428665575104067,0.1567266608989109,9.0,3.0,1.0,0.6276720121601121,0.1575767947070402,9.0,3.0,1.0,Alpha combos
CAM-0618,4.1,RUN-0020,13,sector11__mom252_skip21__weekly__top3,1.1156596031290853,0.3409077067269778,provisional_execution_survivor,0.2636976965844868,0.0557124982713536,11.0,1.0,1.0,0.2521855639858469,0.0566005679563996,10.0,2.0,1.0,Sector momentum rotation
CAM-0619,4.1.1,RUN-0020,13,sector11__mom63_skip0__monthly__top1,1.299563398714651,0.1755432227380992,provisional_execution_survivor,0.3948595818432061,0.1000197855629909,8.0,4.0,1.0,0.3868595818432061,0.100575877856887,8.0,4.0,1.0,Sector momentum with moving-average filter
CAM-0620,4.1.2,RUN-0020,12,sector11__mom63_skip0__monthly__top1,1.1793742131261449,0.1686423265358274,provisional_execution_survivor,0.3587493542799908,0.0931690477026406,8.0,4.0,1.0,0.3507493542799907,0.0947040716494337,8.0,4.0,1.0,Dual-momentum sector rotation
CAM-0621,4.4,RUN-0021,24,etf__ibs30__top5__hold3__trend1,1.5363342674432792,0.1401865557843107,provisional_execution_survivor,0.276740936192023,0.0488262496777003,7.0,5.0,1.0,0.1907320473031341,0.0629252888230856,7.0,5.0,1.0,ETF IBS mean reversion
CAM-0622,6.5,RUN-0020,19,QQQ__target15__vol20__monthly__thr20__def1,1.1621951104344348,0.1618077561726768,provisional_execution_survivor,0.1802407899773932,0.0944374048595443,8.0,4.0,1.0,0.1767162786138238,0.0946280642565548,8.0,4.0,1.0,Index volatility targeting with risk-free asset
CAM-0623,15.3,RUN-0020,18,qqq__chs_safe__top5__liquid__raw,1.9622874671974029,0.2270430138886524,provisional_execution_survivor,0.7624743443316937,0.0965200903520299,9.0,3.0,1.0,0.7561140837465891,0.0973344151746266,9.0,3.0,1.0,Distress risk puzzle
CAM-0624,15.3.1,RUN-0020,72,qqq__chs_safe__top5__liquid__target15,1.140427631451077,0.1507634642140425,provisional_execution_survivor,0.3282392379538239,0.0661137781092066,9.0,3.0,1.0,0.3252555841362927,0.0665946193289933,9.0,3.0,1.0,Distress risk puzzle risk management
