symbol,net_pnl
AZN,0.15852541496619602
AMD,0.11213210197646788
GOOGL,0.07202566417640643
COST,0.060167020791486336
CRWD,0.05517854444305443
GOOG,0.05320667837148304
PDD,0.049308669936808665
PLTR,0.0467000113428453
APP,0.04019582282685752
LULU,0.03892651805070066
TXN,0.03704291348177628
CDNS,0.034723202920299685
MRVL,0.03380810428270781
ALXN,0.03219896511645346
SNPS,0.030509774034224186
MELI,0.028348732583059248
ASML,0.027444727301456917
NFLX,0.02703344013909045
UAL,0.02503259316017202
BKNG,0.02332807117727997
TEAM,0.022910250655966885
ZS,0.022209932286607587
BIIB,0.021835336383470936
MPWR,0.01975563092388004
INTU,0.019649326960345114
REGN,0.019346736790061905
TTD,0.018395167732048485
SGEN,0.017372406960036623
AEP,0.014923712818476426
AAPL,0.014905997889957954
DLTR,0.014335387233508506
ADBE,0.013822389579768706
BMRN,0.013585166394027794
MXIM,0.012991471289850813
DDOG,0.012745707712340789
CSX,0.012205433302841556
ATVI,0.011648058302640731
VRTX,0.011205509758241715
ORLY,0.010213120557124606
NXPI,0.009258554433858616
MU,0.008845410552380275
NTES,0.008058565829383982
META,0.007950639025174346
VRSK,0.006214275967770535
ADSK,0.005348571980194033
CSGP,0.004949791567334932
AMGN,0.004878798252087345
BIDU,0.004700788876635936
LBTYA,0.0036647452061855683
MNST,0.0024316968581494856
KHC,0.0018914623185372103
LIN,0.0009053280185743846
SIRI,0.0007897844998689295
SPLK,0.000261341507058086
WBA,0.00024943582825777123
ROP,3.698756999077405e-05
XEL,3.426487341814797e-05
QQQ,0.0
ADI,0.0
AAL,0.0
ABNB,0.0
ANSS,0.0
BKR,0.0
ALNY,0.0
AMAT,0.0
ARM,0.0
CEG,0.0
CCEP,0.0
CERN,0.0
XLNX,0.0
TTWO,0.0
TRI,0.0
TMUS,0.0
SOLS,0.0
SBUX,0.0
QCOM,0.0
CELG,0.0
AVGO,0.0
FANG,0.0
MAR,0.0
KLAC,0.0
ISRG,0.0
INCY,0.0
JBHT,0.0
GEHC,0.0
LBTYK,0.0
MDB,0.0
GILD,0.0
FI,0.0
GFS,0.0
FAST,0.0
FOX,0.0
FOXA,0.0
EA,0.0
CSCO,0.0
DASH,0.0
FER,0.0
EXC,0.0
EBAY,0.0
CPRT,0.0
CMCSA,0.0
ZM,0.0
WYNN,0.0
WDC,0.0
WMT,0.0
WBD,0.0
VSNT,0.0
VRSN,0.0
SHOP,0.0
PCAR,0.0
PTON,0.0
MYL,0.0
STX,0.0
LCID,0.0
MCHP,0.0
MDLZ,0.0
MSFT,0.0
ILMN,0.0
HSIC,0.0
HON,0.0
INSM,0.0
HAS,0.0
KDP,0.0
EXPE,0.0
NVDA,0.0
ROST,0.0
RIVN,0.0
OKTA,0.0
ON,0.0
ODFL,0.0
NLOK,0.0
MSTR,0.0
MTCH,0.0
TCOM,0.0
SWKS,0.0
SNDK,0.0
SMCI,0.0
PAYX,-8.317817943843698e-05
WTW,-0.0012265980568506476
CTXS,-0.0018762997029018326
ULTA,-0.0022034669784432104
CTSH,-0.002371481371051946
IDXX,-0.003347219166167465
ALGN,-0.003383090784147768
AXON,-0.004009863468045822
PANW,-0.0041782714413057375
INTC,-0.004246426645487948
CHKP,-0.00427392780552891
LRCX,-0.005405402585121483
ADP,-0.006061631640690249
WDAY,-0.007991019371391328
CDW,-0.008787486191799566
CTAS,-0.009429048713690193
NTAP,-0.013442113745537903
PEP,-0.014212897370800523
TSLA,-0.019125879326409728
JD,-0.020352946761835886
DXCM,-0.02797191228016153
ENPH,-0.03296052191652683
MRNA,-0.033068495700079664
AMZN,-0.03587755138254607
FTNT,-0.03911789747916516
PYPL,-0.04316592844367114
CHTR,-0.047180395125578464
DOCU,-0.05081177200342527
