symbol,net_pnl
AMD,0.029195609190284532
NRG,0.025381568469936215
PLTR,0.02241653383557371
TER,0.01977880650243732
GOOGL,0.018489357256769867
GOOG,0.017918242983298662
PH,0.017321281225421745
CDNS,0.0160744493583603
AZO,0.014679191102031128
COST,0.014612216414164367
PHM,0.014086336495805644
SNPS,0.013662346924363718
ALB,0.011937891797834796
MSI,0.011523046491541919
URI,0.01124172892606452
DHI,0.010156934210655175
HUBB,0.009405176617803867
UAL,0.009019793480287773
AXON,0.008607003335552027
GL,0.008460875486759152
GE,0.00839353125061339
TXN,0.0081848878802232
LIN,0.00804685381290071
NOC,0.008027501875296267
PFG,0.007947244123300884
AEP,0.006784630303760737
DGX,0.006679289570490578
MS,0.006612779468875027
MA,0.00634690327891725
PANW,0.0060494010196872824
MCO,0.005827361230359566
LMT,0.005668308847012594
NVR,0.005588010570872553
HIG,0.005367688033527363
META,0.005266845948663976
MPWR,0.005198850243126326
DUK,0.004853246717306237
LNT,0.004500611961115258
TXT,0.004473393229951041
BX,0.004269246337346054
EXPD,0.004265372116785711
FTNT,0.004187175911073254
MGM,0.0039820572647602985
CI,0.003894815518255631
PNW,0.003882791078189345
VRSN,0.003877216795018944
SBAC,0.0036971020876668623
DLR,0.003609746662349246
CEG,0.0035751704449585547
CMS,0.0032861717835486054
ROP,0.003240531154314909
AOS,0.003132117486541527
HII,0.0029853604978492226
ECL,0.0028075255232593837
FDX,0.0027584353959171294
WTW,0.0027533500844653253
SYY,0.002720131554267174
MTD,0.0026666755622622995
LEN,0.0025320035695535646
INTU,0.0024580417263860297
EME,0.0021932518955321313
PG,0.0021324798567149608
LYV,0.002036613382180308
FOXA,0.001998167398592977
KLAC,0.0019745796177912927
KMX,0.0019521890758905922
NUE,0.0019467567015215047
VRSK,0.0017701816794252825
CPAY,0.001652109272032113
SYK,0.001649780350868396
DHR,0.001514310025607863
NTAP,0.0014992136513127432
ADSK,0.0013784717116178077
FRT,0.0013069145832302121
ALGN,0.0012123947999364696
BR,0.0011849515413822165
TRMB,0.0010637093802442286
ADP,0.000722035725043337
MET,0.0006584664064721909
DASH,0.0006224355996561734
GIS,0.0005327823427542775
GNRC,0.000460975236737
CDW,0.00026355155804152477
LRCX,0.00017942185127646417
SPG,0.00012407046072105733
ENPH,1.2200814595076722e-05
BKR,0.0
APA,0.0
APD,0.0
APH,0.0
APO,0.0
APTV,0.0
ARE,0.0
ARES,0.0
ATO,0.0
ATVI,0.0
AVB,0.0
BWA,0.0
BXP,0.0
C,0.0
CAG,0.0
CAH,0.0
CARR,0.0
AAL,0.0
BA,0.0
BAC,0.0
BALL,0.0
BAX,0.0
BBY,0.0
BDX,0.0
BEN,0.0
CE,0.0
CERN,0.0
CF,0.0
CFG,0.0
CHD,0.0
CHRW,0.0
BLK,0.0
BLL,0.0
BMY,0.0
BRK.B,0.0
BRO,0.0
BSX,0.0
CMA,0.0
CMCSA,0.0
CME,0.0
CMI,0.0
CNC,0.0
CNP,0.0
COF,0.0
COG,0.0
CAT,0.0
CB,0.0
CBOE,0.0
CBRE,0.0
CCI,0.0
CCL,0.0
CDAY,0.0
COIN,0.0
COO,0.0
COP,0.0
COR,0.0
CPB,0.0
CPRT,0.0
CRH,0.0
CRM,0.0
CSCO,0.0
CSGP,0.0
CIEN,0.0
CINF,0.0
CL,0.0
VTRS,0.0
CTLT,0.0
CTRA,0.0
CTSH,0.0
CTVA,0.0
CTXS,0.0
CVNA,0.0
CVS,0.0
CVX,0.0
CZR,0.0
D,0.0
DAL,0.0
CASY,0.0
DAY,0.0
DD,0.0
COHR,0.0
DOC,0.0
USB,0.0
V,0.0
VFC,0.0
VIAC,0.0
VICI,0.0
VLO,0.0
VLTO,0.0
VMC,0.0
VNO,0.0
VRT,0.0
VRTX,0.0
VST,0.0
VTR,0.0
EFX,0.0
DDOG,0.0
DE,0.0
DECK,0.0
DELL,0.0
DFS,0.0
DG,0.0
DIS,0.0
DISCA,0.0
DISCK,0.0
DISH,0.0
DLTR,0.0
ERIE,0.0
ES,0.0
ESS,0.0
DOV,0.0
DOW,0.0
DRE,0.0
DRI,0.0
DTE,0.0
DVA,0.0
DVN,0.0
DXC,0.0
EA,0.0
EBAY,0.0
ED,0.0
FAST,0.0
FB,0.0
FBHS,0.0
FCX,0.0
EG,0.0
EIX,0.0
EL,0.0
ELV,0.0
EMR,0.0
EOG,0.0
EPAM,0.0
EQIX,0.0
EQR,0.0
EQT,0.0
FLT,0.0
FOX,0.0
FRC,0.0
ETN,0.0
ETR,0.0
ETSY,0.0
EVRG,0.0
EW,0.0
EXC,0.0
EXE,0.0
EXPE,0.0
EXR,0.0
F,0.0
FANG,0.0
GILD,0.0
GM,0.0
FDS,0.0
FE,0.0
FFIV,0.0
FI,0.0
FICO,0.0
FIS,0.0
FISV,0.0
FITB,0.0
FIX,0.0
FLIR,0.0
HBAN,0.0
HBI,0.0
HCA,0.0
HD,0.0
HES,0.0
HFC,0.0
FSLR,0.0
FTV,0.0
GD,0.0
GDDY,0.0
GEHC,0.0
GEN,0.0
GEV,0.0
HST,0.0
HSY,0.0
HUM,0.0
HWM,0.0
IBKR,0.0
GPC,0.0
GPN,0.0
GPS,0.0
GRMN,0.0
GS,0.0
GWW,0.0
HAL,0.0
HAS,0.0
INFO,0.0
INVH,0.0
IP,0.0
IPG,0.0
IR,0.0
HLT,0.0
HOLX,0.0
HON,0.0
HOOD,0.0
HPE,0.0
HPQ,0.0
HRL,0.0
HSIC,0.0
JBL,0.0
JCI,0.0
JKHY,0.0
JNJ,0.0
JNPR,0.0
JPM,0.0
K,0.0
KDP,0.0
KEY,0.0
IBM,0.0
ICE,0.0
IDXX,0.0
IEX,0.0
IFF,0.0
ILMN,0.0
INCY,0.0
AAP,0.0
KO,0.0
KR,0.0
KSU,0.0
KVUE,0.0
L,0.0
LB,0.0
LDOS,0.0
LEG,0.0
IRM,0.0
ISRG,0.0
IT,0.0
ITW,0.0
IVZ,0.0
J,0.0
JBHT,0.0
LITE,0.0
LLY,0.0
AAPL,0.0
LNC,0.0
ABBV,0.0
LOW,0.0
ABC,0.0
LUMN,0.0
LUV,0.0
KEYS,0.0
KHC,0.0
KIM,0.0
KKR,0.0
ABMD,0.0
KMB,0.0
KMI,0.0
ABNB,0.0
MAA,0.0
MAR,0.0
MAS,0.0
MCD,0.0
MCHP,0.0
MCK,0.0
ABT,0.0
MDT,0.0
ACGL,0.0
ZBRA,0.0
WRB,0.0
LH,0.0
LHX,0.0
LII,0.0
TKO,0.0
MKC,0.0
MKTX,0.0
MLM,0.0
MMC,0.0
MMM,0.0
MO,0.0
MOH,0.0
MOS,0.0
MPC,0.0
AON,0.0
MRK,0.0
MRO,0.0
LVS,0.0
LW,0.0
LYB,0.0
WRK,0.0
MSCI,0.0
MSFT,0.0
SPY,0.0
MTB,0.0
MTCH,0.0
ADM,0.0
MU,0.0
MXIM,0.0
NCLH,0.0
NDAQ,0.0
NDSN,0.0
NEE,0.0
NEM,0.0
NFLX,0.0
AEE,0.0
MHK,0.0
NKE,0.0
NLOK,0.0
NLSN,0.0
AES,0.0
NOV,0.0
NOW,0.0
AFL,0.0
NSC,0.0
AIG,0.0
NTRS,0.0
AIZ,0.0
NVDA,0.0
AJG,0.0
NWL,0.0
MRSH,0.0
AKAM,0.0
UPS,0.0
ALK,0.0
O,0.0
ODFL,0.0
OGN,0.0
OKE,0.0
OMC,0.0
ON,0.0
ORCL,0.0
OTIS,0.0
OXY,0.0
WMT,0.0
PARA,0.0
PAYC,0.0
PAYX,0.0
NI,0.0
PKG,0.0
PKI,0.0
TWTR,0.0
AVGO,0.0
AVY,0.0
TYL,0.0
UA,0.0
UAA,0.0
AXP,0.0
UBER,0.0
UDR,0.0
UHS,0.0
ULTA,0.0
UNH,0.0
UNM,0.0
UNP,0.0
PSKY,0.0
PSX,0.0
PTC,0.0
PVH,0.0
PBCT,0.0
PCAR,0.0
PCG,0.0
PEAK,0.0
PEG,0.0
PENN,0.0
PFE,0.0
ALLE,0.0
ALXN,0.0
PGR,0.0
AMAT,0.0
AMCR,0.0
RHI,0.0
RJF,0.0
RL,0.0
RMD,0.0
ROK,0.0
AME,0.0
PM,0.0
PNC,0.0
PNR,0.0
AMGN,0.0
PODD,0.0
PPG,0.0
PPL,0.0
PRGO,0.0
PRU,0.0
PSA,0.0
SBNY,0.0
SBUX,0.0
SCHW,0.0
SEDG,0.0
SEE,0.0
SIVB,0.0
SJM,0.0
PWR,0.0
PXD,0.0
Q,0.0
QCOM,0.0
QRVO,0.0
RCL,0.0
RE,0.0
REG,0.0
RF,0.0
SOLV,0.0
AMP,0.0
SPGI,0.0
SRE,0.0
STE,0.0
STLD,0.0
STT,0.0
STZ,0.0
ROL,0.0
AMTM,0.0
ROST,0.0
RSG,0.0
RTX,0.0
RVTY,0.0
SATS,0.0
ANET,0.0
TAP,0.0
TDG,0.0
TDY,0.0
TECH,0.0
TEL,0.0
ANSS,0.0
TFC,0.0
TFX,0.0
TGT,0.0
SLB,0.0
SMCI,0.0
SNA,0.0
SNDK,0.0
ANTM,0.0
SO,0.0
SOLS,0.0
TMO,0.0
TMUS,0.0
TPL,0.0
TPR,0.0
TRGP,0.0
BF.B,0.0
TSCO,0.0
TSN,0.0
TT,0.0
TTWO,0.0
SW,0.0
SWKS,0.0
SYF,0.0
BG,0.0
BIIB,0.0
T,0.0
WSM,0.0
BIO,0.0
VZ,0.0
WAB,0.0
WAT,0.0
WBA,0.0
WBD,0.0
WDC,0.0
WEC,0.0
WELL,0.0
WFC,0.0
WHR,0.0
WLTW,0.0
WM,0.0
WMB,0.0
ZTS,0.0
ADI,0.0
WST,0.0
BK,0.0
WU,0.0
WY,0.0
WYNN,0.0
XEL,0.0
XLNX,0.0
XOM,0.0
XRAY,0.0
XYL,0.0
XYZ,0.0
YUM,0.0
ZBH,0.0
TJX,0.0
A,0.0
ZION,-1.0674277336431657e-05
INTC,-1.1060916672930627e-05
MDLZ,-7.041180471776635e-05
DPZ,-0.00010886943604145169
REGN,-0.00016781534066098
STX,-0.000286365549975533
ALL,-0.000379004276031153
GLW,-0.000577777248077101
CRWD,-0.0006098005143423697
CLX,-0.0006360936997540586
NXPI,-0.0006638503362701783
TRV,-0.0008170875586176658
NWS,-0.0009545839627997004
SHW,-0.0009833507463728253
NWSA,-0.0010250065420331865
AWK,-0.0012923499652074994
POOL,-0.0013325995841514133
PLD,-0.0015770734365580141
ACN,-0.0017439745929802362
PEP,-0.001787509389118336
BKNG,-0.0018745749254068943
MNST,-0.0019290352657040863
IQV,-0.002176538950450543
AMT,-0.002405177062584385
AMZN,-0.0026212008244194105
CRL,-0.0031024681628864844
SWK,-0.0036870017968883904
BBWI,-0.00377123606271428
APP,-0.003947610052630951
CPT,-0.004026311839094724
ORLY,-0.004545377459667872
CTAS,-0.004749400535966133
LKQ,-0.004904749115792213
ADBE,-0.005257342735780876
TROW,-0.005529465461842772
CMG,-0.006356324093823586
BLDR,-0.006477473438841395
EMN,-0.006824366129714726
WDAY,-0.008356541978451452
MRNA,-0.009883010340230066
TSLA,-0.009918170132816564
IPGP,-0.009960643387516534
DXCM,-0.010515428053961873
LULU,-0.010546955645835819
CSX,-0.011993119666822823
FMC,-0.013144274753288696
CHTR,-0.014304522887440383
PYPL,-0.016492483833624137
TTD,-0.016927264813681273
