symbol,net_pnl
GOOGL,0.22098608397608033
CRWD,0.15420025503108878
NFLX,0.15330551905817924
GOOG,0.1421458540684692
COST,0.13354966719025746
AMD,0.12405095898669047
LULU,0.08196246639773068
PLTR,0.060788435418370375
AAPL,0.0532996284811812
TSLA,0.03875243220864597
GILD,0.036096778403883305
APP,0.031179190397587316
ATVI,0.03089105041927355
STX,0.027057686897611597
MRVL,0.025481710527104857
ADSK,0.024869061902873895
MELI,0.022368293107786794
AMZN,0.022209958569949964
ILMN,0.021027771352336844
VRTX,0.01943480614619977
NXPI,0.018864542623422454
PANW,0.017734043580492694
ADBE,0.017654402294272356
REGN,0.017640338123184243
NVDA,0.017500925241083223
WDC,0.013986788972796633
LIN,0.013515933484508365
ASML,0.013290216394096211
KLAC,0.011826703763788048
AVGO,0.011317704422348907
META,0.009651644082511747
CMCSA,0.00960449545280929
DXCM,0.00891885902992929
WBA,0.005770077010230164
AMGN,0.00466135771881906
AMAT,0.004346877124211336
CDNS,0.003542470355411101
LRCX,0.0019548196386929306
XEL,0.0
TTWO,0.0
VRSK,0.0
ROST,0.0
CEG,0.0
CERN,0.0
CHKP,0.0
BMRN,0.0
UAL,0.0
CDW,0.0
BKR,0.0
AXON,0.0
AZN,0.0
ARM,0.0
CELG,0.0
ALNY,0.0
ALGN,0.0
AEP,0.0
ANSS,0.0
ALXN,0.0
ADI,0.0
AAL,0.0
ABNB,0.0
QQQ,0.0
CCEP,0.0
GEHC,0.0
EBAY,0.0
FER,0.0
FI,0.0
DLTR,0.0
CSCO,0.0
MDB,0.0
MCHP,0.0
MAR,0.0
GFS,0.0
FOX,0.0
FAST,0.0
FTNT,0.0
FOXA,0.0
KHC,0.0
ISRG,0.0
HSIC,0.0
HAS,0.0
IDXX,0.0
INCY,0.0
INSM,0.0
HON,0.0
MSFT,0.0
MPWR,0.0
MNST,0.0
LBTYA,0.0
JBHT,0.0
EXC,0.0
EXPE,0.0
FANG,0.0
CTAS,0.0
CTSH,0.0
DASH,0.0
CTXS,0.0
EA,0.0
CSGP,0.0
CSX,0.0
CPRT,0.0
ZM,0.0
WMT,0.0
WTW,0.0
WYNN,0.0
VRSN,0.0
SOLS,0.0
SNPS,0.0
SMCI,0.0
LCID,0.0
LBTYK,0.0
KDP,0.0
MYL,0.0
ODFL,0.0
NTAP,0.0
NLOK,0.0
MSTR,0.0
SBUX,0.0
ORLY,0.0
PTON,0.0
PAYX,0.0
QCOM,0.0
ROP,0.0
RIVN,0.0
PCAR,0.0
SIRI,0.0
SGEN,0.0
SHOP,0.0
NTES,0.0
ON,0.0
OKTA,0.0
MXIM,0.0
MU,0.0
ZS,0.0
XLNX,0.0
TMUS,0.0
TRI,0.0
TTD,0.0
VSNT,0.0
WBD,0.0
ULTA,0.0
TCOM,0.0
TEAM,0.0
SWKS,0.0
SNDK,0.0
SPLK,0.0
TXN,-0.0002741106524174709
ADP,-0.001961333659365317
MDLZ,-0.002234982887100218
JD,-0.005170443999234661
MTCH,-0.006617579658796728
INTU,-0.006661945707757427
BIDU,-0.007853741471302389
PYPL,-0.011230138437674356
DDOG,-0.01297171666782207
PDD,-0.017563705844215603
BIIB,-0.018655037852872775
PEP,-0.01869154517408578
MRNA,-0.018967967186758024
INTC,-0.02376865469660744
WDAY,-0.02974684762685161
ENPH,-0.033776571371872816
CHTR,-0.03613019907894496
DOCU,-0.06833797594655945
BKNG,-0.08464560376456301
