symbol,net_pnl
AMCR,0.22320027626977812
HPE,0.01027369368009214
SYF,0.010186668398914222
GS,0.00999860674486316
APA,0.009619661978936465
WFC,0.00895513694448735
UAL,0.008880497841298627
EIX,0.008682185390822198
STT,0.008606188748687932
CTVA,0.00859303341332418
PHM,0.008580213081596698
C,0.008391087779547566
EQT,0.007909467156239849
L,0.007806192103609106
CB,0.0078048674742266415
RF,0.0075486558133803444
MTB,0.007491780656316296
PFG,0.007351417488993215
DHI,0.007238676989283729
CFG,0.007058682392014513
ATO,0.00676487162306829
MU,0.0067247837726454734
GM,0.006691157607905542
ED,0.006570743555219265
KMI,0.006482368542132804
ADM,0.0064681217195192015
CI,0.0061732912799724055
FANG,0.006114571572495212
FOXA,0.006030789268174812
HIG,0.005809522989058327
NEM,0.005622473522078418
FOX,0.005446510037165904
JPM,0.005425401981943605
AIG,0.00540480494514996
FITB,0.005388293720003295
DVN,0.005268243116128329
COF,0.005264255236419199
LUV,0.005216802922025983
UHS,0.005096035076895012
NUE,0.005086506937529678
MS,0.005065586024949529
PSX,0.004921039388342236
BXP,0.004768677467785539
GL,0.004688693687383082
NWS,0.004658498557794867
BAC,0.004578259309428938
MET,0.004542542770634054
DIS,0.004492946169084214
VZ,0.004419076914302112
PNW,0.004388043249631302
NTRS,0.004283113249219671
IP,0.004192280155187761
VLO,0.004132896151954055
AIZ,0.004057263819514253
CVS,0.004050264962886061
EVRG,0.003972468133032111
HST,0.0038975190650408545
NI,0.003834257101320094
HBAN,0.0038305771508372545
PPL,0.0037410665885424083
FSLR,0.0037339763817878166
NWSA,0.003703056913421066
CINF,0.003684777429317006
HII,0.003623611791731597
REG,0.0036009058247847667
PNC,0.003552508047227598
DUK,0.0034522538764105697
CVX,0.0033779287922084435
WAB,0.003284390177494031
BG,0.0032593414107754187
AFL,0.0032221513448942012
MOS,0.003209533558679719
KIM,0.0030693468889410676
AEE,0.002962546221978083
XEL,0.002892671120798324
SRE,0.0028473455998839184
HAL,0.002846644336501055
D,0.0028344699210883385
T,0.002791826535145364
COP,0.002775226291675456
RTX,0.002732814012079863
TRV,0.0026981278431080363
BIIB,0.002668277124729084
LYB,0.0024190883443012266
KDP,0.0023415010823724294
MRNA,0.0023230721907492075
CNP,0.0022574235491090453
OXY,0.0022545428404646783
SWKS,0.002239575896656026
FTV,0.002192769783941702
LEN,0.0021803412812229322
XRAY,0.002152058425867183
DOW,0.002143790553779397
APTV,0.0021323337357785693
ACGL,0.0020656697968775414
PCG,0.0020604448974041673
ETR,0.0020309661940096355
DLR,0.002011567605442175
IBKR,0.0019693743157753172
ELV,0.0019655824726679304
SJM,0.0018280193132549053
IVZ,0.0018272672711743165
USB,0.0017895684608107917
SCHW,0.0017226204855764918
BEN,0.001619938649259098
WELL,0.001539143174322984
SWK,0.0014046262847310215
EXC,0.001383655658569832
DD,0.0013755148740153514
DTE,0.001319425685312935
PLD,0.001318387296413348
DAL,0.0013175099437347803
KEY,0.0011807469896517404
PEG,0.0011602238697759548
HUM,0.0011143757629039736
XYZ,0.0010165433600829437
MPC,0.0009639050807807054
RVTY,0.0009176374692724588
CRL,0.0008464958746727046
COO,0.0008365379724841241
INVH,0.0008198001823423958
LNT,0.0007668073965058451
VTR,0.0007393442374221503
F,0.0006804515225478315
TMUS,0.0006670006400651358
PFE,0.0006462765908445719
LHX,0.0006214943633953779
WRB,0.0005748291955775908
ES,0.0005176296027775563
EG,0.0005174856504793649
RJF,0.00048632205921231097
TROW,0.0004324804559737016
WY,0.000427587659578309
WBD,0.0004051458719251532
FISV,0.0003748888080800712
CNC,0.00033401164603234963
TXT,0.0003308712328742866
FE,0.0002300142735263022
INTC,0.0001447504222162794
ROP,7.054715188000239e-05
BMY,0.0
BR,0.0
BRK.B,0.0
BSX,0.0
BX,0.0
CMG,0.0
CMI,0.0
CMS,0.0
COG,0.0
CAT,0.0
CBOE,0.0
CBRE,0.0
CCI,0.0
CCL,0.0
CDAY,0.0
CDNS,0.0
CDW,0.0
CPAY,0.0
CPRT,0.0
CPT,0.0
CRH,0.0
CRM,0.0
CRWD,0.0
CSCO,0.0
CSGP,0.0
CIEN,0.0
CL,0.0
CLX,0.0
CMA,0.0
CME,0.0
CTXS,0.0
CVNA,0.0
DASH,0.0
DAY,0.0
COHR,0.0
