symbol,net_pnl
AMCR,0.25429455453989386
SYF,0.01169958608132806
PFG,0.01129986990500572
OXY,0.010722135116320579
WBD,0.010645313102100193
HPE,0.01000888378124443
LUV,0.00931137002219085
CVX,0.008638061334896828
GS,0.008601193349861034
APA,0.00859343101366963
STT,0.008583608833550886
WFC,0.008517356720195537
EIX,0.008144919720546172
L,0.008141479469530607
MET,0.007877438834369364
FANG,0.007746410100266696
MU,0.007673984052800453
ALB,0.0075797265474099275
UHS,0.007516142820867499
INTC,0.007465750620649795
CB,0.007232650010825866
ETR,0.007210618445917735
ED,0.007198165894389128
REG,0.007190612207193144
PHM,0.007155958939226847
C,0.007126468734082177
DIS,0.007031466252441219
CI,0.006885077670730038
CINF,0.00679764676501954
WDC,0.006625470135500835
EQT,0.00624360487061437
CTVA,0.006089481456814137
RF,0.006077846261373897
PSX,0.006025744599307977
CFG,0.005827534385708011
MTB,0.00579378784094291
AIG,0.005692495728072689
GM,0.005679067756094642
KMI,0.005532662596115501
NWSA,0.00531724477481992
VZ,0.0052870457453306
GL,0.005280839524191651
UAL,0.005231238084138968
DHI,0.005174724917513265
DVN,0.005147246306503862
MOS,0.005127477165425056
NTRS,0.005105287804072389
COF,0.0049631978134909785
MS,0.004962606926927496
FOX,0.0049344039666751
ATO,0.004926864184575897
JPM,0.004911704573699366
NUE,0.004609073898778012
SJM,0.004599113161579001
VLO,0.0045696998070537875
ADM,0.004521192538699529
WELL,0.004516068018971587
RTX,0.004504793896178695
PPL,0.0044127699618625935
FOXA,0.0044048058056406015
NI,0.004349250779861907
BAC,0.0043348267723216025
MRNA,0.0043328811065589026
FITB,0.004319710865239611
VTR,0.004216500637080324
LYB,0.004174229464792106
BG,0.004121251012033552
NEM,0.0040879428255899235
HII,0.003974531154468848
HIG,0.003943068710470906
EVRG,0.0038955405080424088
MPC,0.003807634303450406
RVTY,0.0036904646748311732
HST,0.0036658113486405753
LEN,0.003662418866807495
HUM,0.003639871063206145
KEY,0.0034938499174912326
DUK,0.0034855277346491137
ES,0.003420317503269937
CNP,0.0034169393849289957
PNC,0.003291415921468176
HBAN,0.003242351508456111
PNW,0.0031645965806759483
FSLR,0.0030912013221572367
ELV,0.003033411093215409
NWS,0.003018341926005793
KIM,0.002912893933263638
IVZ,0.0027415777394212064
EXC,0.0026704457157125704
SWKS,0.002624272878120713
IBKR,0.002551577963999671
AFL,0.0024956206388937097
XYZ,0.002289749954809627
CVS,0.0022562635094772756
D,0.002210694979888474
VTRS,0.00217177256515365
ACGL,0.002095806578286519
PCG,0.0020609601367414616
XEL,0.002012377475524054
TRV,0.0019771403229856587
COP,0.0019102297225284217
ALL,0.0018922577131947743
KDP,0.0018871934682005338
MOH,0.001753079527255649
DLR,0.0016804811500530294
FTV,0.001581541811749798
BXP,0.0014785508231346767
IPGP,0.0014495826456201097
WAB,0.0014208534706636681
HAL,0.0013841097216432477
DOW,0.0013247138978767926
USB,0.0013236545449701125
TSN,0.001196541549692842
EG,0.001195141571258762
F,0.0011900072117661344
PFE,0.0011832463173427471
AEE,0.0011463515106090063
CHTR,0.0011205468452007174
TROW,0.0010582854604859074
DTE,0.0010568216532155178
PLD,0.000992428643488104
IP,0.0009314820407401109
BEN,0.0009279217863376881
CMCSA,0.0008750917138481004
RJF,0.0008622971921264834
XRAY,0.0006794082710234788
TFC,0.0005327799982016437
BIIB,0.000503227419818392
PEG,0.0004646752832132825
FISV,0.0004528078907382433
O,0.00036157036193775046
APTV,0.0003549553853400803
TFX,0.00035190933359880854
COO,0.0003347075488007743
NCLH,0.0002981176859049988
AIZ,0.00026713423565876337
ROP,0.00025625798919268536
T,0.00020665762849656665
BSX,0.0
BX,0.0
CAH,0.0
CME,0.0
CMG,0.0
CMI,0.0
CMS,0.0
COG,0.0
CAT,0.0
CBOE,0.0
CBRE,0.0
CCI,0.0
CDAY,0.0
CDNS,0.0
CDW,0.0
CEG,0.0
CPRT,0.0
CPT,0.0
CRH,0.0
CRL,0.0
CRM,0.0
CRWD,0.0
CSCO,0.0
CSGP,0.0
CIEN,0.0
CL,0.0
