symbol,net_pnl
TMUS,0.10569128415574564
GOOGL,0.09610704652127632
GOOG,0.09600343611279427
MU,0.08697653939848542
AMAT,0.08326939304293404
LRCX,0.07858572755974488
META,0.06703281243257836
CSCO,0.05721469964185287
AMD,0.04953116959232274
AVGO,0.04267302722201523
NFLX,0.0424579398119978
ADI,0.035878354541149744
ADP,0.02959146434658777
ADBE,0.02952426315669731
GILD,0.026326294169853572
INTC,0.025558779770110545
COST,0.024668984738793188
WBD,0.024426935285665807
CHTR,0.024384935001757667
TXN,0.02395773450746488
INTU,0.023138135636693265
PLTR,0.021771823899965407
WDC,0.020047461633771465
NVDA,0.01915960096317846
MSFT,0.018034123250463666
ILMN,0.015235938304693972
CRWD,0.014444554053795237
CMCSA,0.012973850055171645
NXPI,0.012111905079647803
ALXN,0.01136293118422376
CSX,0.010539315861291091
BKNG,0.01034989049330945
EA,0.0096877022127633
ISRG,0.009559825450767384
APP,0.00827454953610266
WMT,0.007760683215249975
HON,0.0071737750264098295
SBUX,0.006381021218618192
ATVI,0.006000227724644848
LULU,0.004624527933044006
VRTX,0.00333149800419648
MCHP,0.0030450219152835948
PYPL,0.0025125547864751296
AMZN,0.0022320969682306847
XLNX,0.002064822527200549
AMGN,0.0018213235791804012
DASH,0.0010055309999026246
DLTR,0.0008428260958058342
PEP,0.0005507203727300108
TEAM,0.0
CELG,0.0
CDW,0.0
CHKP,0.0
AEP,0.0
ADSK,0.0
ALNY,0.0
ALGN,0.0
QQQ,0.0
AAL,0.0
ARM,0.0
ASML,0.0
AXON,0.0
BMRN,0.0
BKR,0.0
BIDU,0.0
AZN,0.0
ANSS,0.0
CCEP,0.0
CERN,0.0
WYNN,0.0
WBA,0.0
VSNT,0.0
UAL,0.0
MRVL,0.0
FI,0.0
FTNT,0.0
FOXA,0.0
FANG,0.0
FAST,0.0
JBHT,0.0
INCY,0.0
INSM,0.0
HSIC,0.0
IDXX,0.0
HAS,0.0
MPWR,0.0
LBTYA,0.0
KHC,0.0
GFS,0.0
FOX,0.0
EXC,0.0
FER,0.0
EXPE,0.0
GEHC,0.0
DXCM,0.0
CTXS,0.0
CTAS,0.0
DOCU,0.0
CSGP,0.0
CPRT,0.0
CTSH,0.0
ZM,0.0
XEL,0.0
ZS,0.0
WTW,0.0
VRSK,0.0
ROP,0.0
SGEN,0.0
MELI,0.0
LBTYK,0.0
MAR,0.0
LCID,0.0
JD,0.0
KDP,0.0
MNST,0.0
MDB,0.0
OKTA,0.0
SHOP,0.0
RIVN,0.0
ROST,0.0
ORLY,0.0
PDD,0.0
PCAR,0.0
PTON,0.0
PAYX,0.0
SIRI,0.0
NTAP,0.0
NTES,0.0
ODFL,0.0
NLOK,0.0
MYL,0.0
MXIM,0.0
MSTR,0.0
TTWO,0.0
TTD,0.0
TRI,0.0
SNDK,0.0
TCOM,0.0
VRSN,0.0
ULTA,0.0
SMCI,0.0
SOLS,0.0
STX,0.0
SPLK,0.0
CDNS,-6.907943528559737e-05
CEG,-0.0001493709136669681
QCOM,-0.001033708086170679
SWKS,-0.0016348061201156173
TSLA,-0.0029686831468353145
ABNB,-0.003674782326113187
MTCH,-0.0039295696684207085
EBAY,-0.004649858581651562
WDAY,-0.0067090762051521405
BIIB,-0.006728059947273614
MRNA,-0.007426548173129416
KLAC,-0.007705129854602816
REGN,-0.00771780702483892
SNPS,-0.009176481988561207
AAPL,-0.0095293896898598
ENPH,-0.010356353006802
DDOG,-0.014399334296390658
ON,-0.014807730531035266
LIN,-0.018407309102651558
MDLZ,-0.029023358011319965
PANW,-0.07243368543661569
