symbol,net_pnl
MU,0.12140169150285662
AMAT,0.10146368374260432
ADI,0.08825532015416392
GOOGL,0.06841140351130195
GOOG,0.06828711722293623
AMD,0.06667936000778997
META,0.05964383150898732
LRCX,0.04580636959383675
AMZN,0.03454409141275921
TMUS,0.03127624873760263
NVDA,0.030350519095853616
WBD,0.026389347984664868
GILD,0.024281677352688876
CSCO,0.018954630460909234
PLTR,0.018673091354740327
ISRG,0.01777460157305988
CEG,0.01717629233887929
MRNA,0.01537020390158647
INTU,0.014614862503684123
ALXN,0.013529789760535114
INTC,0.011113242120472669
WDC,0.010014817820315556
LIN,0.008717463487257599
ATVI,0.00825601059937708
ILMN,0.007489559701988628
TXN,0.007054490953734958
NXPI,0.006840225569372727
MSFT,0.005196691508086061
PYPL,0.005061730587818415
MDLZ,0.002904643071604678
WDAY,0.002584287754522163
TSLA,0.002421745828312112
SNPS,0.002310080915046009
LULU,0.0016211415575494075
DLTR,0.0009955638008336625
CDNS,0.0009375715213286665
XLNX,0.000899834472087563
CSX,0.0005390599247298879
COST,0.0001955640949774572
WYNN,0.0
CHTR,0.0
CDW,0.0
VSNT,0.0
UAL,0.0
CHKP,0.0
BKNG,0.0
BIDU,0.0
BKR,0.0
BMRN,0.0
AZN,0.0
CCEP,0.0
CERN,0.0
CELG,0.0
ADP,0.0
AEP,0.0
APP,0.0
ANSS,0.0
AMGN,0.0
ADSK,0.0
ALNY,0.0
ALGN,0.0
AAL,0.0
AAPL,0.0
ABNB,0.0
QQQ,0.0
ASML,0.0
AXON,0.0
ARM,0.0
GEHC,0.0
MNST,0.0
LBTYA,0.0
KHC,0.0
KDP,0.0
JD,0.0
GFS,0.0
FTNT,0.0
FOXA,0.0
FANG,0.0
EXPE,0.0
EXC,0.0
INSM,0.0
IDXX,0.0
HSIC,0.0
HAS,0.0
HON,0.0
MPWR,0.0
MDB,0.0
MAR,0.0
FOX,0.0
FER,0.0
FI,0.0
FAST,0.0
CSGP,0.0
DXCM,0.0
CTSH,0.0
DOCU,0.0
CTXS,0.0
EBAY,0.0
CRWD,0.0
CTAS,0.0
CPRT,0.0
ZM,0.0
XEL,0.0
WTW,0.0
TTWO,0.0
WBA,0.0
SBUX,0.0
SGEN,0.0
MELI,0.0
LCID,0.0
INCY,0.0
JBHT,0.0
MRVL,0.0
LBTYK,0.0
NLOK,0.0
NTAP,0.0
MSTR,0.0
SHOP,0.0
ROP,0.0
ROST,0.0
PCAR,0.0
PEP,0.0
PDD,0.0
PTON,0.0
RIVN,0.0
OKTA,0.0
ORLY,0.0
NTES,0.0
ODFL,0.0
PANW,0.0
PAYX,0.0
MXIM,0.0
MYL,0.0
VRSK,0.0
TTD,0.0
STX,0.0
WMT,0.0
ZS,0.0
VRSN,0.0
ULTA,0.0
SIRI,0.0
TRI,0.0
SNDK,0.0
SOLS,0.0
TEAM,0.0
TCOM,0.0
SPLK,0.0
KLAC,-0.00033307095189288513
BIIB,-0.0010229654932954926
DASH,-0.0016777750356228335
SWKS,-0.0019142589030408572
CMCSA,-0.0029001416974663396
MTCH,-0.004393638384688427
ADBE,-0.004579476245903108
EA,-0.006434836731597511
ENPH,-0.007112263701199684
MCHP,-0.00805957503174398
ON,-0.01007484889552988
QCOM,-0.010521345701721588
VRTX,-0.013983754246824402
DDOG,-0.014512491871520424
AVGO,-0.017488281346723693
REGN,-0.02820950382537879
NFLX,-0.029600594847531993
SMCI,-0.03175759919877688
