symbol,net_pnl
GOOGL,0.11545623566965087
MU,0.11534479249887221
GOOG,0.10387577981094288
ADI,0.08081275548963943
AMAT,0.07746735823819886
CSCO,0.07055289897739297
TMUS,0.07050241432269756
AMD,0.06160813478590396
META,0.060703641002344724
GILD,0.05567214622178409
AVGO,0.042516207887620595
ATVI,0.03949176768058595
MDLZ,0.03183242238639966
COST,0.030453894282919655
INTC,0.028522837307055446
QCOM,0.02625504716416549
WBD,0.024105835900156768
CEG,0.02406764090743465
HON,0.023607484213251474
AMZN,0.023555224107054174
NXPI,0.02205513022073126
BIIB,0.02052978932902606
TXN,0.019903397386845816
EA,0.018491005827039494
CSX,0.017055197471790153
MCHP,0.014112717725056505
VRTX,0.012081561439607293
UAL,0.011515496123834998
ALXN,0.011247270228727046
NFLX,0.008477668978269343
ISRG,0.006671151336144334
LULU,0.0053864024188675
SNPS,0.005370134426988624
SMCI,0.004559104570560163
LIN,0.004430176461950186
CHTR,0.003679172399412069
ILMN,0.0012735325271700693
AMGN,0.001144535887189974
DLTR,0.0007982862598778704
ZM,0.0
CHKP,0.0
CCEP,0.0
CDNS,0.0
BKR,0.0
CDW,0.0
AXON,0.0
AZN,0.0
CELG,0.0
CERN,0.0
ANSS,0.0
APP,0.0
ARM,0.0
BMRN,0.0
ADP,0.0
ADSK,0.0
ALNY,0.0
ALGN,0.0
AEP,0.0
AAPL,0.0
ABNB,0.0
ASML,0.0
AAL,0.0
QQQ,0.0
BKNG,0.0
BIDU,0.0
FI,0.0
GEHC,0.0
DDOG,0.0
FTNT,0.0
MPWR,0.0
LBTYA,0.0
KHC,0.0
KLAC,0.0
KDP,0.0
FOXA,0.0
FOX,0.0
GFS,0.0
FANG,0.0
INSM,0.0
JD,0.0
JBHT,0.0
IDXX,0.0
HSIC,0.0
INCY,0.0
HAS,0.0
MRVL,0.0
MDB,0.0
MELI,0.0
MNST,0.0
MAR,0.0
FER,0.0
FAST,0.0
ENPH,0.0
DOCU,0.0
CTAS,0.0
CTSH,0.0
CTXS,0.0
DXCM,0.0
CRWD,0.0
CSGP,0.0
CPRT,0.0
ZS,0.0
TTD,0.0
VRSK,0.0
ULTA,0.0
SBUX,0.0
ROST,0.0
SGEN,0.0
SPLK,0.0
TSLA,0.0
LBTYK,0.0
LCID,0.0
OKTA,0.0
NLOK,0.0
MYL,0.0
NTAP,0.0
MXIM,0.0
SHOP,0.0
ROP,0.0
PDD,0.0
PCAR,0.0
PEP,0.0
PLTR,0.0
PTON,0.0
RIVN,0.0
SIRI,0.0
NTES,0.0
NVDA,0.0
ODFL,0.0
PANW,0.0
ORLY,0.0
PAYX,0.0
MSTR,0.0
TTWO,0.0
XLNX,0.0
WYNN,0.0
XEL,0.0
VRSN,0.0
VSNT,0.0
WTW,0.0
WMT,0.0
SNDK,0.0
TCOM,0.0
STX,0.0
TEAM,0.0
SOLS,0.0
TRI,0.0
REGN,-4.6309771782640854e-05
LRCX,-0.00010017900678005397
DASH,-0.0008593066330509698
EBAY,-0.0018785262706098502
MSFT,-0.002221041623749645
WDAY,-0.002958732722608553
MTCH,-0.0037162391461838663
WBA,-0.004957440482387092
WDC,-0.006846185106697327
ADBE,-0.007662880648985747
SWKS,-0.009000892713149411
ON,-0.009197428965698057
MRNA,-0.0136440172472502
EXC,-0.016316055550768756
INTU,-0.018905206374892933
EXPE,-0.02038427901225576
CMCSA,-0.022656739993597023
PYPL,-0.036533991882729544
