symbol,net_pnl
FI,2.8507867094581156
COST,0.05601675226345591
TMUS,0.043105005647820535
CCEP,0.027290855804317834
CERN,0.02537108367897145
AMGN,0.022347599701003782
AEP,0.01939023932756714
HON,0.01837683998441681
GILD,0.018346052364535393
MDLZ,0.018290861164780323
EA,0.018018478478387223
EBAY,0.016801055898423897
PEP,0.015990793953483788
LIN,0.01162227399592162
VRSK,0.009631804184330956
GOOG,0.009471396680241896
GOOGL,0.009433632019879703
CHTR,0.009245590787482515
ATVI,0.008686879400468393
CEG,0.007461847738264468
MNST,0.006307548289309727
CSCO,0.005737769988559894
SOLS,0.005047604644042868
XEL,0.004700904482069989
AMZN,0.004524702379557818
FAST,0.003057708802428204
PAYX,0.00244127899776787
CHKP,0.002413467024962678
AZN,0.001436015441214959
PCAR,0.0007173818307143912
ABNB,0.0
ANSS,0.0
AMAT,0.0
ADBE,0.0
QQQ,0.0
AAPL,0.0
AAL,0.0
WYNN,0.0
CELG,0.0
CDNS,0.0
CDW,0.0
BIIB,0.0
BKNG,0.0
BKR,0.0
BIDU,0.0
AVGO,0.0
AXON,0.0
ALNY,0.0
AMD,0.0
ARM,0.0
APP,0.0
ASML,0.0
BMRN,0.0
ALGN,0.0
ADSK,0.0
ADI,0.0
ALXN,0.0
GEHC,0.0
DDOG,0.0
FANG,0.0
ENPH,0.0
FOXA,0.0
FER,0.0
EXPE,0.0
DXCM,0.0
DASH,0.0
DLTR,0.0
DOCU,0.0
CPRT,0.0
MDB,0.0
MCHP,0.0
KLAC,0.0
LBTYK,0.0
ILMN,0.0
HAS,0.0
HSIC,0.0
IDXX,0.0
INTU,0.0
ISRG,0.0
JBHT,0.0
JD,0.0
LBTYA,0.0
INCY,0.0
INSM,0.0
INTC,0.0
MPWR,0.0
MRNA,0.0
MELI,0.0
META,0.0
LULU,0.0
MAR,0.0
LCID,0.0
LRCX,0.0
MRVL,0.0
FTNT,0.0
GFS,0.0
FOX,0.0
CRWD,0.0
CSGP,0.0
CTSH,0.0
CMCSA,0.0
ZM,0.0
UAL,0.0
VRTX,0.0
ULTA,0.0
SPLK,0.0
STX,0.0
MSFT,0.0
MSTR,0.0
NTES,0.0
NVDA,0.0
NXPI,0.0
ODFL,0.0
MYL,0.0
MTCH,0.0
MU,0.0
MXIM,0.0
RIVN,0.0
PANW,0.0
ON,0.0
PDD,0.0
PLTR,0.0
PTON,0.0
PYPL,0.0
QCOM,0.0
SHOP,0.0
ROST,0.0
SGEN,0.0
SBUX,0.0
OKTA,0.0
NFLX,0.0
NLOK,0.0
NTAP,0.0
ZS,0.0
WDC,0.0
WTW,0.0
WMT,0.0
WBD,0.0
WBA,0.0
SNDK,0.0
SMCI,0.0
TCOM,0.0
TEAM,0.0
TSLA,0.0
TTD,0.0
TXN,0.0
TTWO,0.0
SWKS,0.0
SNPS,0.0
WDAY,0.0
XLNX,0.0
VSNT,0.0
EXC,-0.0006062375359872972
CTXS,-0.0013136823045284615
VRSN,-0.0018420872052477481
CSX,-0.0024171609448186016
SIRI,-0.0027584750737364686
ORLY,-0.004296346796259763
TRI,-0.005203008045728016
KDP,-0.006862115764699973
KHC,-0.008468067300162398
REGN,-0.013515740969582343
CTAS,-0.019638438002067653
ADP,-0.023507285285068204
ROP,-0.030853863362845606
