symbol,net_pnl
TMUS,0.09391204404729606
GOOGL,0.08235634676420513
GOOG,0.08212996628564227
CSCO,0.05144610824941209
COST,0.047725811208396904
NFLX,0.04648785185772878
AAPL,0.044792294066040295
AVGO,0.04140258929983356
MSFT,0.03288856075351788
BKNG,0.032129601969772825
AMAT,0.030747487750078094
ADP,0.029994741002579803
ADI,0.027956149206279163
INTU,0.02747183078044313
AMZN,0.02519364219226375
META,0.025018315621488346
MELI,0.02444739791456417
EBAY,0.02397952965913193
GILD,0.023306124004242125
ADBE,0.023055845822562523
JD,0.022350266179454268
TXN,0.02056853717708523
ASML,0.019003385732140547
CHTR,0.018338467877522847
INTC,0.017891258732695745
KLAC,0.012894398664217271
PLTR,0.012852099489281526
SBUX,0.012547215471529245
CMCSA,0.01207054581442331
APP,0.010464800559817937
CSX,0.009224774221132421
CRWD,0.008604569794284833
EA,0.008090911901226043
NVDA,0.007340197021391407
WMT,0.00703119742519317
ILMN,0.006649538728818819
PEP,0.005659114653818949
LRCX,0.005304048366915624
MRNA,0.0047625875468332935
BIDU,0.004641258222890398
MCHP,0.004050993152350566
XLNX,0.0038769207390183754
ATVI,0.0033026468315530194
ORLY,0.0030501194491035903
VRTX,0.0028246646385508486
DASH,0.002803094625052242
MU,0.002571782942009952
MAR,0.0021300632063416818
BIIB,0.0016671314738579076
MRVL,0.0015130549473737313
CEG,0.00035834876051134593
QCOM,0.00022360014729869593
CCEP,0.0
AEP,0.0
ANSS,0.0
ALXN,0.0
BMRN,0.0
AAL,0.0
QQQ,0.0
CELG,0.0
CHKP,0.0
AXON,0.0
AZN,0.0
ALGN,0.0
ALNY,0.0
ARM,0.0
CDW,0.0
BKR,0.0
CERN,0.0
WYNN,0.0
WBD,0.0
TTD,0.0
ULTA,0.0
VSNT,0.0
LBTYK,0.0
FTNT,0.0
MNST,0.0
FANG,0.0
EXPE,0.0
EXC,0.0
FER,0.0
DOCU,0.0
INCY,0.0
HAS,0.0
HSIC,0.0
MPWR,0.0
MDB,0.0
KDP,0.0
GFS,0.0
FOX,0.0
FAST,0.0
FI,0.0
FOXA,0.0
GEHC,0.0
DXCM,0.0
DLTR,0.0
CTSH,0.0
CTAS,0.0
CSGP,0.0
CTXS,0.0
CPRT,0.0
ZM,0.0
XEL,0.0
WTW,0.0
WDC,0.0
VRSK,0.0
WBA,0.0
SMCI,0.0
SNDK,0.0
KHC,0.0
INSM,0.0
IDXX,0.0
JBHT,0.0
LBTYA,0.0
NTAP,0.0
OKTA,0.0
NLOK,0.0
SHOP,0.0
SGEN,0.0
ROST,0.0
ON,0.0
PTON,0.0
PCAR,0.0
RIVN,0.0
PAYX,0.0
SIRI,0.0
ROP,0.0
SWKS,0.0
ODFL,0.0
MXIM,0.0
MYL,0.0
MTCH,0.0
MSTR,0.0
TTWO,0.0
TCOM,0.0
TRI,0.0
TEAM,0.0
UAL,0.0
VRSN,0.0
SOLS,0.0
SPLK,0.0
STX,0.0
ADSK,-0.00012038051892170061
NTES,-0.0002002262879857081
CDNS,-0.00036916143402900584
AMD,-0.0008670157742005479
PYPL,-0.0013018101064252812
NXPI,-0.002232960405550147
LCID,-0.0030231580043654886
TSLA,-0.0030808460023050476
REGN,-0.003711200612303397
SNPS,-0.004547515595190391
ENPH,-0.004937455338081407
ZS,-0.005154130200577778
WDAY,-0.005360488803141822
LULU,-0.006651502872451251
ABNB,-0.006977714397533161
ISRG,-0.00755760874458834
AMGN,-0.009928445350571188
DDOG,-0.010768557893388772
PDD,-0.012916446619991903
HON,-0.015152855171722615
LIN,-0.016434172185391362
MDLZ,-0.027703298090711273
PANW,-0.10704180789856599
