symbol,net_pnl
TMUS,0.11198522637165412
COST,0.08488586834433144
GOOGL,0.07916474468168198
CSCO,0.06380513073306182
GOOG,0.057553957320867766
NFLX,0.03477687464310462
MSFT,0.032949762924740375
BKNG,0.032713578993498436
TXN,0.03176125862655797
GILD,0.0304862910431305
AVGO,0.029224749386158606
META,0.023534107042135054
ADP,0.017265030728436263
CSX,0.014322759625040015
CMCSA,0.013127461682952932
WMT,0.010773897462593836
CHTR,0.010658824889966596
PEP,0.009938262863146162
ISRG,0.009238485319459444
LULU,0.009190543985066435
ORLY,0.005201880568576371
MAR,0.0035476072725454805
JD,6.219628719604573e-05
BMRN,0.0
AAL,0.0
ALXN,0.0
ADBE,0.0
ABNB,0.0
ALGN,0.0
ASML,0.0
ANSS,0.0
ARM,0.0
APP,0.0
AZN,0.0
ADSK,0.0
AEP,0.0
QQQ,0.0
XEL,0.0
ULTA,0.0
VRSN,0.0
VRSK,0.0
WBD,0.0
WBA,0.0
CELG,0.0
CHKP,0.0
AXON,0.0
BKR,0.0
BIIB,0.0
BIDU,0.0
CDW,0.0
CEG,0.0
CCEP,0.0
CERN,0.0
AMD,0.0
AMAT,0.0
ALNY,0.0
FI,0.0
GEHC,0.0
EXC,0.0
EXPE,0.0
FANG,0.0
FOXA,0.0
FTNT,0.0
DOCU,0.0
ENPH,0.0
FER,0.0
CTXS,0.0
CTSH,0.0
CRWD,0.0
MRNA,0.0
MDB,0.0
MPWR,0.0
GFS,0.0
FOX,0.0
FAST,0.0
HAS,0.0
HSIC,0.0
LBTYA,0.0
INTC,0.0
JBHT,0.0
KDP,0.0
INSM,0.0
INCY,0.0
IDXX,0.0
ILMN,0.0
MNST,0.0
LRCX,0.0
LBTYK,0.0
KHC,0.0
MCHP,0.0
LCID,0.0
NTES,0.0
ON,0.0
MXIM,0.0
NLOK,0.0
DDOG,0.0
DLTR,0.0
DXCM,0.0
CPRT,0.0
CSGP,0.0
CTAS,0.0
ZM,0.0
XLNX,0.0
WTW,0.0
WYNN,0.0
ZS,0.0
VSNT,0.0
WDC,0.0
SNDK,0.0
TSLA,0.0
TCOM,0.0
ODFL,0.0
NXPI,0.0
OKTA,0.0
MYL,0.0
NTAP,0.0
MSTR,0.0
SIRI,0.0
SHOP,0.0
ROST,0.0
PLTR,0.0
PYPL,0.0
PTON,0.0
ROP,0.0
RIVN,0.0
SGEN,0.0
SOLS,0.0
STX,0.0
SWKS,0.0
SMCI,0.0
PCAR,0.0
PAYX,0.0
MTCH,0.0
TTWO,0.0
TTD,0.0
TRI,0.0
TEAM,0.0
UAL,0.0
SPLK,0.0
CDNS,-0.0006173057329776134
SBUX,-0.0007437458233087427
MRVL,-0.0014948418037644615
SNPS,-0.0015861920151306586
INTU,-0.0026200581062576357
ADI,-0.0028220736646166794
DASH,-0.004530593964844836
AMZN,-0.0055968366967939
MELI,-0.005756604123268743
WDAY,-0.0062212482960501475
MU,-0.006400243557892027
KLAC,-0.006650817235144802
NVDA,-0.007081237108944272
QCOM,-0.007106492150138525
VRTX,-0.008436612677431496
AMGN,-0.008526278740911145
EBAY,-0.010377370138063537
EA,-0.010466769905421053
ATVI,-0.012723093081288423
AAPL,-0.01887146975915033
HON,-0.019321982931628002
PDD,-0.020047431131207518
LIN,-0.028531795752079762
REGN,-0.038040236824983
MDLZ,-0.040333134625618584
PANW,-0.08103431686028144
