symbol,net_pnl
ADI,0.10085847488973285
META,0.09520469046536635
GOOG,0.08970939322034412
GOOGL,0.08825641408143954
AMD,0.05524594803757191
MU,0.048968342106372915
TXN,0.03052351324103925
AMAT,0.022637851456202715
AVGO,0.021474245269448217
ISRG,0.019892860866157745
TMUS,0.015503681761298795
ATVI,0.014789018859826603
MSFT,0.011901661268369359
CHTR,0.010166572655550559
COST,0.009006533072962973
WMT,0.008715115202359049
SNPS,0.0043101963737293214
CSCO,0.0038638463310446147
INTU,0.003848204597321806
CSX,0.003507827185095054
LIN,0.0028993911310295235
LULU,0.001995561080881324
CMCSA,0.001888196888337517
ADBE,0.0017627121102823504
DASH,0.0009703798079287296
ILMN,0.000716438082542894
MDLZ,0.0005003904661548082
AAL,0.0
QQQ,0.0
ALXN,0.0
ALNY,0.0
ANSS,0.0
AMGN,0.0
BMRN,0.0
ABNB,0.0
AEP,0.0
ALGN,0.0
XEL,0.0
ULTA,0.0
VRSN,0.0
CELG,0.0
CDW,0.0
CEG,0.0
CCEP,0.0
CHKP,0.0
BIDU,0.0
BKR,0.0
BKNG,0.0
BIIB,0.0
AXON,0.0
AZN,0.0
ASML,0.0
CERN,0.0
ADP,0.0
ADSK,0.0
APP,0.0
ARM,0.0
FI,0.0
DXCM,0.0
EBAY,0.0
EXPE,0.0
CTAS,0.0
CTSH,0.0
CTXS,0.0
ENPH,0.0
FANG,0.0
FAST,0.0
EXC,0.0
CRWD,0.0
MDB,0.0
LBTYA,0.0
FTNT,0.0
GFS,0.0
FOXA,0.0
FOX,0.0
FER,0.0
GEHC,0.0
KDP,0.0
INTC,0.0
JBHT,0.0
HAS,0.0
INSM,0.0
INCY,0.0
IDXX,0.0
HSIC,0.0
MNST,0.0
MCHP,0.0
KHC,0.0
KLAC,0.0
JD,0.0
LRCX,0.0
LCID,0.0
LBTYK,0.0
MRVL,0.0
MPWR,0.0
MAR,0.0
DDOG,0.0
DLTR,0.0
DOCU,0.0
CSGP,0.0
CPRT,0.0
ZM,0.0
WDC,0.0
WTW,0.0
VRSK,0.0
MELI,0.0
MSTR,0.0
MTCH,0.0
MXIM,0.0
PANW,0.0
NXPI,0.0
ODFL,0.0
OKTA,0.0
MYL,0.0
NLOK,0.0
NTAP,0.0
NTES,0.0
SHOP,0.0
ROP,0.0
ROST,0.0
PLTR,0.0
PYPL,0.0
PTON,0.0
QCOM,0.0
RIVN,0.0
SIRI,0.0
SGEN,0.0
SBUX,0.0
SPLK,0.0
ORLY,0.0
PDD,0.0
PCAR,0.0
PAYX,0.0
XLNX,0.0
WBA,0.0
WDAY,0.0
WYNN,0.0
WBD,0.0
STX,0.0
SNDK,0.0
SMCI,0.0
TSLA,0.0
TCOM,0.0
TRI,0.0
TEAM,0.0
TTWO,0.0
TTD,0.0
UAL,0.0
SOLS,0.0
ZS,0.0
VSNT,0.0
AMZN,-0.0003976401707834619
CDNS,-0.000738073507867579
GILD,-0.002759377413148106
SWKS,-0.0036791373033765824
ON,-0.005033946661968166
HON,-0.006822508933595253
PEP,-0.007555629618716611
EA,-0.010825962212591446
AAPL,-0.011454416027394335
NVDA,-0.01145488640361952
MRNA,-0.012695488996347419
VRTX,-0.027246027629846518
REGN,-0.03172602739956834
NFLX,-0.07465010460271622
