symbol,net_pnl
MRNA,0.2359010703550087
META,0.1877086130832432
GOOG,0.14551511363745936
PLTR,0.0993160266928554
GOOGL,0.0955117716091281
NFLX,0.09218441223850679
LRCX,0.06102550451121108
AMAT,0.0563318266421878
AMD,0.051849944079694496
APP,0.02751171412627414
NVDA,0.02113223727037595
PEP,0.020717971603423504
TXN,0.019475017893821275
INTU,0.015662255415909078
DASH,0.008872898745977341
BKNG,0.0035164539378074906
SBUX,0.0026045416546478144
COST,0.0018729637135706623
CDW,0.0
CHKP,0.0
ADSK,0.0
CHTR,0.0
CERN,0.0
ABNB,0.0
AAL,0.0
ALNY,0.0
ALGN,0.0
AEP,0.0
ADP,0.0
ASML,0.0
ALXN,0.0
ARM,0.0
ANSS,0.0
AZN,0.0
BIDU,0.0
AXON,0.0
QQQ,0.0
XEL,0.0
WMT,0.0
STX,0.0
SOLS,0.0
TCOM,0.0
TRI,0.0
TEAM,0.0
SPLK,0.0
CCEP,0.0
BMRN,0.0
BIIB,0.0
BKR,0.0
CELG,0.0
CEG,0.0
DLTR,0.0
CTSH,0.0
GEHC,0.0
FI,0.0
FOX,0.0
EXC,0.0
FER,0.0
FAST,0.0
EXPE,0.0
FANG,0.0
GFS,0.0
FTNT,0.0
CTXS,0.0
DDOG,0.0
CSX,0.0
CSGP,0.0
CPRT,0.0
CMCSA,0.0
MNST,0.0
LBTYA,0.0
KHC,0.0
LBTYK,0.0
MAR,0.0
HAS,0.0
HSIC,0.0
HON,0.0
INTC,0.0
JBHT,0.0
JD,0.0
KDP,0.0
KLAC,0.0
INCY,0.0
INSM,0.0
IDXX,0.0
MRVL,0.0
MDB,0.0
MELI,0.0
MDLZ,0.0
MPWR,0.0
MCHP,0.0
LCID,0.0
LIN,0.0
NLOK,0.0
MXIM,0.0
FOXA,0.0
ILMN,0.0
DOCU,0.0
EBAY,0.0
CTAS,0.0
CSCO,0.0
ZM,0.0
XLNX,0.0
WTW,0.0
WYNN,0.0
WBD,0.0
WBA,0.0
WDAY,0.0
WDC,0.0
OKTA,0.0
NTES,0.0
NXPI,0.0
ODFL,0.0
ORLY,0.0
MYL,0.0
NTAP,0.0
MSTR,0.0
QCOM,0.0
PANW,0.0
ON,0.0
PCAR,0.0
PDD,0.0
PTON,0.0
PYPL,0.0
PAYX,0.0
SHOP,0.0
RIVN,0.0
ROST,0.0
ROP,0.0
SIRI,0.0
SGEN,0.0
SNDK,0.0
MTCH,0.0
ZS,0.0
TTD,0.0
UAL,0.0
TMUS,0.0
VSNT,0.0
VRSN,0.0
VRSK,0.0
ULTA,0.0
TTWO,0.0
MU,-0.0009856458825128439
DXCM,-0.0009891540948972067
CDNS,-0.002146177726651963
SNPS,-0.0035544026681652427
GILD,-0.004582679448965446
LULU,-0.005108711022049846
ATVI,-0.008344346119875183
AMZN,-0.00900955392034472
SWKS,-0.009382018710462011
AMGN,-0.00970360057019165
EA,-0.012591485778405687
ADBE,-0.012976235320033138
ADI,-0.01723955469735041
AVGO,-0.018839597833318966
MSFT,-0.023955960863526884
CRWD,-0.024409857967286556
VRTX,-0.025822158617711574
SMCI,-0.028981883386324472
AAPL,-0.04002169118767071
TSLA,-0.04009364683336433
ENPH,-0.06033723835318147
REGN,-0.1323494850811587
ISRG,-0.14901522972986345
