symbol,net_pnl
TMUS,0.0890145763975815
META,0.08115181513633747
NVDA,0.07619289504172287
LRCX,0.06775020157917197
CRWD,0.06466833149077761
GOOGL,0.056867254388139846
KLAC,0.052115348447194856
STX,0.051908831158353735
NFLX,0.044756652757430314
PLTR,0.04147679397637856
GOOG,0.040245524991574
COST,0.03889104799054282
CSCO,0.037163605102900385
MELI,0.03381470940998329
GILD,0.03373294571945728
AMD,0.03314773966560139
WDC,0.0320852962212635
APP,0.031737886163030665
AAPL,0.031309502984583196
MU,0.02748753294606613
AMAT,0.025281798245928876
ADP,0.022689552288972965
BKNG,0.021331825207634523
SHOP,0.017237479660625336
ASML,0.01616908148362754
MSFT,0.01572038227597077
ADI,0.015290580924706169
WBD,0.011563242685259318
CEG,0.009776393632411222
MDB,0.009115552942539004
ORLY,0.007227793161801461
SNPS,0.00641339916368396
LIN,0.005667149061574026
AVGO,0.0046559539990319995
MAR,0.004470713065398117
ARM,0.004209440951191023
AAL,0.0
XEL,0.0
XLNX,0.0
WTW,0.0
ULTA,0.0
CELG,0.0
CDW,0.0
CERN,0.0
CHTR,0.0
AXON,0.0
BKR,0.0
BIIB,0.0
BIDU,0.0
AZN,0.0
ANSS,0.0
CCEP,0.0
CHKP,0.0
ADSK,0.0
ALGN,0.0
ALNY,0.0
AMZN,0.0
AEP,0.0
ALXN,0.0
ABNB,0.0
BMRN,0.0
QQQ,0.0
GEHC,0.0
EA,0.0
EBAY,0.0
FER,0.0
FI,0.0
CPRT,0.0
CMCSA,0.0
MCHP,0.0
LULU,0.0
LBTYA,0.0
GFS,0.0
FOX,0.0
FAST,0.0
FTNT,0.0
FOXA,0.0
INTC,0.0
HAS,0.0
HSIC,0.0
HON,0.0
ILMN,0.0
INCY,0.0
INSM,0.0
IDXX,0.0
MPWR,0.0
MNST,0.0
LCID,0.0
KHC,0.0
JBHT,0.0
EXC,0.0
EXPE,0.0
FANG,0.0
CTSH,0.0
CTXS,0.0
DOCU,0.0
DLTR,0.0
DXCM,0.0
CSGP,0.0
CSX,0.0
CTAS,0.0
ZM,0.0
WYNN,0.0
VRSK,0.0
TTD,0.0
WBA,0.0
VSNT,0.0
WMT,0.0
SOLS,0.0
LBTYK,0.0
JD,0.0
KDP,0.0
NXPI,0.0
NTAP,0.0
NLOK,0.0
MXIM,0.0
MYL,0.0
SIRI,0.0
SGEN,0.0
PTON,0.0
PAYX,0.0
PYPL,0.0
ROST,0.0
RIVN,0.0
PCAR,0.0
ROP,0.0
SWKS,0.0
SPLK,0.0
NTES,0.0
ODFL,0.0
OKTA,0.0
MTCH,0.0
MSTR,0.0
UAL,0.0
TEAM,0.0
TRI,0.0
SNDK,0.0
TTWO,0.0
VRSN,0.0
TCOM,0.0
ON,-0.00023088612284330999
CDNS,-0.0010803401578228164
INTU,-0.0020068597107804806
TSLA,-0.004711997376882929
TXN,-0.004810932553701116
MRVL,-0.006858892841616175
ISRG,-0.008717866464158569
SBUX,-0.008775781333722303
ADBE,-0.010001571791169034
QCOM,-0.01076830417337486
MDLZ,-0.010788457212923049
WDAY,-0.010849642012440989
MRNA,-0.011148127228765634
DASH,-0.011160514120485684
ATVI,-0.012315337110654925
DDOG,-0.013798335551249916
ENPH,-0.017510583235446454
PEP,-0.0197104585211308
SMCI,-0.02021144292844393
ZS,-0.021240824151143006
AMGN,-0.02185060493819915
PDD,-0.02358190195351547
VRTX,-0.02752173860213035
REGN,-0.056507280173598
PANW,-0.07796008806411052
