symbol,net_pnl
NVDA,0.14791011369745818
AVGO,0.12426886166821213
GOOG,0.0981070505108007
GOOGL,0.0911708839686563
LRCX,0.07060043807618224
MU,0.06776752025438718
STX,0.056310465255544964
WBD,0.05311310083221292
KLAC,0.05115600673685015
APP,0.0492851362988732
COST,0.04927915649118531
META,0.04886478358900592
TMUS,0.04415618967350854
CSCO,0.041309195619565246
PLTR,0.041205310345320566
CRWD,0.03832257229841599
WDC,0.036422916552997626
MELI,0.024352571823164446
ADP,0.021259363653185512
AMAT,0.019970822964787173
GILD,0.017611527232281533
NFLX,0.016436716573467604
CEG,0.014895412946132973
ASML,0.014620869690243022
PDD,0.013154884422850613
PANW,0.012120833741851876
AMD,0.011658335887637197
WMT,0.007887434766441251
MDB,0.004234761428665979
CDNS,0.0040753659865727125
ISRG,0.00238098073746628
MSFT,0.002254174266325745
INTC,0.0006408059520197661
ARM,0.0002564231472594405
PEP,0.0001828853550780126
QQQ,0.0
ADBE,0.0
XEL,0.0
XLNX,0.0
WTW,0.0
WYNN,0.0
WBA,0.0
CDW,0.0
CERN,0.0
CHTR,0.0
BIDU,0.0
AZN,0.0
BKR,0.0
BIIB,0.0
AXON,0.0
CCEP,0.0
BMRN,0.0
CHKP,0.0
ADSK,0.0
AEP,0.0
ALXN,0.0
ATVI,0.0
ALNY,0.0
ALGN,0.0
ANSS,0.0
CELG,0.0
AAL,0.0
ABNB,0.0
EA,0.0
EBAY,0.0
GEHC,0.0
FI,0.0
CPRT,0.0
CMCSA,0.0
MRNA,0.0
LBTYA,0.0
KDP,0.0
GFS,0.0
FOX,0.0
FAST,0.0
FTNT,0.0
FOXA,0.0
JD,0.0
INSM,0.0
JBHT,0.0
HAS,0.0
INCY,0.0
ILMN,0.0
IDXX,0.0
HSIC,0.0
MRVL,0.0
MAR,0.0
LULU,0.0
KHC,0.0
FER,0.0
EXC,0.0
EXPE,0.0
FANG,0.0
CTSH,0.0
CTXS,0.0
DOCU,0.0
DLTR,0.0
DXCM,0.0
CSGP,0.0
CSX,0.0
CTAS,0.0
ZM,0.0
VSNT,0.0
VRSN,0.0
VRSK,0.0
ULTA,0.0
SWKS,0.0
MNST,0.0
MPWR,0.0
LBTYK,0.0
LCID,0.0
LIN,0.0
INTU,0.0
ODFL,0.0
NTAP,0.0
NXPI,0.0
NLOK,0.0
SIRI,0.0
ROP,0.0
OKTA,0.0
PCAR,0.0
PAYX,0.0
PTON,0.0
PYPL,0.0
RIVN,0.0
SHOP,0.0
SGEN,0.0
ROST,0.0
NTES,0.0
ORLY,0.0
MYL,0.0
MXIM,0.0
MTCH,0.0
UAL,0.0
TTWO,0.0
TRI,0.0
TTD,0.0
TEAM,0.0
TCOM,0.0
SPLK,0.0
SNDK,0.0
SOLS,0.0
ADI,-8.187925171346926e-05
ON,-0.0009793467901627344
MSTR,-0.0011039488330251905
SNPS,-0.0017532007560008102
AMZN,-0.002676833273427775
MDLZ,-0.0038798675005775538
TXN,-0.00413294683849417
WDAY,-0.005533480582834897
MCHP,-0.006652154950954124
SBUX,-0.006856429436267968
AMGN,-0.008690549230680583
HON,-0.009213028870368416
QCOM,-0.011772847906021372
AAPL,-0.012612495727404012
ZS,-0.012962138179337506
DASH,-0.016537077295616598
DDOG,-0.017032417751255084
ENPH,-0.019272253286628415
SMCI,-0.022099361806425275
BKNG,-0.022371476832851307
VRTX,-0.024001872052833034
TSLA,-0.03979613834799119
REGN,-0.053265167924647354
