symbol,net_pnl
GEV,0.050626976650336816
WELL,0.03388247689181811
BK,0.031388800627880534
GLW,0.029698674764243482
STX,0.028060758737014028
GOOG,0.024925649604802785
GOOGL,0.024752583223806277
HWM,0.024157993405010302
RTX,0.01906412403025833
BSX,0.018462273592826522
WBD,0.01809788070536651
SNDK,0.017993033639083562
PLTR,0.017513330030888213
WDC,0.013249147603843738
APH,0.01243737692028953
KLAC,0.012208404992994438
LRCX,0.012079957892193604
NRG,0.011601800502761939
FICO,0.011480253542459663
CME,0.011337007752779545
TPR,0.010981671792007661
CAT,0.010477150381721242
GE,0.0100365351162603
URI,0.009628549077424107
NEM,0.009119028357943277
AVGO,0.009025732372864744
COST,0.00872424242856017
PWR,0.007925759587790463
PGR,0.007880793014045505
AXP,0.00703594741186148
JCI,0.006580514759259593
CSCO,0.006327048211633663
WMT,0.006301032054841956
BA,0.0058990345277799535
ULTA,0.005646855802352238
TT,0.005351790811309209
LYV,0.005229247777900054
ANET,0.0050632223953872985
TMUS,0.004841134356263452
LITE,0.004447847274629242
HCA,0.0037039776669256876
META,0.003548417662509775
TSLA,0.0032939360811357634
MPWR,0.0030114838305052437
MU,0.003011161313247629
WMB,0.0026308912993569817
WM,0.0024814140538817592
JNJ,0.0021575460755605424
PH,0.002142964272693487
HLT,0.00206827168837934
MO,0.0019984799367072843
TEL,0.0017562873183818255
COR,0.0017516727367027168
GILD,0.001613424705070363
VST,0.001607266201359014
C,0.001583808698442455
TFC,0.0010548155871264074
DLTR,0.0009250618344753017
LLY,0.0009242284409164658
TRGP,0.0007632428824750613
JPM,0.0006083252939419155
KMI,0.0005200149959692636
EBAY,0.0004533431513496406
MA,0.0004390569352197344
T,0.0003727732538396064
ALL,0.00025119620909289146
ADP,2.541480309357232e-05
AMT,0.0
AMTM,0.0
AMZN,0.0
ANSS,0.0
ANTM,0.0
BG,0.0
BIIB,0.0
BIO,0.0
BKNG,0.0
BKR,0.0
BLDR,0.0
BLK,0.0
APO,0.0
APTV,0.0
ARE,0.0
ARES,0.0
ATO,0.0
ATVI,0.0
AVB,0.0
BWA,0.0
BXP,0.0
CAG,0.0
CARR,0.0
CASY,0.0
CB,0.0
BAC,0.0
BALL,0.0
BAX,0.0
BBWI,0.0
BBY,0.0
BDX,0.0
BEN,0.0
BF.B,0.0
CDNS,0.0
CDW,0.0
CE,0.0
CERN,0.0
CF,0.0
CFG,0.0
CHD,0.0
CHRW,0.0
CHTR,0.0
CI,0.0
BLL,0.0
BMY,0.0
BR,0.0
BRK.B,0.0
BRO,0.0
CMCSA,0.0
CMG,0.0
CMI,0.0
CMS,0.0
CNC,0.0
CNP,0.0
COF,0.0
COG,0.0
COHR,0.0
COIN,0.0
CBOE,0.0
CBRE,0.0
CCI,0.0
CCL,0.0
CDAY,0.0
CPAY,0.0
CPB,0.0
CPRT,0.0
CPT,0.0
CRH,0.0
CRL,0.0
CRM,0.0
CSGP,0.0
CSX,0.0
CIEN,0.0
CINF,0.0
CLX,0.0
CMA,0.0
CTLT,0.0
CTRA,0.0
CTSH,0.0
CTVA,0.0
CTXS,0.0
CVNA,0.0
CVS,0.0
CVX,0.0
CZR,0.0
D,0.0
DAL,0.0
DAY,0.0
DD,0.0
DDOG,0.0
COO,0.0
COP,0.0
EG,0.0
EIX,0.0
DECK,0.0
DFS,0.0
DGX,0.0
DHI,0.0
DHR,0.0
DIS,0.0
DISCA,0.0
DISCK,0.0
DISH,0.0
DLR,0.0
DOC,0.0
DOV,0.0
DOW,0.0
ERIE,0.0
ES,0.0
ESS,0.0
DPZ,0.0
DRE,0.0
DRI,0.0
DTE,0.0
DVA,0.0
DVN,0.0
DXC,0.0
DXCM,0.0
EA,0.0
ECL,0.0
ED,0.0
EFX,0.0
VTR,0.0
VTRS,0.0
VZ,0.0
WAB,0.0
EL,0.0
ELV,0.0
EME,0.0
EMN,0.0
EMR,0.0
ENPH,0.0
EOG,0.0
EPAM,0.0
EQIX,0.0
EQR,0.0
EQT,0.0
FB,0.0
FBHS,0.0
FCX,0.0
FDS,0.0
FDX,0.0
VFC,0.0
VIAC,0.0
VICI,0.0
