symbol,net_pnl
NXPI,0.04819608558428097
FOX,0.0365300683247122
WDC,0.029556374558915424
PAYX,0.026168375660945167
MRVL,0.018734553065231602
AMAT,0.009273538522102994
PEP,0.008649447177674323
BIDU,0.006647280355420316
MSFT,0.00637071615857006
TSLA,0.0063328751541599105
XLNX,0.005072513141706977
LBTYK,0.003156042660707382
AEP,0.0023852486692774776
MXIM,0.001816251712687273
AMD,0.0016768604280340228
CCEP,0.0
AAL,0.0
ALXN,0.0
CDW,0.0
ABNB,0.0
ALNY,0.0
CHTR,0.0
CERN,0.0
CEG,0.0
CELG,0.0
CHKP,0.0
AMZN,0.0
AMGN,0.0
ALGN,0.0
ATVI,0.0
ARM,0.0
APP,0.0
BIIB,0.0
AZN,0.0
AXON,0.0
AVGO,0.0
QQQ,0.0
WDAY,0.0
WBD,0.0
WTW,0.0
SMCI,0.0
TCOM,0.0
SWKS,0.0
SOLS,0.0
SNDK,0.0
BMRN,0.0
BKR,0.0
BKNG,0.0
CTSH,0.0
CSCO,0.0
CMCSA,0.0
CPRT,0.0
COST,0.0
EA,0.0
EBAY,0.0
EXC,0.0
ENPH,0.0
FANG,0.0
FAST,0.0
FER,0.0
EXPE,0.0
FI,0.0
CTXS,0.0
DASH,0.0
DDOG,0.0
DLTR,0.0
CSGP,0.0
CSX,0.0
CRWD,0.0
MRNA,0.0
MNST,0.0
MELI,0.0
HAS,0.0
ILMN,0.0
HON,0.0
HSIC,0.0
IDXX,0.0
INTU,0.0
ISRG,0.0
JBHT,0.0
KDP,0.0
KHC,0.0
INCY,0.0
INSM,0.0
INTC,0.0
MPWR,0.0
META,0.0
LIN,0.0
LCID,0.0
MDB,0.0
MAR,0.0
LULU,0.0
NTAP,0.0
MYL,0.0
FTNT,0.0
GEHC,0.0
GFS,0.0
GILD,0.0
DOCU,0.0
DXCM,0.0
CTAS,0.0
WYNN,0.0
ZM,0.0
ZS,0.0
VRSK,0.0
VSNT,0.0
WBA,0.0
VRSN,0.0
VRTX,0.0
TTD,0.0
NTES,0.0
ODFL,0.0
OKTA,0.0
PANW,0.0
NFLX,0.0
MTCH,0.0
MSTR,0.0
SBUX,0.0
RIVN,0.0
PCAR,0.0
PLTR,0.0
PYPL,0.0
PTON,0.0
QCOM,0.0
REGN,0.0
SHOP,0.0
SGEN,0.0
ROP,0.0
ROST,0.0
SIRI,0.0
ORLY,0.0
NLOK,0.0
MU,0.0
WMT,0.0
TTWO,0.0
TMUS,0.0
TRI,0.0
UAL,0.0
ULTA,0.0
TEAM,0.0
SPLK,0.0
ON,-0.00030598609785389974
AAPL,-0.0009294848682575829
ANSS,-0.0011598190714645405
ADSK,-0.0030504415081854777
MDLZ,-0.011757079741289414
LBTYA,-0.012156874526756834
ADBE,-0.014665594065294855
ASML,-0.017077997811170472
TXN,-0.02090144886727775
STX,-0.021309523787781632
XEL,-0.024267420340639532
JD,-0.027328063621273064
ADP,-0.029461060755467613
PDD,-0.03399255755124246
NVDA,-0.037661092218960336
GOOGL,-0.03891179808619254
ADI,-0.040747715212684395
SNPS,-0.050364634592205
GOOG,-0.05417212119988925
FOXA,-0.05539830026412172
KLAC,-0.056714260052295656
MCHP,-0.08463941063876769
CDNS,-0.10064783288664053
LRCX,-0.17541324797752672
