symbol,net_pnl
SOXL,1.82774251138602
TQQQ,1.0321554998743596
XLE,0.32660010482195034
SOXS,0.19725396765848968
SQQQ,0.14461427027131563
XLF,0.04774214111567218
XLU,0.02676643419938881
XLY,0.011181478991341785
HYG,0.0032220559701126713
XLK,0.002709143969569872
SHY,0.0
XLRE,0.0
XLC,0.0
USO,0.0
XLB,0.0
QQQ,0.0
BIL,0.0
SPY,0.0
XLP,-0.006386025214757837
XLI,-0.008193524875688758
DIA,-0.03056455655482788
GLD,-0.03255234616878609
ARKK,-0.04055100276430318
SMH,-0.0440667018304797
TLT,-0.06660926085953854
XLV,-0.07284963764565082
IWM,-0.12891881639170497
