symbol,net_pnl
SMCI,0.31463524500366724
NVDA,0.15348974033156748
MRNA,0.14476639590055101
TSLA,0.14028350773513082
WDC,0.08859161532763764
PTON,0.07891697660382507
MU,0.06236105362915597
TXN,0.062067593289081936
ISRG,0.061619451220482624
AAPL,0.05843318165940535
BIIB,0.05194792455645483
AMAT,0.05191755585204333
SNPS,0.04849766227780513
CMCSA,0.0474876370059501
DOCU,0.043368057407033346
ADI,0.04162332609408725
BIDU,0.0406631411998998
ABNB,0.037595812711189364
GILD,0.03732847968772609
QCOM,0.0343197644023668
RIVN,0.03411439797529479
CSCO,0.03048582339180654
STX,0.028933805403623808
INTC,0.028350063249308333
ADSK,0.02778449100364295
NFLX,0.025120135295148102
EA,0.02362414485350807
MRVL,0.022946619583900273
MSTR,0.021804452522551625
EXPE,0.020479279202260177
ZM,0.017756663482685748
ON,0.015161951035665535
CDNS,0.0150875553150996
CSX,0.012649983309825606
EBAY,0.010765342584337756
MCHP,0.009422493043420271
CHTR,0.007917951805467359
LCID,0.0075938972033513935
AZN,0.007504651563988969
WMT,0.006489833857897473
MAR,0.005854535545082674
PEP,0.005195465847776448
ORLY,0.004854074653117091
ATVI,0.0028589596942598843
TTD,0.0015100622643985642
ADBE,0.0009114629825625014
ULTA,0.000773234126171115
ALXN,0.0004145843222508292
ALGN,0.00018666867015971035
WBA,6.4190048904044e-06
VRSN,0.0
TCOM,0.0
TRI,0.0
AEP,0.0
ALNY,0.0
BMRN,0.0
ANSS,0.0
BKR,0.0
CHKP,0.0
QQQ,0.0
SOLS,0.0
TTWO,0.0
VSNT,0.0
ODFL,0.0
PCAR,0.0
CCEP,0.0
CDW,0.0
CERN,0.0
AXON,0.0
WYNN,0.0
XEL,0.0
WTW,0.0
VRSK,0.0
MPWR,0.0
MNST,0.0
LBTYK,0.0
HSIC,0.0
KHC,0.0
ROP,0.0
ROST,0.0
HAS,0.0
INSM,0.0
INCY,0.0
JBHT,0.0
CTSH,0.0
GEHC,0.0
GFS,0.0
FTNT,0.0
FOXA,0.0
FOX,0.0
FANG,0.0
KDP,0.0
LBTYA,0.0
IDXX,0.0
CTXS,0.0
FI,0.0
FER,0.0
FAST,0.0
CTAS,0.0
CSGP,0.0
CPRT,0.0
SIRI,0.0
SGEN,0.0
PAYX,0.0
MXIM,0.0
MYL,0.0
NTAP,0.0
NLOK,0.0
LIN,-0.0008648667499030367
ADP,-0.0010364701205952094
SNDK,-0.001061435954916227
NXPI,-0.0024116477850577417
NTES,-0.003194815129389243
CELG,-0.0035599175081530558
SPLK,-0.005449137326000395
DLTR,-0.005627090773076232
TEAM,-0.006506536306368587
EXC,-0.006681216081445868
MDLZ,-0.006893894680183732
SHOP,-0.007496802951375153
TMUS,-0.008052293427205323
OKTA,-0.008140625160637956
SBUX,-0.008418315150284367
VRTX,-0.009408216453185255
MSFT,-0.011564097042004826
MTCH,-0.012495589522703545
KLAC,-0.012768825944075
SWKS,-0.013415535829129082
GOOGL,-0.014211554085758853
DXCM,-0.015623709084941447
WDAY,-0.016024655096528534
XLNX,-0.016658182209759873
GOOG,-0.01783111326873249
LRCX,-0.021601205504643138
ENPH,-0.022169192774545078
PDD,-0.022607508687258762
MDB,-0.02268831589441715
WBD,-0.023392403153549672
COST,-0.02649467538638494
PANW,-0.026864761797670642
PLTR,-0.028321802907895117
ZS,-0.028990513758843896
DASH,-0.030050469041533523
META,-0.03025545321214378
ILMN,-0.035373548103907804
AVGO,-0.039218860036249026
HON,-0.039596481102915096
APP,-0.04364578074482025
AMGN,-0.04659292894933035
ARM,-0.04827231494805705
AMZN,-0.0487980496428316
ASML,-0.05950363061648392
LULU,-0.06071944390852321
REGN,-0.06705936568462045
AMD,-0.07099395581038066
INTU,-0.08214883184730407
AAL,-0.08384732229025763
JD,-0.0852690168202531
CEG,-0.08767128449971474
UAL,-0.09538081662097712
CRWD,-0.0994603983598615
PYPL,-0.10193101681608205
DDOG,-0.10614946909505049
BKNG,-0.12045430775030672
MELI,-0.1917013861016724
