symbol,net_pnl
SMCI,0.025966695390943918
AMCR,0.007273452889997132
ALB,0.006916646839926117
ORCL,0.0064307052796569
VST,0.0063309904868362405
CZR,0.004941501096321113
PARA,0.004939817712961376
NVDA,0.004811687378465798
VFC,0.0044048644814970546
DD,0.004127347048181727
GEV,0.004064169262001117
ILMN,0.004020018773640946
DPZ,0.0033056276456850777
WST,0.0031224367368912057
CSX,0.0027601728702424753
EL,0.0027092371553429475
ULTA,0.0027084481255779903
CMCSA,0.0026959514965808964
FFIV,0.0026895542973957905
CBOE,0.002605137790238783
CMA,0.0025809647476609135
TER,0.002494358781997076
POOL,0.0024527906485744193
WRB,0.00238655485693211
WHR,0.0023514918129003753
DXCM,0.0023080864078135477
LITE,0.002238847924598543
CHRW,0.002231214906759223
PENN,0.002192818621880404
PGR,0.0020865232142632238
SWK,0.0019523027525332245
DISH,0.0018678501357791539
BWA,0.001776145178669282
PSKY,0.00176876268926743
PVH,0.0017513679986735841
CVNA,0.0016643078860931148
KR,0.0016527405276177535
WDAY,0.0016511818568441228
OXY,0.0016339968429216613
EBAY,0.0016325660431084697
CSCO,0.0016285531727470684
J,0.0016244933032906353
MRNA,0.0015322978053880964
MRO,0.0015289030559446125
BBY,0.0015284882044719152
OMC,0.001511903398667723
EXPD,0.0014782612579035588
FIX,0.0014755043929674085
TWTR,0.0014334860033010878
VIAC,0.0014141172803729487
PHM,0.0013421756207657376
CINF,0.0012401798114683017
HOLX,0.0012352590545211088
APP,0.0012233310952245026
RJF,0.0012150614474013197
COHR,0.0011982099676359375
DRI,0.0011900785732691453
DHI,0.0011891101047371913
HAS,0.0011843623386746326
ABMD,0.0011034694434963093
TGT,0.001102951047243495
BXP,0.0010968530103360882
EG,0.0010946099743593385
WTW,0.0010694210230163224
PAYX,0.0010541580813166493
IFF,0.0010366783639085366
FTNT,0.001030849347084364
D,0.0010141763060113403
INVH,0.0010131886454257581
EMN,0.00100891450490829
AVY,0.0009984852475864985
IPG,0.0009930740967125091
BAX,0.000985743154158757
CPAY,0.0009794881269160729
ETR,0.0009654048766241134
XLNX,0.0009617846361470823
TROW,0.0009526241263387146
CMI,0.0009463725945855835
CIEN,0.0009443933334570614
PWR,0.0009414229456344168
ELV,0.0009378484052295682
SATS,0.0009231274095945305
MGM,0.0009159791034344179
LVS,0.0009152386975761374
EME,0.0009083461436758528
RF,0.000893200889483262
NOV,0.0008780369816600512
UA,0.0008774802535300804
HUM,0.0008611327141426639
APA,0.0008572568554764476
VRT,0.0008560535023715543
BEN,0.0008520930511141528
BDX,0.0008442302052591103
ES,0.0008258492791887448
MOS,0.0008258180002295202
VLTO,0.0007967935052565676
KMX,0.0007723524716565838
DOV,0.0007668115702497716
IPGP,0.0007646831706693107
DELL,0.0007594635531427388
HUBB,0.0007508711742470327
PCAR,0.0007390798223931133
ROK,0.0007361242783388174
FDX,0.0007229862820791828
WYNN,0.0007207081894750443
SNA,0.0007128961041976511
GM,0.0007101786101603589
TXT,0.0006829344658852757
TRV,0.0006740748910291404
MLM,0.0006626059375575918
SOLS,0.0006572465553852661
DE,0.0006500372059404872
UAA,0.000632507574420641
ROL,0.0006229588311530993
TSN,0.0005973523013432573
SJM,0.0005906397867243531
EMR,0.0005871554698591153
DXC,0.0005678826913228461
ADI,0.0005654286493514276
CTXS,0.0005601297764321454
IVZ,0.0005580105144001466
MXIM,0.0005138282575318687
IBKR,0.0005087452084586423
WY,0.0005077836113598276
RL,0.0004905928380062621
AWK,0.00048232792839235296
JKHY,0.00047230025149378645
EQT,0.00047169024069150674
USB,0.00047096788208296904
ADP,0.0004701566590297907
LH,0.0004654917908631944
ATVI,0.00045805517821354724
UNM,0.00045371797782452704
ETN,0.00045349808182988416
JBHT,0.00045066723432741606
LB,0.00042949444678759503
OKE,0.0004194638244486617
HSIC,0.00041855568703939253
SHW,0.0004076562209541357
WSM,0.0003964788842293863
MTD,0.00039269788980459953
INCY,0.00039085677527829515
CRL,0.00039065346475601614
NTAP,0.0003887949822674545
HII,0.0003814826947747501
DLTR,0.00036332735644689163
ALL,0.0003571986341372388
EFX,0.000356542586669735
FBHS,0.00033346138611664014
ANTM,0.00033108713588345334
FISV,0.0003303435062858067
DOC,0.0003289563027491909
OGN,0.00032537055057499235
HST,0.0003248247477730758
ZBRA,0.00032472228293810106
GPC,0.00032275070975640774
HFC,0.00032269616936620414
ARES,0.0003216708180985551
TTWO,0.0003121857164072558
MCHP,0.000301994529054879
TKO,0.0002960260325283401
VMC,0.0002901446445781008
WBD,0.0002900271019988207
LHX,0.00026063944069179486
F,0.0002561240712517302
TDY,0.0002549702624517776
MRSH,0.00024605501659344
CDAY,0.0002451323616971019
NSC,0.00023534514687060994
CRH,0.00022992545252410875
LKQ,0.00021912792719140124
AME,0.0002065396855203415
Q,0.00020648330929775845
RTX,0.00019478903279179045
BLL,0.0001928002784226861
IR,0.00017742930412257773
ZION,0.0001752169214530469
PG,0.00013685686319520784
KIM,0.00011521086804579135
GD,0.00011478963210566123
CB,0.00011227133090872292
NOC,9.043926298056303e-05
KSU,7.722092523555258e-05
ADM,5.5341189127703594e-05
CPB,4.8775214396124375e-05
WAB,4.277347417938782e-05
NTRS,4.22688373970985e-05
PBCT,4.1129058397161203e-05
CASY,3.792145728024647e-05
SYY,3.6300714097930515e-05
MMC,3.135759843365828e-05
REG,3.113921531027295e-05
HCA,2.4791387371388923e-05
