symbol,net_pnl
SOXL,0.6337733830723113
QQQ,0.05801871560793261
XLI,0.04927780890922491
XLK,0.042461523342771035
XLY,0.04241094584270351
TQQQ,0.035167502920523556
IWM,0.030779517703322944
XLV,0.027209645636989892
SOXS,0.02490296905926495
XLU,0.02009723283542228
SPY,0.009569225505007425
ARKK,0.0013556499897469845
XLRE,0.0
USO,0.0
XLB,0.0
BIL,0.0
SHY,0.0
XLC,0.0
XLP,-0.0009565872210764824
TLT,-0.0012073624356353308
HYG,-0.023861353396162684
SMH,-0.025266756143386235
DIA,-0.03806966361970917
XLF,-0.062270038346530825
XLE,-0.06287682198745019
GLD,-0.06923002007867377
SQQQ,-0.19628945378890184
