symbol,net_pnl
TSLA,0.12553253595562225
MRNA,0.06802389267919957
NVDA,0.06744354677500297
AAPL,0.05373044470636298
QCOM,0.04000306010393899
PTON,0.039920498272638404
ISRG,0.03716927985078333
AMD,0.03466284051239921
STX,0.02647948071788296
MCHP,0.024792408605543357
WDC,0.024076082541679422
NFLX,0.023969943017075473
SMCI,0.023727414238994417
META,0.023638589466534063
EA,0.02238268612434627
BIDU,0.01875060421333638
CSCO,0.01710264180901748
TTD,0.016595822578553736
KLAC,0.016547701225519313
VRTX,0.015797076024029535
SNPS,0.014224470149904474
LIN,0.012787311541244475
ADI,0.01204753751250755
BIIB,0.01061431681278555
LRCX,0.010382882695320065
MSFT,0.010238710418586745
COST,0.009841645367629603
CSX,0.008475018127130697
MRVL,0.007938753259007846
RIVN,0.007611251686154386
MU,0.007351556560118913
AZN,0.006635487356801827
CMCSA,0.00662048320294535
MDB,0.006498311565160646
SWKS,0.0052814031386626235
GILD,0.0050709133548068625
ON,0.004678202647058112
EXPE,0.004173045029122313
CHTR,0.0037790567032690682
ADSK,0.003460066471870112
ALXN,0.002272169683565997
DXCM,0.0020519844676629485
ATVI,0.0015250787696047222
ULTA,0.0011562244879491262
NTES,0.0010957439656758571
EXC,0.0006439392461094935
WMT,6.956655651827988e-06
ROST,0.0
ODFL,0.0
NTAP,0.0
TRI,0.0
SOLS,0.0
TTWO,0.0
AEP,0.0
ALNY,0.0
ANSS,0.0
AXON,0.0
BMRN,0.0
BKR,0.0
CCEP,0.0
CHKP,0.0
QQQ,0.0
CERN,0.0
CDW,0.0
SGEN,0.0
PAYX,0.0
NLOK,0.0
MYL,0.0
MXIM,0.0
XEL,0.0
WYNN,0.0
VRSK,0.0
VRSN,0.0
TCOM,0.0
JBHT,0.0
LBTYA,0.0
KHC,0.0
INSM,0.0
FANG,0.0
HAS,0.0
HSIC,0.0
KDP,0.0
SIRI,0.0
IDXX,0.0
INCY,0.0
MNST,0.0
MPWR,0.0
LBTYK,0.0
GFS,0.0
FOX,0.0
FI,0.0
FTNT,0.0
FOXA,0.0
GEHC,0.0
CTSH,0.0
CTXS,0.0
FER,0.0
FAST,0.0
CTAS,0.0
CSGP,0.0
CPRT,0.0
VSNT,0.0
WTW,0.0
ROP,0.0
PCAR,0.0
DLTR,-0.00022555952886364148
ZM,-0.0005451928678263771
LCID,-0.0011270874568760588
JD,-0.0012681753722001846
HON,-0.0013377546178800779
MTCH,-0.0014088827472141458
CELG,-0.0018239043507844626
WDAY,-0.0022937033654509987
SNDK,-0.0026654243681629546
WBD,-0.0027464105960925676
MAR,-0.0027952159807759984
GOOGL,-0.0028511665022932413
TXN,-0.0037297885323754505
CDNS,-0.005439472116422661
GOOG,-0.005503483180664234
SPLK,-0.0057350049989243375
PANW,-0.0060401623716599675
WBA,-0.00713494550815929
ADP,-0.007166220932093862
ASML,-0.007425391588418666
ALGN,-0.0075604965977839785
TEAM,-0.008177268658045425
ADBE,-0.008209695384353144
NXPI,-0.00987244132103091
ZS,-0.010514164400308662
CEG,-0.010663590730750818
XLNX,-0.010771108005111604
AMGN,-0.011205629735072617
OKTA,-0.012351724706337552
SHOP,-0.012714110369002824
INTC,-0.013623576101161508
ORLY,-0.01402992946261097
PDD,-0.0144123099159943
MDLZ,-0.014658379397332692
AMZN,-0.015616206864550217
MSTR,-0.018312564167294293
INTU,-0.018983512922755366
ABNB,-0.020815957814446284
AVGO,-0.02187488066556343
ENPH,-0.023666428349194094
PEP,-0.025082523191943644
EBAY,-0.02550603343914245
DASH,-0.02769739919802609
DDOG,-0.028266973008688103
DOCU,-0.0294201267920143
AMAT,-0.030869609336073252
PLTR,-0.03237190672633829
LULU,-0.03553066154914189
PYPL,-0.037661836594101654
MELI,-0.04196254027727084
TMUS,-0.04334657739295429
ARM,-0.044516559913777815
SBUX,-0.047141846892051226
REGN,-0.04943716770274952
AAL,-0.05024850137250334
ILMN,-0.05079855831494006
CRWD,-0.05658500097637027
BKNG,-0.05710346894227384
UAL,-0.058118311867285624
APP,-0.07421990735766201
