symbol,net_pnl
MRVL,0.14860170447327148
AMZN,0.1416118236900105
AMD,0.1342999685619148
TSLA,0.12169013359851305
MU,0.12111912094130041
JD,0.1207912016264526
INTC,0.10994354187420047
META,0.08246188017890499
WBD,0.07207893771907613
NVDA,0.06510375931065389
UAL,0.06501581823788144
PANW,0.06025546354940062
NXPI,0.05923500557900991
EBAY,0.058395232903785795
MRNA,0.05471855174760029
BKNG,0.05450294028526288
CRWD,0.053101337521822695
ADBE,0.052908943497459046
ON,0.05175146280142777
WDAY,0.051678110481745296
AVGO,0.051359226137457616
APP,0.04731514225633627
TXN,0.04104971521586377
MCHP,0.038729513767644934
AMAT,0.03820867058539203
ABNB,0.03625993634807108
CMCSA,0.03603468936414722
INTU,0.03471880180484557
CHTR,0.03331392172393878
CEG,0.030620109255671386
PDD,0.030169697067349815
ADI,0.027081860119718717
ATVI,0.023745123521592196
GOOG,0.021613418642692776
ZM,0.018862083099068446
OKTA,0.01872819619496723
CDNS,0.016292444715302844
BIIB,0.01583401258286273
GOOGL,0.015178254173067488
MELI,0.014172796758683784
DXCM,0.014063191006796306
MSFT,0.013760566033817288
VRTX,0.012995529345429219
CSX,0.012706685174998839
ADP,0.011174593908422934
MDB,0.01100552658152448
TEAM,0.008832455691627411
SNPS,0.008770839958964136
PLTR,0.008411852076723203
PEP,0.008037604839999782
MAR,0.007318062706207083
TMUS,0.006448476866951203
COST,0.006078243024283329
SPLK,0.005622309256046825
AZN,0.005231694406138665
AAL,0.003726741347366744
QCOM,0.0030253521213647458
MDLZ,0.0011143137880492422
DASH,0.0010070230294926
EA,0.0009656988860356588
ADSK,0.0002786992545050796
ALXN,0.0
CDW,0.0
QQQ,0.0
AEP,0.0
ANSS,0.0
AXON,0.0
BMRN,0.0
CERN,0.0
XEL,0.0
WMT,0.0
TTD,0.0
TTWO,0.0
VRSN,0.0
CCEP,0.0
CELG,0.0
CHKP,0.0
BKR,0.0
ALNY,0.0
ALGN,0.0
FAST,0.0
FANG,0.0
EXPE,0.0
FTNT,0.0
GFS,0.0
HSIC,0.0
LBTYK,0.0
MNST,0.0
MPWR,0.0
KDP,0.0
FOXA,0.0
FOX,0.0
EXC,0.0
GEHC,0.0
FI,0.0
DLTR,0.0
CTSH,0.0
CTXS,0.0
CTAS,0.0
CSGP,0.0
CPRT,0.0
WYNN,0.0
WTW,0.0
STX,0.0
SOLS,0.0
TRI,0.0
VRSK,0.0
VSNT,0.0
ULTA,0.0
ROST,0.0
ROP,0.0
PCAR,0.0
TCOM,0.0
SNDK,0.0
LBTYA,0.0
JBHT,0.0
KHC,0.0
HAS,0.0
IDXX,0.0
INCY,0.0
INSM,0.0
FER,0.0
PAYX,0.0
ORLY,0.0
ODFL,0.0
SIRI,0.0
SGEN,0.0
NLOK,0.0
NTAP,0.0
MYL,0.0
NTES,0.0
MXIM,0.0
MTCH,0.0
LIN,-0.0008186581792771804
XLNX,-0.0010430026973959215
ZS,-0.0023990604622458173
HON,-0.0036045635066962755
AMGN,-0.003790711313276867
GILD,-0.004687266553429461
ASML,-0.004938068868307761
LRCX,-0.005849376515932237
SBUX,-0.006509937876714228
SHOP,-0.006874905626759325
CSCO,-0.007343972584702666
ILMN,-0.008427655077983822
ARM,-0.008913836206526743
WBA,-0.010105725897046947
BIDU,-0.010254205494522111
KLAC,-0.011002477327522412
ENPH,-0.013409340388091747
SWKS,-0.01625629456499271
DDOG,-0.017267212675545377
PYPL,-0.01767016418368727
WDC,-0.019500802860031946
LCID,-0.02024229456672673
RIVN,-0.021453407925468508
REGN,-0.03873025460630296
DOCU,-0.040665833766120575
ISRG,-0.04179300424862707
NFLX,-0.041997999565520826
LULU,-0.05661316706030644
AAPL,-0.06214640215574228
PTON,-0.08087794949392493
MSTR,-0.11646474541427015
SMCI,-0.20588732098157855
