symbol,net_pnl
MCHP,0.09631627074769289
CCL,0.06316332545600106
EPAM,0.061672582258343996
FSLR,0.046923887543516306
FTNT,0.03989105895666268
WBD,0.03878789656291015
TSCO,0.0364238848265998
AXON,0.03603132554412501
NCLH,0.03277434582006057
MU,0.030379648225927574
UAL,0.028300297594193134
NEE,0.027438740078889173
APP,0.026581739319473278
LUV,0.026407418006748593
GOOG,0.025102409408987027
ON,0.023725872130971958
AMZN,0.02259521947499111
ANET,0.022360919964634147
SBUX,0.02181013862130649
WYNN,0.020116545783143494
CI,0.01977626150619311
INTC,0.01967262990147644
META,0.01854754342087739
GE,0.018027815966694775
AAL,0.01753855898247821
FCX,0.017394052591753598
UBER,0.017361210793724654
ULTA,0.016882485511571267
INTU,0.01687978936088381
ETR,0.01674697149608749
STX,0.016486127888351573
GOOGL,0.015852622628355434
TFC,0.015687993664956146
EL,0.015346924455457127
PLTR,0.014989150657889413
EXPE,0.014800111681790734
EW,0.01466679117764695
SLB,0.014336212919731318
ROST,0.013835217460681202
XEL,0.013141949115735315
SNPS,0.013051861601163976
MNST,0.011751143443095028
BKR,0.011735747510943648
COST,0.011261275666834436
SNDK,0.011215697334453179
EA,0.011145561478881072
AMAT,0.011019837384673119
ALGN,0.010969424820413787
XYZ,0.01092467209242008
SCHW,0.010849087739441177
ILMN,0.01076362046255991
D,0.010578020826050638
PFE,0.010371620285441982
CZR,0.010305658948232205
DOW,0.010289763838559087
CVS,0.009988451078728639
AEP,0.00963834781354398
GEV,0.009515788873228542
ALL,0.009475482823072338
APO,0.009270286110259261
CDNS,0.00925615494284163
LEN,0.009052408628022243
BIIB,0.008979740150849744
WMT,0.00888596755937944
SBNY,0.008705681973601241
WDAY,0.008381816715239679
FDX,0.00828436710304365
PSX,0.00823299503340045
AVGO,0.008195989718659024
F,0.007999542205301979
DASH,0.007923799582596182
USB,0.00792269321568473
PLD,0.00774067014982904
DAL,0.007605418412544032
QCOM,0.007524319412004635
SYK,0.007466153382710288
BA,0.007320135349467812
VRTX,0.007310332488967889
WBA,0.00728917863222661
PCG,0.007036654950199904
PODD,0.006982376327005366
CSCO,0.006826013841009696
MRK,0.0067155874552721345
DLR,0.006611558410751061
GD,0.006486400549123455
ADI,0.006446045104807599
SO,0.006394862843510867
RMD,0.006226225177094586
MA,0.006156343139978216
CTSH,0.006075366984692448
DUK,0.006062621078425003
ROK,0.005912195636145396
AAPL,0.00563797108570005
CRWD,0.005518347113885637
APTV,0.005501006912288363
TXN,0.005392279910065284
ORLY,0.005279053659441031
LOW,0.005031543317890734
CAT,0.005027974849915593
TMUS,0.004739441774966552
HAL,0.004651649612454278
PM,0.004616425605093794
AMT,0.00434144059367167
AIG,0.004280345126195906
SBAC,0.003991800675769961
ADSK,0.003929582721687278
APD,0.003912833332066157
IP,0.0038745918324115105
LLY,0.0037798324379479677
MDT,0.003602675843514534
EBAY,0.0035845757890542
UPS,0.0034213478097335276
BKNG,0.003284991822481197
LIN,0.003154425995809955
MTB,0.0030779132375661033
KMI,0.0028863058430024344
CB,0.0028765275730910944
EXC,0.0028624898978415704
DHI,0.002811954280945735
NRG,0.0026500355446847077
KEY,0.0026095650493777956
DELL,0.0025784314886246945
CMCSA,0.002535717995503001
FIS,0.0025228892717494337
COR,0.002454685107556969
MET,0.002212048398184456
EXE,0.0022077819336236734
BAX,0.0021058211305116127
APH,0.0019660007630960077
XOM,0.001946371247978874
BSX,0.0019307118842315956
VLTO,0.0018575276265498603
BAC,0.0018401310619629112
PAYX,0.001788755320076205
TJX,0.001736809053898169
NXPI,0.0017354216099665406
TEL,0.0016660648299924475
MPWR,0.0016537947600249413
ADP,0.0015818737528053718
DIS,0.0014797501793433982
MRO,0.0014590532768821447
DE,0.0013929553927173606
SWK,0.001307560319194167
REGN,0.0012858567787075244
LULU,0.0012835228223791117
T,0.0012769878544615515
SIVB,0.0012000521447292705
WMB,0.0011591280073528498
NUE,0.001155280745459553
IBM,0.0010022499738210578
LVS,0.0009417876757341937
HPE,0.0009344885819554523
FANG,0.0008752715846813953
JCI,0.0007980488051783883
AJG,0.0007777233069542097
ICE,0.0006182224970931947
APA,0.0005853239778283237
DPZ,0.0005675410458576876
MSCI,0.0005402371640651183
HLT,0.0005273748116342121
UNP,0.0004853843248693578
PGR,0.00046032690995413607
STZ,0.0003872450698741421
PXD,0.0003845448556617864
NSC,0.0003707556520826501
MSI,0.0003118360494139064
CFG,0.0002620782881119271
SYF,0.00023819556397756218
HD,0.00015813283371414062
TRV,0.00012750210708345271
AZO,1.7110043074878378e-05
COG,0.0
AIZ,0.0
AFL,0.0
VICI,0.0
VIAC,0.0
VFC,0.0
UNM,0.0
UHS,0.0
DD,0.0
DAY,0.0
CVNA,0.0
CTXS,0.0
CTLT,0.0
CSX,0.0
DTE,0.0
DRI,0.0
DRE,0.0
DOV,0.0
DOC,0.0
DISH,0.0
DISCK,0.0
DISCA,0.0
DGX,0.0
UDR,0.0
UAA,0.0
UA,0.0
TYL,0.0
TXT,0.0
TSN,0.0
TROW,0.0
TRMB,0.0
TRGP,0.0
EMN,0.0
EME,0.0
EIX,0.0
EG,0.0
EFX,0.0
ED,0.0
ECL,0.0
DXC,0.0
DVA,0.0
BG,0.0
BF.B,0.0
BEN,0.0
EVRG,0.0
ESS,0.0
ES,0.0
ERIE,0.0
EQR,0.0
EOG,0.0
TPR,0.0
TPL,0.0
TKO,0.0
TFX,0.0
