symbol,net_pnl
MSTR,0.17828981773557104
ZM,0.15519649574309935
CSCO,0.11824730936220042
NVDA,0.09736579309598532
LRCX,0.09057503481004209
TMUS,0.08733384236286305
META,0.0783114560371518
WDAY,0.07390957702147194
MELI,0.06957792949218926
DXCM,0.06595168066954579
INTC,0.06439212100697099
KLAC,0.05139719043040379
PANW,0.04709729928238688
CHTR,0.04507796113737386
MRVL,0.043887746631326024
PLTR,0.04384201589485695
MCHP,0.04280036633571471
VRTX,0.04255948626962514
TSLA,0.04104505263167097
BKNG,0.03844303197585891
XLNX,0.03470628838967889
MU,0.03047633186958659
ABNB,0.02824502417466216
WDC,0.027092825103557337
STX,0.026010916315814814
DASH,0.02132459277143078
ADI,0.020553850955480114
ADSK,0.018666123493217508
HON,0.01784033086059243
WBD,0.017613078602967767
SBUX,0.016938707661357567
GILD,0.016312663758333637
AMD,0.01612860109152717
INTU,0.01580688662605311
ISRG,0.01568015691883046
AMAT,0.015561442809205784
MTCH,0.015535186623352492
TXN,0.013616358569944672
PEP,0.013553552698082434
GOOG,0.012582302066427464
MDB,0.012540657547795198
JD,0.011594762113135672
CDNS,0.011461943997202401
AZN,0.010445074643870112
LIN,0.008351031197352695
OKTA,0.007349253428582025
WMT,0.006817471792790488
DLTR,0.005404084333516179
APP,0.004317919374257816
BIIB,0.0042955269157745075
ORLY,0.0031437580345774975
AAPL,0.0031114235405162467
ADBE,0.0009126239789581823
MAR,0.0008786015228133752
PTON,0.0003723430305052518
ALGN,0.0
ANSS,0.0
BKR,0.0
BMRN,0.0
QQQ,0.0
AAL,0.0
AEP,0.0
ALNY,0.0
AXON,0.0
CHKP,0.0
CCEP,0.0
CDW,0.0
CELG,0.0
CERN,0.0
VSNT,0.0
WBA,0.0
VRSK,0.0
VRSN,0.0
TEAM,0.0
UAL,0.0
TTWO,0.0
ULTA,0.0
WYNN,0.0
RIVN,0.0
LBTYK,0.0
MNST,0.0
IDXX,0.0
INCY,0.0
INSM,0.0
JBHT,0.0
MPWR,0.0
LBTYA,0.0
KDP,0.0
KHC,0.0
GEHC,0.0
FTNT,0.0
CTSH,0.0
CPRT,0.0
CTXS,0.0
FAST,0.0
FI,0.0
FER,0.0
EXC,0.0
EXPE,0.0
CSGP,0.0
CTAS,0.0
XEL,0.0
WTW,0.0
FOX,0.0
FOXA,0.0
GFS,0.0
FANG,0.0
PCAR,0.0
PAYX,0.0
SIRI,0.0
SGEN,0.0
ROST,0.0
TRI,0.0
TCOM,0.0
SMCI,0.0
SOLS,0.0
SNDK,0.0
HAS,0.0
HSIC,0.0
ROP,0.0
MYL,0.0
ODFL,0.0
NTAP,0.0
NLOK,0.0
MXIM,0.0
NFLX,-0.0013682363795443405
ON,-0.002918008872084846
ALXN,-0.003006159005259986
SWKS,-0.005109568753944714
MDLZ,-0.0072685636048663025
MSFT,-0.007457960715247489
TTD,-0.01035744856981639
NTES,-0.011044746234514981
EA,-0.011792609442839042
EBAY,-0.01197460664951493
GOOGL,-0.013841950180472606
AMGN,-0.013919457407928302
PYPL,-0.013966179727540665
NXPI,-0.014126849147074235
ADP,-0.01973119507461763
CSX,-0.021861535531992066
AMZN,-0.02306004854614621
ILMN,-0.02436677703285923
SNPS,-0.024515747514467418
BIDU,-0.02504711813243475
MRNA,-0.02507913896092592
SHOP,-0.027664336353218806
SPLK,-0.028589265480989518
CMCSA,-0.030611493902444446
CRWD,-0.03896632047041582
CEG,-0.039508018935088866
REGN,-0.04059865963205878
ENPH,-0.04329258030595631
AVGO,-0.04574959474612251
PDD,-0.04661225743121585
COST,-0.049998942151576534
DOCU,-0.053715999747364074
ARM,-0.06439220096601093
ASML,-0.07166991164610434
ATVI,-0.07196835894967345
ZS,-0.07633645632377936
QCOM,-0.08375347322288273
DDOG,-0.08412322408031714
LULU,-0.10774092960816006
LCID,-0.14673828949346185
