symbol,net_pnl
JD,0.22282198451553614
SMCI,0.14359086513787153
LRCX,0.14130206979374307
PANW,0.10440589567503893
MU,0.10387459481398113
CHTR,0.09177637406180675
ASML,0.09103882012070579
QCOM,0.08467067499732644
AMAT,0.08145036454207968
MRNA,0.07475757334255011
KLAC,0.06956828883714233
NVDA,0.06924465606189872
MAR,0.0655480768155861
AAL,0.06472693324262069
DXCM,0.06424730790773464
EBAY,0.06116972435226884
INTU,0.05816817629716856
MRVL,0.05561137621717947
DOCU,0.05186639888678566
PDD,0.04715098342180877
GOOG,0.047076903156521806
ILMN,0.04362254875347182
TSLA,0.04353275127695246
AAPL,0.04178560041891616
GOOGL,0.039482258685179315
NXPI,0.03894523356231225
MELI,0.037992034852283495
UAL,0.03481678580412611
COST,0.03385494095513689
SNPS,0.03299159612165218
WBD,0.030359332614815764
ORLY,0.02848044787975624
SHOP,0.027425714157921492
SBUX,0.023827800719824876
AMD,0.021518694263291144
META,0.021154640221257064
XLNX,0.020245143126061807
WDC,0.019767188780894507
CMCSA,0.01950014594833043
ATVI,0.01902682600043531
AMZN,0.01839408628474234
GILD,0.01596191073336661
STX,0.015201972079128684
TXN,0.015020233248659018
ADP,0.014006141955147258
ADI,0.013884030576896309
TMUS,0.01311773930927179
CSCO,0.012608510226463508
CDNS,0.01195413592686825
PLTR,0.010433906211497042
AMGN,0.008835199465404103
ABNB,0.0076188714966036455
OKTA,0.006790853948449097
ISRG,0.005753598252990625
VRTX,0.005694548001026788
EA,0.005492323259332716
DASH,0.003992878998882231
WMT,0.003650926645133802
AZN,0.0035528434004976576
MTCH,0.0034153641250140713
EXPE,0.002313672371704341
CSX,0.002260380719589525
DDOG,0.0016834585882656078
NFLX,0.0014533307657116333
LIN,0.00091328861686858
BKNG,0.0008458845210471146
ALXN,0.0006828390808373178
MDLZ,0.0005884232590032507
QQQ,0.0
WYNN,0.0
XEL,0.0
WTW,0.0
VRSK,0.0
SOLS,0.0
VSNT,0.0
VRSN,0.0
SNDK,0.0
AXON,0.0
BKR,0.0
CDW,0.0
BMRN,0.0
ANSS,0.0
CHKP,0.0
CELG,0.0
CCEP,0.0
ALNY,0.0
AEP,0.0
ALGN,0.0
CERN,0.0
FOX,0.0
FI,0.0
FTNT,0.0
GFS,0.0
LBTYK,0.0
MNST,0.0
LBTYA,0.0
CTXS,0.0
GEHC,0.0
DLTR,0.0
CPRT,0.0
CTAS,0.0
TTWO,0.0
TRI,0.0
ROST,0.0
NLOK,0.0
TCOM,0.0
FER,0.0
FAST,0.0
FANG,0.0
PAYX,0.0
PCAR,0.0
JBHT,0.0
INSM,0.0
KHC,0.0
KDP,0.0
INCY,0.0
MPWR,0.0
HSIC,0.0
IDXX,0.0
HAS,0.0
CTSH,0.0
CSGP,0.0
MXIM,0.0
MYL,0.0
NTAP,0.0
FOXA,0.0
SIRI,0.0
ROP,0.0
ODFL,0.0
SGEN,0.0
AVGO,-2.5096575999848453e-05
MCHP,-0.0009439012475616264
NTES,-0.0011908694664558692
ULTA,-0.0020348592826042147
WDAY,-0.0030035251599617196
SWKS,-0.005591499606061239
SPLK,-0.006225343324894766
WBA,-0.007155184331665769
TEAM,-0.008883225163090742
MSFT,-0.010053300676874074
ADBE,-0.012210078010881748
HON,-0.013214265070026794
TTD,-0.013433655001826554
RIVN,-0.014178785411009621
PEP,-0.01454328127099806
ADSK,-0.017485537277307207
CRWD,-0.01785849155239182
INTC,-0.018425094754552895
ON,-0.018491315367454686
MDB,-0.021297398015250078
ARM,-0.023349249991454716
EXC,-0.02430205144659711
APP,-0.026445886441337052
ZS,-0.029971200196518576
ZM,-0.03071317535056225
BIDU,-0.031215357615205473
BIIB,-0.03304146342676283
LCID,-0.03378946849008445
REGN,-0.03434627305594519
PTON,-0.04048298766263528
ENPH,-0.046593880079873966
MSTR,-0.06163578154619064
LULU,-0.06258486614338389
CEG,-0.06610726451022293
PYPL,-0.08978846494989852
