symbol,net_pnl
BIDU,0.07161387743705629
AAPL,0.05792975959075795
CMCSA,0.056460628887309086
JD,0.04866461692739808
CSCO,0.04540838669915594
ATVI,0.036037741277744596
TXN,0.033416453732855705
GOOG,0.032662216423958154
GOOGL,0.029464299306354788
MCHP,0.02808059106631199
NVDA,0.02175520101014436
ZM,0.02138120698652785
ADSK,0.019358801000365675
ADI,0.018763066887645154
QCOM,0.01597111667610033
ORLY,0.015667213595562623
ADP,0.015220355137955825
WMT,0.014437016100229468
PEP,0.014346643670518725
MRNA,0.012878180678828894
SMCI,0.010277198956603034
AMD,0.008967039532598827
META,0.007024376677214307
DOCU,0.006187814032372114
MTCH,0.005948376277734891
EA,0.004977223330799515
NXPI,0.0048409120198228215
AZN,0.0044730934496787335
KLAC,0.00437861305711689
EXPE,0.003944600888832694
AMAT,0.00389458937295644
MSTR,0.0036290315866224034
BIIB,0.0034935791953169754
WBD,0.0032823596426050125
CDNS,0.0032387102343535545
SHOP,0.0031420416654121775
CRWD,0.0030639288694480115
RIVN,0.0029718999182638825
WDAY,0.0024588896823274217
NTES,0.0020751962555884693
MU,0.0015588687620164362
LRCX,0.0014371586799428314
ALXN,0.0008130941309475474
MRVL,0.00033769834360669474
WBA,0.0002952888915061331
VSNT,0.0
WTW,0.0
WYNN,0.0
SNDK,0.0
TCOM,0.0
TTWO,0.0
TRI,0.0
STX,0.0
AEP,0.0
ANSS,0.0
ALNY,0.0
ALGN,0.0
BMRN,0.0
CDW,0.0
CERN,0.0
CHKP,0.0
QQQ,0.0
SGEN,0.0
PCAR,0.0
MYL,0.0
CELG,0.0
AXON,0.0
BKR,0.0
CCEP,0.0
XEL,0.0
MNST,0.0
LBTYK,0.0
HSIC,0.0
INSM,0.0
KDP,0.0
MPWR,0.0
INCY,0.0
JBHT,0.0
LBTYA,0.0
ROST,0.0
ROP,0.0
PAYX,0.0
SIRI,0.0
IDXX,0.0
DLTR,0.0
GEHC,0.0
FTNT,0.0
GFS,0.0
FOXA,0.0
FAST,0.0
FOX,0.0
FANG,0.0
KHC,0.0
HAS,0.0
CTXS,0.0
CTSH,0.0
FI,0.0
FER,0.0
CSGP,0.0
CTAS,0.0
CPRT,0.0
SOLS,0.0
VRSK,0.0
VRSN,0.0
MXIM,0.0
ODFL,0.0
NTAP,0.0
NLOK,0.0
ULTA,-0.00020218247073805864
TTD,-0.0003465847267195507
LCID,-0.001639622808669089
CEG,-0.0017011353868051312
SWKS,-0.002207793486875771
MAR,-0.00224900899619685
EXC,-0.0024912301661856387
XLNX,-0.002551077541914741
CHTR,-0.0025942039147820225
MDB,-0.0027138263411893115
ISRG,-0.003989290620333462
PTON,-0.0043631412459526255
PANW,-0.004448436896292257
CSX,-0.005027357201405757
TEAM,-0.0053332410502095005
ON,-0.005396035356512428
APP,-0.005851327752119434
LIN,-0.006287874890301507
OKTA,-0.00671676669500007
VRTX,-0.008177975113027347
NFLX,-0.008482671694929611
PLTR,-0.009322280518456974
SBUX,-0.009490942605241047
DDOG,-0.010107114740501764
WDC,-0.01024641592003946
EBAY,-0.0104655317473945
ZS,-0.011313723187257436
ARM,-0.013566440764297945
SNPS,-0.014122280077724458
ILMN,-0.014428970641573197
SPLK,-0.014945336716317372
TSLA,-0.01512642088528919
INTU,-0.015274480345633636
HON,-0.015460095438710127
ENPH,-0.016494374456231684
MELI,-0.017835468168533705
ASML,-0.01801770327102517
AAL,-0.01957628778357572
DXCM,-0.020385187428430054
ABNB,-0.021990128185528757
DASH,-0.023241020084412558
TMUS,-0.026146282360664054
PYPL,-0.02642883799933181
AVGO,-0.02815928182938887
GILD,-0.028734998166338364
ADBE,-0.02883076370738131
COST,-0.03582018623478621
MDLZ,-0.042739511933784814
UAL,-0.04305946879030201
INTC,-0.043411197214425885
BKNG,-0.04366574010997586
MSFT,-0.04857464336979477
AMGN,-0.053052186361103267
LULU,-0.054986124442605526
AMZN,-0.05795810538640989
PDD,-0.07071617329408272
REGN,-0.09246038907291429
