symbol,net_pnl
PEP,0.04046930266043661
CB,0.03861414635650541
ULTA,0.03819781742960786
DE,0.035583882035014655
WMT,0.03538170348220917
ATVI,0.03371352960477325
JNJ,0.03020294377718913
PG,0.029164428423153577
NOC,0.028721041644295692
ELV,0.02871687133428047
AON,0.026694135879221377
SCHW,0.024848017601980486
HCA,0.02451425201955235
ACN,0.024206588432875296
KMI,0.02396449435438473
WELL,0.023727653735519574
KR,0.023297466736066648
CL,0.023270622295849065
DG,0.022516595827125292
DAL,0.02089362955668665
LLY,0.0196860081661499
CVS,0.019539173952694035
KO,0.019259424281690557
EL,0.019024646791492763
DUK,0.018634560518354108
CI,0.017779095237933674
ADSK,0.015924590741733666
WM,0.015094636348641124
EXC,0.014917566248467923
MAR,0.0148310969730307
JPM,0.014137773418188941
TRV,0.013894323827310467
TGT,0.013231935643125727
CHTR,0.01251495340648612
FICO,0.012071496187535675
CSCO,0.011818452373664004
GIS,0.011649085099301482
FDX,0.010974094054016566
TWTR,0.010907269878939026
ILMN,0.010855108009082653
PANW,0.010684442550928073
PAYX,0.010553930075618338
KVUE,0.010300216203627928
ETN,0.01017697160415687
GD,0.010061124115021039
PNC,0.00997535028339097
UNH,0.009901132810528629
ABT,0.009667967109320764
MA,0.00956710794454571
BSX,0.009474172814205675
ALL,0.009333160250868798
AIG,0.008936034264954684
PFE,0.00874143317416446
NUE,0.008696514612803477
BRK.B,0.008407625113971511
AJG,0.008388274104905695
BAX,0.008274556461635536
CRM,0.008242987871761498
PGR,0.008055424847786617
LULU,0.007540598842649056
FISV,0.007481096905403999
LOW,0.0074447309429588925
HD,0.007378550123444209
AAPL,0.007371939563992689
GM,0.007176485710309278
LEN,0.007033789173361515
CCI,0.007026610950907276
GPN,0.006702405439636911
TT,0.006462637614283516
VIAC,0.00602639503839784
HWM,0.006018365247586081
UNP,0.006013551193362916
BIIB,0.005947215266833478
ED,0.005879590628903648
GEHC,0.005742587150725344
MCK,0.00574158833377619
EW,0.005527346366309695
GNRC,0.005503229388540855
RSG,0.005431534808026515
PCG,0.005394346176257158
FANG,0.005217802373767705
TJX,0.00513439460672503
BK,0.005043961376978543
CAT,0.004949305072596477
ENPH,0.004912800069796427
CVX,0.004859445236910305
SLB,0.0047706899147528575
