symbol,net_pnl
CMCSA,0.09432769331083356
JD,0.08810148154434154
BIDU,0.07376460811663417
MAR,0.0640308936519759
CSCO,0.060103648926958034
ATVI,0.05768189740227503
GOOGL,0.05722556612939276
GOOG,0.05292290124640314
NVDA,0.046944272491277854
TMUS,0.04335323504125773
AAPL,0.04061153758290701
CRWD,0.04001630172249761
VRTX,0.035692757695324276
ADSK,0.03537029156252311
MRVL,0.03295716443217389
ZM,0.032357701083764324
PEP,0.03176156857405449
QCOM,0.02634899485779942
PANW,0.026121045781421836
TXN,0.025981102211683038
ISRG,0.02556673864713724
MCHP,0.024704316957321195
DOCU,0.024502507050644
WDAY,0.023928064531202123
AMD,0.022602607080774
NFLX,0.021915683431886917
ADP,0.020885010233224945
COST,0.02019797173922644
DXCM,0.019965123411009086
AAL,0.019168350285855715
EBAY,0.01805492816593059
MU,0.017743155736630014
UAL,0.017586534571317012
KLAC,0.017147769087889127
EA,0.01707862712547377
CEG,0.016957015720167664
ADI,0.016635181227557486
ORLY,0.015988939582689737
WMT,0.014867212853343508
ASML,0.014439336699372616
META,0.01408091218970193
SHOP,0.013228454591904639
SNPS,0.011693211814706514
XLNX,0.011172002886177588
GILD,0.010130682000109418
NXPI,0.010087971166307509
LRCX,0.008347132080103303
WBA,0.0075407211069916736
AMAT,0.006798238682109873
MSTR,0.006079034308633311
PTON,0.005652546013847549
MDLZ,0.005555606973431719
MTCH,0.0039666464346350275
MELI,0.0027340183340628815
AVGO,0.002576504623974231
CDNS,0.002181109955481502
AZN,0.0018669241138587452
WBD,0.0018633722021054002
ALGN,0.001250796466611823
TTD,0.0010546430140497462
ALXN,0.0009485821658515703
PLTR,0.0009400860802033688
AEP,0.0
CERN,0.0
CELG,0.0
QQQ,0.0
ALNY,0.0
BKR,0.0
CHKP,0.0
VSNT,0.0
ULTA,0.0
VRSK,0.0
WTW,0.0
XEL,0.0
WYNN,0.0
TTWO,0.0
VRSN,0.0
PCAR,0.0
BMRN,0.0
AXON,0.0
ANSS,0.0
CDW,0.0
CCEP,0.0
FOX,0.0
LBTYA,0.0
MNST,0.0
MPWR,0.0
KDP,0.0
LBTYK,0.0
JBHT,0.0
FER,0.0
FI,0.0
DLTR,0.0
GEHC,0.0
FTNT,0.0
FOXA,0.0
CTSH,0.0
CTXS,0.0
CTAS,0.0
CSGP,0.0
CPRT,0.0
INCY,0.0
IDXX,0.0
HSIC,0.0
INSM,0.0
HAS,0.0
KHC,0.0
FAST,0.0
FANG,0.0
GFS,0.0
ROST,0.0
PAYX,0.0
MXIM,0.0
TRI,0.0
SNDK,0.0
SOLS,0.0
TCOM,0.0
SIRI,0.0
ROP,0.0
SGEN,0.0
ODFL,0.0
MYL,0.0
NTAP,0.0
NLOK,0.0
STX,-0.0004080789694148427
EXPE,-0.0007541673765086192
LIN,-0.001414953582040218
LCID,-0.00232882136060871
APP,-0.0024220315331243184
SWKS,-0.002577623560182388
RIVN,-0.003002866895079978
HON,-0.0037703230708211366
ILMN,-0.004430048129423347
MRNA,-0.004609132325046897
OKTA,-0.0053771852437595755
SPLK,-0.005486770070998673
MSFT,-0.00553166981931771
DASH,-0.005616825135334458
WDC,-0.0060687677863824445
NTES,-0.006541123897251042
ABNB,-0.006714348967131045
SMCI,-0.00799359685884468
AMZN,-0.008027707251426888
ON,-0.008064821944108942
BIIB,-0.0094298905858388
ARM,-0.009627265641907289
MDB,-0.010155339055209064
TSLA,-0.010897729389278124
TEAM,-0.01114100068590133
SBUX,-0.011141567635149707
DDOG,-0.011254936591543524
ZS,-0.012162895777532703
ENPH,-0.015665739650504405
PDD,-0.020777785944899124
EXC,-0.022796827713429824
INTU,-0.027687272850696495
AMGN,-0.03251009804453629
CHTR,-0.03465964295585151
CSX,-0.034770734358467094
ADBE,-0.037842761508115025
PYPL,-0.04402362031075409
INTC,-0.044562407344091205
BKNG,-0.04606109740606084
REGN,-0.06971956935979995
LULU,-0.07219579729297398
