symbol,net_pnl
VZ,0.08473920173100347
NEE,0.07903070981082436
MDLZ,0.03936545044892097
AAPL,0.03747159030883954
AIG,0.03529545680239999
C,0.033266509660093826
CI,0.032586116055048124
KMB,0.03256565835566515
WMB,0.02945039097725694
ALL,0.029085516724845797
AZO,0.028541191445993055
FISV,0.027318223827116427
CHTR,0.02700204245585068
DG,0.026457161987324337
NOC,0.026028754136252368
BIIB,0.025944656576854404
AON,0.02558593591584835
CTAS,0.025464757670764126
ABT,0.024705413442108384
MNST,0.02201120352911383
MO,0.021635285081110074
VRSK,0.021391601810196052
PAYX,0.021071460556167716
FICO,0.020996387118852246
PM,0.019163268028337996
XOM,0.018496329394194797
PG,0.01827862073087712
BX,0.01769803555432875
MA,0.016397459598572625
ITW,0.016220388940548433
BDX,0.016193573692825723
CSX,0.015554465236025522
ADBE,0.015136709576667585
BA,0.0150901313296866
EPAM,0.014967437693074815
WM,0.014923493340719352
AMT,0.014745905459831267
TJX,0.014296278760171801
JPM,0.01370164049049902
VRTX,0.013282622500238116
HON,0.01315065396396582
COST,0.012765499218338437
ATVI,0.011912489463106945
EQIX,0.011415561866221356
CME,0.011333544592051159
MSFT,0.011252812655472143
MCO,0.011243196714745187
SYK,0.01109953523473696
TMO,0.010112286135378411
ABBV,0.009600512905873854
BRO,0.008896372867411979
WELL,0.008860429739170301
CNC,0.008668884911765264
CMI,0.008667167665391768
TRV,0.008209249363223522
LLY,0.008115985892636618
TGT,0.007993333496338646
DPZ,0.007974063240630264
BSX,0.007910679030313927
OXY,0.007732894886983361
PCAR,0.007641155310169894
PYPL,0.007171216241848398
VST,0.007063903607873485
DE,0.006964087724588608
CB,0.006712012906936361
CAT,0.006645501695659987
PLD,0.0064559559691472436
WBA,0.006322304346631129
RTX,0.005989531729420827
MPC,0.0056375914662317225
PSX,0.005399766371581509
CMCSA,0.005219043361756208
WFC,0.005121562829421447
HES,0.005046689651521381
NSC,0.00478663878694858
CAH,0.004392055484924408
TMUS,0.0041666937782361664
ETN,0.003975954064814974
ECL,0.00393830265335569
XYZ,0.0038755062894892584
A,0.0032116978152537355
ADM,0.0031868730452064
ORLY,0.0030849672297390976
FANG,0.0030414402257587844
YUM,0.002737903869874239
VICI,0.002460817249826518
MCD,0.0024602074349792287
KR,0.002430817916877867
DUK,0.002350405948975939
USB,0.0023371301908289123
EMR,0.0021363407899857795
CTSH,0.0019506306881532862
AJG,0.0017914542099206569
EQT,0.0014825216508482799
LHX,0.001156578442692642
CCI,0.0009749081741058973
UPS,0.0009139116596487679
EXC,0.0008000070994594738
CSCO,0.0007953157881912495
SPGI,0.000400147464948032
GPN,0.0002643868778810924
AEP,0.00026094959515654597
SNPS,1.210130363250763e-05
BKNG,0.0
APA,0.0
APH,0.0
APP,0.0
APTV,0.0
ARE,0.0
ARES,0.0
BLDR,0.0
BLK,0.0
BLL,0.0
BR,0.0
BWA,0.0
BXP,0.0
CAG,0.0
CARR,0.0
CASY,0.0
CBOE,0.0
CBRE,0.0
CCL,0.0
CDAY,0.0
CDNS,0.0
CDW,0.0
CE,0.0
CEG,0.0
CERN,0.0
CF,0.0
CFG,0.0
CHD,0.0
CHRW,0.0
CSGP,0.0
CIEN,0.0
CINF,0.0
CLX,0.0
CMA,0.0
CMS,0.0
CNP,0.0
COF,0.0
COG,0.0
VRSN,0.0
VRT,0.0
VTR,0.0
VTRS,0.0
COHR,0.0
COIN,0.0
COO,0.0
CPAY,0.0
CPB,0.0
CPT,0.0
CRL,0.0
CRM,0.0
CRWD,0.0
CTXS,0.0
CVNA,0.0
CZR,0.0
DAL,0.0
DASH,0.0
DAY,0.0
DD,0.0
VFC,0.0
VIAC,0.0
VLO,0.0
VLTO,0.0
VMC,0.0
VNO,0.0
DFS,0.0
DGX,0.0
DHI,0.0
DISCA,0.0
DISCK,0.0
DISH,0.0
DLR,0.0
DLTR,0.0
DOC,0.0
CTLT,0.0
CTRA,0.0
CTVA,0.0
DRE,0.0
DRI,0.0
DTE,0.0
DVA,0.0
DXC,0.0
DXCM,0.0
EBAY,0.0
ED,0.0
EFX,0.0
DDOG,0.0
DECK,0.0
DELL,0.0
EG,0.0
EIX,0.0
EL,0.0
EME,0.0
EMN,0.0
ENPH,0.0
EOG,0.0
EQR,0.0
ERIE,0.0
ES,0.0
DOV,0.0
FOXA,0.0
FRC,0.0
ETR,0.0
ETSY,0.0
EVRG,0.0
EW,0.0
EXPD,0.0
EXPE,0.0
EXR,0.0
F,0.0
FB,0.0
FBHS,0.0
FCX,0.0
GLW,0.0
GM,0.0
GNRC,0.0
FDS,0.0
FDX,0.0
FE,0.0
FFIV,0.0
FI,0.0
FITB,0.0
FIX,0.0
FLIR,0.0
FLT,0.0
FMC,0.0
FOX,0.0
UBER,0.0
UDR,0.0
UHS,0.0
UNM,0.0
URI,0.0
FRT,0.0
FSLR,0.0
FTNT,0.0
FTV,0.0
GDDY,0.0
GE,0.0
GEHC,0.0
GEN,0.0
GEV,0.0
GL,0.0
GRMN,0.0
GS,0.0
GWW,0.0
HAL,0.0
HAS,0.0
HBAN,0.0
HBI,0.0
HFC,0.0
TWTR,0.0
TXN,0.0
TXT,0.0
TYL,0.0
UA,0.0
ESS,0.0
UAL,0.0
HOLX,0.0
SPY,0.0
HOOD,0.0
HPE,0.0
HPQ,0.0
HRL,0.0
HSIC,0.0
HST,0.0
HUBB,0.0
HWM,0.0
IBKR,0.0
GOOG,0.0
GOOGL,0.0
GPC,0.0
SMCI,0.0
GPS,0.0
KEY,0.0
IDXX,0.0
IEX,0.0
IFF,0.0
ILMN,0.0
INCY,0.0
INFO,0.0
INTC,0.0
INVH,0.0
IP,0.0
IPG,0.0
IPGP,0.0
IQV,0.0
IR,0.0
HIG,0.0
HII,0.0
L,0.0
LB,0.0
LDOS,0.0
LEG,0.0
IRM,0.0
ISRG,0.0
ADI,0.0
IVZ,0.0
J,0.0
JBHT,0.0
JBL,0.0
JCI,0.0
JKHY,0.0
JNPR,0.0
ADSK,0.0
K,0.0
TRMB,0.0
TROW,0.0
AEE,0.0
TSCO,0.0
TSLA,0.0
TSN,0.0
TTD,0.0
TTWO,0.0
KEYS,0.0
KIM,0.0
KKR,0.0
KLAC,0.0
AES,0.0
KMX,0.0
UAA,0.0
KSU,0.0
LITE,0.0
LKQ,0.0
AFL,0.0
LNC,0.0
LNT,0.0
LRCX,0.0
LULU,0.0
LUMN,0.0
LUV,0.0
AIZ,0.0
TKO,0.0
AKAM,0.0
ALB,0.0
TPL,0.0
TPR,0.0
TRGP,0.0
LW,0.0
LYB,0.0
LYV,0.0
ALGN,0.0
MAA,0.0
MAR,0.0
MAS,0.0
ALK,0.0
MCHP,0.0
WRK,0.0
AMTM,0.0
META,0.0
LEN,0.0
LH,0.0
AMZN,0.0
LII,0.0
NDAQ,0.0
NDSN,0.0
ANET,0.0
MGM,0.0
MHK,0.0
MKC,0.0
MKTX,0.0
ANSS,0.0
ANTM,0.0
MOH,0.0
MOS,0.0
AOS,0.0
MPWR,0.0
MRNA,0.0
MRO,0.0
LVS,0.0
SYY,0.0
TAP,0.0
TDY,0.0
TECH,0.0
TEL,0.0
TER,0.0
TFX,0.0
WAB,0.0
MS,0.0
MSCI,0.0
WAT,0.0
MTCH,0.0
MTD,0.0
MU,0.0
MXIM,0.0
NCLH,0.0
WBD,0.0
NOV,0.0
NRG,0.0
WDAY,0.0
NTAP,0.0
NTRS,0.0
NUE,0.0
NVDA,0.0
NVR,0.0
NWL,0.0
NWS,0.0
SW,0.0
SWK,0.0
SWKS,0.0
SYF,0.0
WDC,0.0
NXPI,0.0
ODFL,0.0
OGN,0.0
OKE,0.0
OMC,0.0
ON,0.0
ORCL,0.0
WEC,0.0
OTIS,0.0
ATO,0.0
PANW,0.0
PAYC,0.0
AVB,0.0
NI,0.0
NLOK,0.0
NLSN,0.0
AVGO,0.0
PTC,0.0
PVH,0.0
PBCT,0.0
AVY,0.0
PEAK,0.0
PEG,0.0
PENN,0.0
PFG,0.0
AWK,0.0
PH,0.0
PHM,0.0
PKG,0.0
PKI,0.0
AXON,0.0
NWSA,0.0
RJF,0.0
RL,0.0
RMD,0.0
ROK,0.0
PLTR,0.0
AXP,0.0
PNC,0.0
PNR,0.0
PNW,0.0
PODD,0.0
POOL,0.0
PPG,0.0
PPL,0.0
PRGO,0.0
PRU,0.0
PSKY,0.0
SBNY,0.0
SEDG,0.0
SEE,0.0
SIVB,0.0
SJM,0.0
PWR,0.0
PXD,0.0
ALLE,0.0
Q,0.0
QCOM,0.0
QRVO,0.0
RCL,0.0
RE,0.0
REG,0.0
RF,0.0
RHI,0.0
SNA,0.0
SNDK,0.0
ALXN,0.0
SOLS,0.0
SOLV,0.0
SPG,0.0
AMAT,0.0
STE,0.0
STLD,0.0
STT,0.0
STX,0.0
ROL,0.0
AMCR,0.0
RVTY,0.0
SATS,0.0
SBAC,0.0
AMD,0.0
WHR,0.0
WLTW,0.0
AME,0.0
AMP,0.0
WRB,0.0
ZBRA,0.0
ACGL,0.0
BALL,0.0
ABNB,0.0
ABMD,0.0
ABC,0.0
BBWI,0.0
BEN,0.0
AAP,0.0
AAL,0.0
WSM,0.0
WST,0.0
WTW,0.0
WU,0.0
WY,0.0
WYNN,0.0
XLNX,0.0
BF.B,0.0
XRAY,0.0
XYL,0.0
BG,0.0
BIO,0.0
ZBH,0.0
BK,0.0
SLB,0.0
ZION,0.0
KMI,-0.00011795641438268038
ZTS,-0.00017472988349768526
CL,-0.0002508919675293252
BBY,-0.0006379743344276091
FAST,-0.0009321918076272121
FIS,-0.00117487795147183
SRE,-0.0012359093605908429
BRK.B,-0.0014363057670596314
HLT,-0.0014490392673750273
KHC,-0.0015016271870253789
TFC,-0.0015389822453944653
COR,-0.0018016357884459123
MRSH,-0.0019383469867879084
MTB,-0.0029266516121984167
MET,-0.0032661749738748325
MLM,-0.0033569885305608075
WMT,-0.0034775231314800423
MMC,-0.00357742478019886
SBUX,-0.0038708894050211115
V,-0.004138334035720354
JNJ,-0.004471749740509012
PGR,-0.004513250937464478
PEP,-0.004517802729382407
MDT,-0.005749855981937583
ACN,-0.006475814591020619
HCA,-0.006679797297490301
HUM,-0.006779404889245032
PFE,-0.007401647033166346
DHR,-0.007725338943634544
LOW,-0.0077990127219009
BAC,-0.0078276210029325
IBM,-0.007859114239112189
ROST,-0.008532445136117808
RSG,-0.008716413130350733
MSI,-0.00906413972424895
TT,-0.00922023025360916
MRK,-0.009226422267717527
HD,-0.009523956945132384
GD,-0.009623266101644632
NFLX,-0.00962624625698852
GIS,-0.009738148812956201
GILD,-0.00999787007050092
COP,-0.011388312884347256
UNP,-0.011742693254981153
PSA,-0.011911646440532945
BMY,-0.012393432908645873
UNH,-0.01247307009291968
SCHW,-0.012782415901631308
DVN,-0.01355049312867861
EXE,-0.013625428268173437
BAX,-0.014156720971513874
CRH,-0.014438956079549354
CVX,-0.01476369410649119
XEL,-0.015573824516006052
NKE,-0.016341750330494217
CPRT,-0.016676291008932618
PCG,-0.017070156905161168
O,-0.018493002677851412
ADP,-0.018740491962101063
LIN,-0.018894929881341678
SO,-0.019384154897935744
MCK,-0.01945410668819064
CMG,-0.021705643905355967
DIS,-0.02347938210750269
ROP,-0.024189305106347054
T,-0.02469444615258551
ULTA,-0.025375391508440273
LMT,-0.02585309223810294
TDG,-0.026926209202526332
STZ,-0.02706436013610672
NOW,-0.027887418130378275
AMGN,-0.02798393944263368
BKR,-0.02977557686847952
KVUE,-0.030202679876510652
INTU,-0.031379070945759265
HSY,-0.03310707058625683
PARA,-0.035652476958777005
APD,-0.04226089541024848
NEM,-0.044314742552451145
SHW,-0.04666540785362263
D,-0.048802470600859425
APO,-0.05178434807724759
MMM,-0.05293656803286576
ELV,-0.05403266071912115
DOW,-0.056133632052849824
KDP,-0.0587131030710617
KO,-0.06096954964549759
ICE,-0.06760107487778905
EA,-0.06890970095215734
CVS,-0.07594739495055866
IT,-0.10349283526317392
REGN,-0.1113637851571384
