symbol,net_pnl
LRCX,0.02745660541582592
MRNA,0.022596440759250838
GOOG,0.01992623961939953
ASML,0.01915081642821374
ZM,0.01900882586861221
GOOGL,0.018305234931436126
PLTR,0.01774374701059772
VRTX,0.017103193290248682
TMUS,0.015823205480182546
KLAC,0.0145457565065788
NFLX,0.01302679795935421
INTC,0.012626159573672928
SMCI,0.012003094918982642
REGN,0.011898006492107947
WDC,0.011670007162994952
CHTR,0.011276213052524192
AVGO,0.010636530328263819
DASH,0.010608180886847396
ADBE,0.010033390841262091
IDXX,0.009944582546706776
STX,0.009700725866094849
PYPL,0.009666498279275442
ALGN,0.009429563445147528
SWKS,0.009213038263965358
AMAT,0.008775028847268907
AXON,0.008670241981256158
DOCU,0.008616081898084639
NVDA,0.008309400691499755
CDNS,0.008119207156530514
WBA,0.0076125191668826985
MSFT,0.007579295321238772
CEG,0.007489340068059213
AMD,0.007449479549682666
DLTR,0.007423096853057211
MTCH,0.0073651310631231955
PTON,0.006984044003521886
MELI,0.006247602006857236
AMZN,0.006128373319839252
JD,0.006070782250109953
MPWR,0.005996957499727685
TEAM,0.005836333702626654
META,0.005131500018390015
MCHP,0.005103343730733934
MSTR,0.0047038274224452375
MDB,0.004658720243921806
INTU,0.004621195453457818
APP,0.0046031985672702344
TRI,0.004593011024665144
TTWO,0.004539152235690624
TCOM,0.004369445527210954
MRVL,0.004184992591793156
ZS,0.00417871534553071
LCID,0.003696941628764806
ROST,0.0033722333936790807
ODFL,0.0032619903655955722
SHOP,0.003066943585021651
SPLK,0.0028658436564047945
LULU,0.0025090320612937487
MXIM,0.00220802346629313
COST,0.0019471096641882645
ENPH,0.0018817260228569921
EBAY,0.0017591794819448825
CDW,0.0016941737197509743
SNDK,0.0016736884245611655
NTAP,0.001543186631481546
WMT,0.0012086537423899681
AAPL,0.0012052387344139621
CCEP,0.0010767871684880313
BKNG,0.001022458366478538
ALNY,0.000951825751525032
RIVN,0.0009296282863017375
FER,0.0008196665951620425
VRSK,0.0007310799067983764
SGEN,0.00040224673865039994
WDAY,0.0003626500226012204
AAL,0.00035445323932242024
ATVI,0.00031445661749288117
ORLY,0.0002942319856662321
CSCO,0.00021812782252579734
XLNX,0.0001810470611081165
ADI,0.00014595559136105433
GILD,7.966365637692308e-05
VSNT,0.0
HSIC,0.0
CELG,0.0
QQQ,0.0
SOLS,0.0
JBHT,0.0
WYNN,0.0
MYL,0.0
NLOK,0.0
HAS,0.0
TTD,-7.438147169411446e-05
ISRG,-0.00013344199831472796
OKTA,-0.00042448800207539426
ROP,-0.0005728831978128114
CSGP,-0.0006380057183329796
EXPE,-0.0007672004844767752
DXCM,-0.0009413410826400036
CMCSA,-0.0011106287267337997
WTW,-0.001269283897548089
ILMN,-0.0013659515613512385
LIN,-0.001764824921851008
MU,-0.0018327937515896639
AEP,-0.0019170204356268625
CTSH,-0.0020148645029142535
ADP,-0.0020697815484152886
INSM,-0.0023523341191682033
FOXA,-0.00251922888026685
CHKP,-0.0027987809916642475
HON,-0.0031021125984185965
ALXN,-0.003266813340600962
PAYX,-0.0033130180370775242
AMGN,-0.004025081499695594
FOX,-0.0040956982210107185
CERN,-0.004150932511878039
CTAS,-0.004560607944499994
AZN,-0.004582913907674249
GFS,-0.004663037191611358
CTXS,-0.004709337576427945
ANSS,-0.00479578185476634
BIIB,-0.004921400782927695
XEL,-0.004932257207905441
CRWD,-0.00504869105933649
BMRN,-0.005096163293996265
GEHC,-0.005247314192339801
SBUX,-0.005536682967146985
VRSN,-0.005669819128905649
WBD,-0.005753926075069721
UAL,-0.006008154702944169
INCY,-0.006060589705095172
MNST,-0.006177043990088128
FANG,-0.006258598035080489
LBTYK,-0.0064104283113547685
SNPS,-0.006477619366504433
TSLA,-0.006562803249668514
BKR,-0.006624336435357541
KHC,-0.006675469997419612
ARM,-0.006923320282749003
BIDU,-0.007303677150356828
ON,-0.007429188580303115
PEP,-0.007453681521398842
FTNT,-0.007483028550329305
SIRI,-0.007714741925448426
FAST,-0.007918152414384826
LBTYA,-0.008423172739496432
DDOG,-0.008719156561417252
TXN,-0.00888888898380148
NXPI,-0.009561504009396335
EXC,-0.010022906314819457
CPRT,-0.010129723501506996
EA,-0.01035491304244931
ULTA,-0.010803221779703106
ABNB,-0.012009836925202895
KDP,-0.012912970661819631
FI,-0.012986632703429665
QCOM,-0.013099004569942022
MAR,-0.014362812345396566
CSX,-0.014919598697339182
ADSK,-0.015188191687423915
MDLZ,-0.015213695743309635
PDD,-0.01568907397170073
PCAR,-0.016083315897513988
PANW,-0.025730558277503975
NTES,-0.025889128712392368
