symbol,net_pnl
REGN,0.07039601808755769
SGEN,0.0489282108608539
AMAT,0.046144751731834376
CTXS,0.04358409762833446
TSLA,0.041822006012762064
AMD,0.03607012985585756
MRVL,0.03520729186795221
ASML,0.03342115243467606
GILD,0.03331988122913798
LRCX,0.032601044567418365
GOOG,0.03103880554730414
GOOGL,0.03073653337393354
ISRG,0.030191020556577238
ALGN,0.029929382205251022
KLAC,0.02799052974389612
CDNS,0.024555090469008733
MRNA,0.02250728765883444
DXCM,0.021478758210350304
APP,0.021220399716685906
MU,0.021007689339765264
MELI,0.01976452978566735
ORLY,0.01964385556346886
QCOM,0.018431562913564112
ARM,0.0180688012409895
STX,0.017969059697708303
VRTX,0.01711004256793088
AVGO,0.016844689285144782
CPRT,0.016829017129255573
IDXX,0.01665756774751886
XLNX,0.014724525129581927
SNPS,0.014272458279005616
AAPL,0.014272069949359225
ZM,0.013916150077713968
WDC,0.013636530172407395
NVDA,0.013402996451613577
ROST,0.013226609445647058
INTC,0.013059238422381334
NFLX,0.013041352506658336
CRWD,0.012337800581806868
AMGN,0.01214577771773061
DASH,0.011929779435308391
NXPI,0.011518235919356329
AEP,0.011342896575901673
CSCO,0.011341640309897177
ANSS,0.011287743876172717
ADI,0.010655819476293956
PDD,0.010513101869261668
CEG,0.010477647509697614
COST,0.010357247100574892
BKNG,0.010251412746710356
META,0.010021209176337299
INCY,0.009683520910299337
SWKS,0.008950380010467674
MSFT,0.008120249917907288
BKR,0.007589856184120214
FOX,0.007286602407961304
FOXA,0.0071867715609786244
MPWR,0.006973156518136581
SHOP,0.0063465199879622495
MXIM,0.005989985098787274
TTWO,0.005830340665248511
AMZN,0.005692680257083345
ALXN,0.005664270918729003
EA,0.005427757394846411
CCEP,0.005094119989639818
MNST,0.004869296281475933
ADP,0.004513442581334458
BMRN,0.004151026938711482
LULU,0.003930595270101516
CSGP,0.0036417958763411487
KDP,0.0033768331430993714
FAST,0.003356448013320348
CDW,0.0033027372721278966
WYNN,0.003032245402418299
SNDK,0.0028730275536268837
LBTYA,0.002640874141684691
UAL,0.002528099379158039
MAR,0.0025142186986060176
CELG,0.0023088260902960527
BIDU,0.002195690578127176
ATVI,0.0020405957658174135
LBTYK,0.0018681433207556586
CERN,0.0017432616384897856
CTSH,0.0016892019946525138
MSTR,0.0016491635167270099
PLTR,0.0012758365450298687
INSM,0.0012396685087932514
JBHT,0.001022629122893482
TMUS,0.0009921961583440192
CSX,0.000880397285670095
NTAP,0.0007299928519410722
BIIB,0.0006198808824153631
GEHC,0.00045789776630132467
VRSN,0.0003670251311605643
TXN,0.0002858060399570623
WMT,0.0002714718948969751
EXPE,0.00024799399045580744
LIN,5.358357270001376e-05
MYL,4.909077362481465e-05
SOLS,0.0
QQQ,0.0
NLOK,0.0
VSNT,0.0
AZN,-2.5900965659545747e-05
PAYX,-0.000412835764529832
DLTR,-0.0004520836169695284
FER,-0.0006246321348816314
MDLZ,-0.0007255423393732637
ALNY,-0.0009720171939615543
HSIC,-0.0010181371829478092
CHKP,-0.0015663701005550325
HAS,-0.0016042982892839816
WTW,-0.001669945858096085
EBAY,-0.0017110176428554824
TCOM,-0.002047330076069076
PTON,-0.0022574914159332006
WDAY,-0.002318977683332622
KHC,-0.0025038504224725966
ILMN,-0.002781399820451301
MCHP,-0.0028305511073397215
ADSK,-0.0030943824146798735
SMCI,-0.003236352725508362
WBD,-0.0032986573003161205
RIVN,-0.0033502002087551956
ADBE,-0.00345318776190137
AAL,-0.003477557625805299
CMCSA,-0.003862225031247485
TRI,-0.004034381798699642
HON,-0.004038368571841476
ULTA,-0.004174164810773643
ROP,-0.005079812436488126
VRSK,-0.005889510514911293
JD,-0.005906510913075729
EXC,-0.00600989806669601
SIRI,-0.006550672260178579
XEL,-0.006771356947647051
SPLK,-0.007105026776890159
FTNT,-0.007319993137265245
PYPL,-0.007510468429363678
ENPH,-0.00794620190813578
LCID,-0.007991476805325744
PEP,-0.00800380916240246
OKTA,-0.008473510312060818
TTD,-0.008503911357382992
INTU,-0.008684032310676462
GFS,-0.008812638289121311
ON,-0.008845810775959953
MTCH,-0.00890969150153171
ODFL,-0.008959660978577557
TEAM,-0.008994832701510535
FANG,-0.009079524191436239
AXON,-0.009323171692932807
CHTR,-0.009636939216573734
MDB,-0.010922522872660934
NTES,-0.012203136692082058
DOCU,-0.014164202747095421
CTAS,-0.014362722968748966
SBUX,-0.015444467643701141
PCAR,-0.019817702818388547
DDOG,-0.02322142504297919
WBA,-0.024070985189068916
ZS,-0.024801821112303897
ABNB,-0.026490488188317507
PANW,-0.026710772377412418
FI,-0.08174836179058444
