symbol,net_pnl
AVGO,0.1401648216819976
LRCX,0.14000627110441935
NFLX,0.10770622340553976
JD,0.08379433191519989
ZM,0.08222598443094334
GOOGL,0.08137807305233452
GOOG,0.07775544475995665
MRNA,0.07477587533809649
AMAT,0.07114371856977245
TMUS,0.06072806530269879
PLTR,0.05410223627522284
STX,0.05348522795755529
WDC,0.05268687586078215
VRTX,0.05169422431434507
MELI,0.045087267123373555
ASML,0.044515932300667596
MU,0.04086232329916674
INTC,0.03748878147496403
GILD,0.0365277874722465
NVDA,0.03644849423594352
COST,0.034340226853962416
DASH,0.03293745571647584
AMZN,0.032409962530263715
CRWD,0.029020282476026723
REGN,0.028720524153467437
BKNG,0.02806646788304949
DOCU,0.025722118838454846
KLAC,0.023603422662335536
ADBE,0.020908645584963248
INTU,0.019554072119116958
TSLA,0.015723215236399475
BIDU,0.013113907738841715
NXPI,0.012009145101681256
ALXN,0.010076814628068588
QCOM,0.006910967323881912
CSCO,0.006078992885381329
META,0.006024446310655538
MSFT,0.005300834788057507
TXN,0.004626118956352597
SNDK,0.0036111660870823195
XLNX,0.0034820199059220516
CEG,0.0025715595470995364
ADP,0.002457002868369675
MAR,0.0013568347044494143
LCID,0.001206621249008663
WMT,0.0008687469705166998
XEL,0.0
TTWO,0.0
PCAR,0.0
TEAM,0.0
ULTA,0.0
VRSK,0.0
VRSN,0.0
ADSK,0.0
ALNY,0.0
AEP,0.0
ANSS,0.0
BMRN,0.0
BKR,0.0
ALGN,0.0
CHKP,0.0
QQQ,0.0
AAL,0.0
CERN,0.0
TTD,0.0
CELG,0.0
CDW,0.0
AXON,0.0
CCEP,0.0
WYNN,0.0
WTW,0.0
WBA,0.0
UAL,0.0
JBHT,0.0
ILMN,0.0
GFS,0.0
LBTYA,0.0
FANG,0.0
FAST,0.0
EXC,0.0
KHC,0.0
INCY,0.0
HAS,0.0
IDXX,0.0
FOXA,0.0
MPWR,0.0
MNST,0.0
KDP,0.0
GEHC,0.0
FER,0.0
FTNT,0.0
FI,0.0
FOX,0.0
EA,0.0
DLTR,0.0
CTXS,0.0
CTSH,0.0
EXPE,0.0
CSGP,0.0
CTAS,0.0
CPRT,0.0
VSNT,0.0
TCOM,0.0
SWKS,0.0
SOLS,0.0
ROST,0.0
ROP,0.0
RIVN,0.0
NLOK,0.0
OKTA,0.0
NTAP,0.0
NTES,0.0
ODFL,0.0
TRI,0.0
INSM,0.0
LBTYK,0.0
MDB,0.0
HSIC,0.0
SIRI,0.0
SGEN,0.0
PAYX,0.0
ORLY,0.0
MYL,0.0
MXIM,0.0
MTCH,0.0
BIIB,-0.0008136359672906639
SPLK,-0.0011706554614734576
PDD,-0.001463824909521152
CMCSA,-0.0018186866136692915
AZN,-0.0019317989445501913
CDNS,-0.0029198318173979556
WDAY,-0.0033196694273041074
DXCM,-0.00334264042354083
ABNB,-0.0033534339800081474
MSTR,-0.0034872024008124254
MCHP,-0.004330732991838631
CSX,-0.005237138663710938
SHOP,-0.006851250212314344
WBD,-0.0074962384402178
LIN,-0.00929343460772376
SBUX,-0.01005377161527401
ON,-0.011235297159105297
ADI,-0.011829252828827706
SMCI,-0.012038562089173881
LULU,-0.012314127924977358
ARM,-0.012617759886488304
PYPL,-0.012699642627618562
AAPL,-0.014041505870814599
ATVI,-0.014793088903190458
AMD,-0.01634668801031412
ENPH,-0.016536964167227584
SNPS,-0.01784531871911307
PEP,-0.017936899672928948
MDLZ,-0.018088544296986347
PTON,-0.01863808428394969
HON,-0.01922448103488723
AMGN,-0.022126537882023255
APP,-0.022951286881678024
ISRG,-0.025007323564097204
DDOG,-0.02889020143522689
MRVL,-0.03293937246066265
ZS,-0.03419029311175359
EBAY,-0.03672616053842522
CHTR,-0.03850004386125849
PANW,-0.10163762541111979
