symbol,net_pnl
TQQQ,0.3488695227491497
SOXL,0.3312672481943856
SMH,0.23878596000822258
GLD,0.2034636398759623
QQQ,0.12854568785599862
XLK,0.10730757415585838
IWM,0.10360024063748197
XLI,0.08326329515432797
XLF,0.07060635455015936
SPY,0.056629342671802675
XLE,0.012844726872662422
XLP,0.011480675543143571
XLU,0.008338767064723585
HYG,0.0011594271530057478
USO,0.0
BIL,0.0
XLRE,0.0
SOXS,0.0
SHY,0.0
XLC,0.0
XLB,0.0
TLT,-0.0010345927772009353
DIA,-0.0030402952611815618
ARKK,-0.014112832408931186
XLY,-0.019744424805802237
XLV,-0.03017585146458695
SQQQ,-0.6982564712798945
