symbol,net_pnl
SOXL,0.6436423831257745
TQQQ,0.35689996874454694
SMH,0.25567075238791487
GLD,0.21628795181916458
QQQ,0.1426675789191798
XLK,0.060620967639089085
IWM,0.03561647563043063
USO,0.03176792725955042
SPY,0.031336841710640946
XLI,0.014508345264808323
TLT,0.008861397947560475
HYG,0.007683955826387176
XLY,0.0038619296475311256
XLRE,0.0
SHY,0.0
BIL,0.0
XLP,0.0
SOXS,0.0
XLC,0.0
XLB,0.0
DIA,-0.007123284520403347
XLU,-0.008646123565626728
XLE,-0.01069439504234116
XLF,-0.028692369499603132
XLV,-0.03180607596930273
ARKK,-0.07739138581647446
SQQQ,-0.29756011138945415
