symbol,net_pnl
LRCX,0.189992888067194
MRNA,0.18273832462513204
NVDA,0.13944653932567075
AMD,0.13085961658773254
MU,0.11868801560972245
ZM,0.10978778111555716
PLTR,0.10478144845386039
WDC,0.10117913065780582
NFLX,0.09951941468705475
STX,0.09821416319104842
JD,0.09295751061232617
INTC,0.087352752757072
WBD,0.08233781359176456
GOOGL,0.06329257333986332
AMAT,0.0568457582626586
GOOG,0.04908186834330326
PDD,0.047658154552195436
DASH,0.04107534158604418
ASML,0.03822483123888297
AMZN,0.03565655531420476
APP,0.034980896911123396
TMUS,0.034323607410351
SHOP,0.03404059133081393
MELI,0.031884316574902656
VRTX,0.03129994585848455
CRWD,0.031091301063685274
GILD,0.031003082432566824
BKNG,0.030139073786128148
META,0.02860458906586939
TSLA,0.024233629331063274
PYPL,0.01756338234678136
INTU,0.017469878711446497
KLAC,0.017036305825499757
ARM,0.015926112187418365
DOCU,0.013545314471835112
DXCM,0.012489043169391086
ADP,0.010494356925223677
CSCO,0.010344051328205197
ALXN,0.009885562374007048
EBAY,0.008436581270308482
BIIB,0.008245507792764534
MSTR,0.0077027750518326955
NXPI,0.006867907863429873
ADBE,0.006262997350820226
COST,0.005507726400512029
XLNX,0.004662956048039753
WDAY,0.004625741542300206
PEP,0.003920569888268481
AAPL,0.0019240235414707764
MDB,0.0010493743589383312
REGN,0.0010024979782368689
PCAR,0.0
SIRI,0.0
ALNY,0.0
AEP,0.0
AXON,0.0
ANSS,0.0
ALGN,0.0
ADSK,0.0
AAL,0.0
CHKP,0.0
QQQ,0.0
CCEP,0.0
BMRN,0.0
CDW,0.0
AZN,0.0
CERN,0.0
CELG,0.0
BKR,0.0
VSNT,0.0
WBA,0.0
VRSK,0.0
UAL,0.0
RIVN,0.0
ROP,0.0
SGEN,0.0
GFS,0.0
FANG,0.0
KHC,0.0
ILMN,0.0
INSM,0.0
FOX,0.0
FAST,0.0
FI,0.0
FOXA,0.0
MPWR,0.0
MNST,0.0
FTNT,0.0
CTXS,0.0
FER,0.0
EXC,0.0
EXPE,0.0
DLTR,0.0
GEHC,0.0
EA,0.0
CSGP,0.0
CTSH,0.0
CTAS,0.0
CSX,0.0
CPRT,0.0
CMCSA,0.0
WYNN,0.0
WTW,0.0
XEL,0.0
WMT,0.0
TRI,0.0
TEAM,0.0
VRSN,0.0
ULTA,0.0
SWKS,0.0
TTWO,0.0
LBTYK,0.0
LIN,0.0
LBTYA,0.0
KDP,0.0
MAR,0.0
JBHT,0.0
HSIC,0.0
IDXX,0.0
HAS,0.0
INCY,0.0
ODFL,0.0
NTES,0.0
PAYX,0.0
OKTA,0.0
ROST,0.0
ORLY,0.0
ON,0.0
NLOK,0.0
NTAP,0.0
MYL,0.0
MXIM,0.0
MTCH,0.0
SPLK,0.0
TCOM,0.0
TTD,0.0
SNDK,0.0
SOLS,0.0
CHTR,-0.0004987048615001248
CDNS,-0.0010531160835056837
MSFT,-0.0024216550748130156
SBUX,-0.003969339390194219
HON,-0.004004047381044237
AMGN,-0.00842609342188306
ATVI,-0.009323221710811872
ABNB,-0.011154761901073309
MCHP,-0.012558694510196058
TXN,-0.013175831110728564
MDLZ,-0.015740412205646093
CEG,-0.01754519333712171
SNPS,-0.018117306909340627
BIDU,-0.027430511021657028
ENPH,-0.03457311602838526
DDOG,-0.03478191567967721
LCID,-0.036272615911115365
PTON,-0.03739484532275722
ADI,-0.03772204945964047
AVGO,-0.03775491286133876
LULU,-0.03847810425827632
QCOM,-0.03858064560877053
SMCI,-0.04204490825918101
ZS,-0.04967870959756889
MRVL,-0.07677158552008827
ISRG,-0.09446570680663814
PANW,-0.13737137721238668
