symbol,net_pnl
TSLA,0.5620816525243578
PLTR,0.3787038187755632
ZM,0.3484327209491298
WDC,0.33396783221363296
MRNA,0.3333260355312345
MU,0.2736253022783232
MELI,0.19984729892040873
META,0.15957805385070403
CRWD,0.1256042063419975
PDD,0.11579372665409372
NFLX,0.10578708225633097
LRCX,0.09132414927299759
ASML,0.07943484692455366
INTU,0.07633047605429273
PANW,0.07050534735161469
AMAT,0.07044080701798143
STX,0.0689677317380953
AMD,0.06264610955484286
WBD,0.05998455216204368
DOCU,0.05621746865757421
NVDA,0.05580577972357945
ADBE,0.05126729842680637
KLAC,0.04220511652282769
AAPL,0.03664032221694502
DASH,0.03433984409342671
SBUX,0.026133773288660317
SNDK,0.02473578221969777
VRTX,0.02275095447260657
GOOG,0.021887181808831906
TMUS,0.017898510254918558
AMGN,0.017039861864589202
XLNX,0.015452914569198459
AZN,0.008090166709518742
PEP,0.007882337312706883
BIIB,0.006053532818920302
ADP,0.004155409749045871
LULU,0.0034082842398519405
REGN,0.00302041378840967
GILD,0.0018443478836554692
APP,0.0004456985467095453
TTWO,0.0
WDAY,0.0
WBA,0.0
CELG,0.0
CHTR,0.0
CCEP,0.0
CDNS,0.0
CDW,0.0
SIRI,0.0
RIVN,0.0
ROP,0.0
CERN,0.0
CHKP,0.0
ADI,0.0
ADSK,0.0
AMZN,0.0
ANSS,0.0
AEP,0.0
ALGN,0.0
ALNY,0.0
ALXN,0.0
AAL,0.0
QQQ,0.0
ABNB,0.0
BMRN,0.0
AXON,0.0
BKR,0.0
EA,0.0
CSGP,0.0
MNST,0.0
MDB,0.0
KDP,0.0
LBTYA,0.0
JBHT,0.0
MCHP,0.0
FTNT,0.0
HAS,0.0
KHC,0.0
INSM,0.0
JD,0.0
HON,0.0
ILMN,0.0
INCY,0.0
CTAS,0.0
CMCSA,0.0
GEHC,0.0
FI,0.0
FOX,0.0
FOXA,0.0
FER,0.0
FAST,0.0
EXPE,0.0
FANG,0.0
GFS,0.0
DLTR,0.0
CTXS,0.0
CTSH,0.0
EXC,0.0
EBAY,0.0
CPRT,0.0
CSCO,0.0
WYNN,0.0
WTW,0.0
VSNT,0.0
UAL,0.0
TRI,0.0
VRSN,0.0
SGEN,0.0
SHOP,0.0
PCAR,0.0
TTD,0.0
LBTYK,0.0
LIN,0.0
MDLZ,0.0
MAR,0.0
MPWR,0.0
MSFT,0.0
IDXX,0.0
HSIC,0.0
OKTA,0.0
ORLY,0.0
NTES,0.0
PYPL,0.0
PAYX,0.0
ON,0.0
ROST,0.0
ODFL,0.0
NXPI,0.0
NTAP,0.0
NLOK,0.0
MYL,0.0
MXIM,0.0
MTCH,0.0
XEL,0.0
WMT,0.0
TEAM,0.0
TCOM,0.0
SWKS,0.0
SPLK,0.0
VRSK,0.0
ULTA,0.0
SOLS,0.0
SNPS,0.0
TXN,-0.00027728426031225394
GOOGL,-0.0003429509059545152
CSX,-0.0008079181489092147
CEG,-0.00194301334762498
INTC,-0.0023559074133488044
ISRG,-0.004238087109589571
LCID,-0.004629356678502311
BKNG,-0.006251967393294196
ATVI,-0.007494657673538586
AVGO,-0.015120392864271307
MSTR,-0.015499175705435108
QCOM,-0.021152176408038487
DDOG,-0.02137856079567707
DXCM,-0.02429271712289958
ARM,-0.05583733129330706
COST,-0.06239062331395025
MRVL,-0.06660340745661282
ZS,-0.08115285899189341
ENPH,-0.09116533646601434
SMCI,-0.09282564070343337
PTON,-0.11400430265765585
BIDU,-0.13123633372322094
