symbol,net_pnl
TSLA,0.7232100277871291
NVDA,0.5863432197885207
MRNA,0.4215725550305982
ZM,0.38245496121746075
PLTR,0.3492714948462011
WDC,0.3372637688593527
MU,0.3339380776018947
CRWD,0.189214249430651
MSTR,0.16197942797914797
APP,0.08977179517669262
DOCU,0.0830370905743994
ADBE,0.07918877393545995
META,0.07762360711406319
CEG,0.06927250363925337
PDD,0.06876689214075482
ASML,0.06738019798170439
AMD,0.06588241123677864
AMAT,0.059184172846702014
MELI,0.058129118578541535
WBD,0.05736325884211858
ARM,0.05308704062472787
REGN,0.05045076500866166
VRTX,0.04841109748738475
AVGO,0.03335093756837082
DXCM,0.02683299275035636
INTU,0.024003824798347857
ADP,0.022026394538653276
AAPL,0.011718647242560429
STX,0.011239896060873774
TMUS,0.008569921617296422
AMGN,0.003065850591007157
INTC,0.002545127875160576
ALXN,0.0
ABNB,0.0
ALNY,0.0
QQQ,0.0
AAL,0.0
WDAY,0.0
UAL,0.0
TTWO,0.0
CHTR,0.0
CDW,0.0
CDNS,0.0
CERN,0.0
CHKP,0.0
BIIB,0.0
CCEP,0.0
BKR,0.0
BMRN,0.0
AXON,0.0
AZN,0.0
ANSS,0.0
CELG,0.0
ADSK,0.0
ALGN,0.0
AMZN,0.0
ADI,0.0
AEP,0.0
GFS,0.0
FTNT,0.0
FOXA,0.0
DLTR,0.0
CTAS,0.0
CTSH,0.0
CMCSA,0.0
CSX,0.0
CSGP,0.0
CPRT,0.0
CSCO,0.0
LBTYA,0.0
KLAC,0.0
KHC,0.0
LBTYK,0.0
MCHP,0.0
LIN,0.0
HSIC,0.0
HAS,0.0
INSM,0.0
ISRG,0.0
JBHT,0.0
JD,0.0
KDP,0.0
ILMN,0.0
INCY,0.0
HON,0.0
MNST,0.0
MPWR,0.0
MDB,0.0
FANG,0.0
FER,0.0
FAST,0.0
FI,0.0
FOX,0.0
GOOGL,0.0
GEHC,0.0
IDXX,0.0
CTXS,0.0
EA,0.0
EXPE,0.0
EXC,0.0
EBAY,0.0
WYNN,0.0
WBA,0.0
WTW,0.0
TXN,0.0
ROST,0.0
ROP,0.0
SIRI,0.0
SNDK,0.0
LULU,0.0
MAR,0.0
MSFT,0.0
MRVL,0.0
MDLZ,0.0
OKTA,0.0
MYL,0.0
MTCH,0.0
SBUX,0.0
SGEN,0.0
ON,0.0
PCAR,0.0
QCOM,0.0
PYPL,0.0
RIVN,0.0
PAYX,0.0
SHOP,0.0
NTES,0.0
NXPI,0.0
ODFL,0.0
ORLY,0.0
NLOK,0.0
NTAP,0.0
MXIM,0.0
XLNX,0.0
XEL,0.0
TEAM,0.0
WMT,0.0
VRSN,0.0
VSNT,0.0
VRSK,0.0
ULTA,0.0
TTD,0.0
TCOM,0.0
SOLS,0.0
TRI,0.0
SWKS,0.0
SPLK,0.0
SNPS,0.0
PEP,-0.002636152019757626
LRCX,-0.0038099110628772525
ATVI,-0.0074412545758792015
DASH,-0.00746777203634054
NFLX,-0.010465590184372028
BKNG,-0.021707315160393124
GILD,-0.025939608068622264
GOOG,-0.028527742941487796
COST,-0.039001728229398465
PANW,-0.0395148438594008
DDOG,-0.046742626517799354
ZS,-0.053794604224810416
LCID,-0.06202019782834818
PTON,-0.07622401554523346
BIDU,-0.10585387043848056
ENPH,-0.11524372009461749
SMCI,-0.14014969419726994
