symbol,net_pnl
STX,0.04928951529659512
WDC,0.04291337927019673
PLTR,0.03975774513274353
MCK,0.0391234245582802
SNDK,0.03625454213339966
MU,0.03598247081768753
MPC,0.03590918033140137
WMT,0.035555433477747075
RTX,0.034678773024729895
LLY,0.0346519091660517
APH,0.029522075410569722
FI,0.02445796621690559
FDX,0.024374122395657907
PWR,0.022467188314152526
CVX,0.02210798564395111
MRO,0.0192282065582143
CI,0.019136190900315923
NVDA,0.018420957583583773
APA,0.017646432155828076
IBM,0.01741044603941462
TER,0.016709939900096296
META,0.01631039182381354
GE,0.016228232297434628
AVGO,0.0158294863029411
LVS,0.015337160360477747
DHI,0.015213542711529823
MSI,0.014914998868101572
ALGN,0.014450523796572287
BIIB,0.01242472407302005
ORCL,0.0120138816876555
VRTX,0.011927716473295479
HAL,0.010864561841821373
PGR,0.010502273287370401
JPM,0.009678974328281395
AXP,0.009271706766871241
MMC,0.008815317803747802
EQT,0.008586193240985666
AFL,0.008028805560550762
LRCX,0.007980239503211074
EBAY,0.007800909506144803
CRM,0.0077932732996244146
CTRA,0.007791817213424593
LHX,0.007780709615655146
DLTR,0.007666544093430409
TRGP,0.0075364037017943645
ADBE,0.007423852783199542
FTNT,0.0071847105388652575
AMAT,0.007013847731522549
DASH,0.006831431279527934
BK,0.0067555485849432
MO,0.006667534204342354
ADP,0.006651789127745189
PSX,0.006647982676526722
NRG,0.006624073680696856
GEV,0.006521270789855249
ANET,0.006493259610969546
LITE,0.006411509719350889
XOM,0.006384780917365905
CERN,0.005907466092796602
WELL,0.005800901106066849
TTWO,0.005648232074735668
TPR,0.00561942076593658
AMZN,0.005517620712084295
GIS,0.005510179207475708
INTU,0.005155766430109481
OXY,0.00498625080345174
ECL,0.004881220840649986
PCAR,0.004792426463498694
SRE,0.004751308913164157
COR,0.004706962445101947
VLO,0.004507468066812153
HES,0.004480801310793527
JCI,0.004469444439803818
UBER,0.0044224770350353385
DPZ,0.00392285949956463
MMM,0.0037512450824641903
AON,0.0037397347297102165
CME,0.0036340185633747185
SO,0.00337667485789013
C,0.003325982393813016
HLT,0.0032141268904168734
GD,0.003154769207464245
T,0.0029463337348585245
