symbol,net_pnl
GLD,0.29246665704081926
TQQQ,0.18702762894158484
QQQ,0.11461336239125025
SMH,0.0999534242122341
DIA,0.04980527853085935
HYG,0.036693123499137566
TLT,0.026351490565453904
XLK,0.019544087951815812
XLI,0.015820249555516537
XLF,0.00626284649619754
SOXL,0.0052529449896699726
SPY,0.0006428622453026495
XLRE,0.0
SHY,0.0
SOXS,0.0
BIL,0.0
XLY,0.0
XLC,0.0
USO,0.0
XLB,0.0
XLP,0.0
IWM,-0.0045519207883388405
XLV,-0.09212044831139482
XLE,-0.09254059172769374
XLU,-0.14566640846648526
SQQQ,-0.29843105194696734
ARKK,-0.3079726641482309
