symbol,net_pnl
SOXL,1.0751677952710328
TQQQ,0.42329283156911435
SMH,0.30256817909092654
XLE,0.1727576577577463
QQQ,0.1432481969855331
GLD,0.12142781818542375
XLK,0.08295870995617628
USO,0.0351105596453857
HYG,0.020542989290405392
XLY,0.013524175983425282
IWM,0.007470601981734343
XLP,0.0066786342845452035
XLF,0.002874070029589595
XLV,0.0009624737189000009
XLB,0.0
BIL,0.0
XLRE,0.0
XLC,0.0
SHY,0.0
SPY,-0.0035542726039684406
DIA,-0.00996839469460988
XLI,-0.010629877920852602
SOXS,-0.014693815195657513
TLT,-0.025022330374954726
XLU,-0.028281003726322116
ARKK,-0.07584897434803826
SQQQ,-0.17174836352953737
