symbol,net_pnl
NVDA,0.34399673638390266
TSLA,0.32439126380243044
PLTR,0.22729608833531045
ZM,0.22573868686367196
WDC,0.20441377844769354
MRNA,0.19371262106204895
STX,0.19247988846251954
MU,0.16078983476857997
AVGO,0.09476905471098311
WBD,0.09379153975518584
NFLX,0.09044045545022175
TMUS,0.07418601671071273
AMAT,0.07080437504195372
META,0.06604920491083884
INTC,0.0652959247268871
INTU,0.0638592000603499
PDD,0.05113358120914104
DOCU,0.04655589710230967
LRCX,0.04588707426819937
GOOG,0.039634466653711196
VRTX,0.034482988911830624
SNDK,0.03424345560619404
ADBE,0.03201031442265754
CRWD,0.030048920955675018
ISRG,0.025010902137271813
AMD,0.020109382188619258
DXCM,0.018944329555435273
GILD,0.018293462583163632
GOOGL,0.01664972673514066
REGN,0.014202250434521856
AZN,0.01165616440487268
MSTR,0.010917615739505367
ASML,0.010868930889138605
ADP,0.008126869210733911
ABNB,0.0076119912014493
MCHP,0.006748271132234378
PYPL,0.006189119756499811
MELI,0.00589951383763013
TXN,0.0037792976044327487
JD,0.003545571719389914
NXPI,0.003207408323716745
EBAY,0.002390212147631523
BKNG,0.0006041456120265467
TTD,0.0
UAL,0.0
PAYX,0.0
TCOM,0.0
SPLK,0.0
TRI,0.0
VRSN,0.0
ROST,0.0
SHOP,0.0
SIRI,0.0
ADSK,0.0
AEP,0.0
ALGN,0.0
AXON,0.0
BMRN,0.0
BKR,0.0
CDNS,0.0
ANSS,0.0
ALNY,0.0
QQQ,0.0
AAL,0.0
CHKP,0.0
CELG,0.0
CDW,0.0
CERN,0.0
CCEP,0.0
WYNN,0.0
WBA,0.0
MPWR,0.0
LBTYA,0.0
JBHT,0.0
GFS,0.0
KHC,0.0
KDP,0.0
FANG,0.0
INSM,0.0
ILMN,0.0
INCY,0.0
IDXX,0.0
HAS,0.0
FTNT,0.0
FOXA,0.0
GEHC,0.0
FI,0.0
FAST,0.0
FOX,0.0
FER,0.0
EXC,0.0
EXPE,0.0
CMCSA,0.0
DLTR,0.0
EA,0.0
CTSH,0.0
CTXS,0.0
CTAS,0.0
CSGP,0.0
CPRT,0.0
CSCO,0.0
XEL,0.0
WMT,0.0
WTW,0.0
ULTA,0.0
VRSK,0.0
VSNT,0.0
SOLS,0.0
SNPS,0.0
TTWO,0.0
SWKS,0.0
NTES,0.0
ODFL,0.0
LBTYK,0.0
LIN,0.0
MAR,0.0
MNST,0.0
HON,0.0
HSIC,0.0
ON,0.0
ORLY,0.0
PCAR,0.0
ROP,0.0
RIVN,0.0
OKTA,0.0
SGEN,0.0
NLOK,0.0
MXIM,0.0
MTCH,0.0
NTAP,0.0
MYL,0.0
CEG,-7.783784770152072e-05
SBUX,-0.0009911812138765474
DASH,-0.0011883997232998138
MSFT,-0.0012852915377221889
PANW,-0.00208547418555775
ADI,-0.0021143908936788725
CHTR,-0.0021446225244870477
APP,-0.0029150624917658272
PEP,-0.003581048363251142
ATVI,-0.0037191149620768218
KLAC,-0.0037488374923736367
ALXN,-0.005772402264714637
WDAY,-0.006945958329189792
TEAM,-0.011130361928230413
CSX,-0.011978707704360965
XLNX,-0.013386465740206707
QCOM,-0.014111918543072784
BIIB,-0.014796256061351463
AAPL,-0.019269590897458656
AMZN,-0.022384802621474017
COST,-0.02354375331984246
MDB,-0.024494959784889615
MDLZ,-0.0286702306221525
AMGN,-0.03118986081335404
LCID,-0.04066312200578191
MRVL,-0.04358160837881785
ZS,-0.04986716530467952
DDOG,-0.05269844777258902
ARM,-0.055149371686488716
BIDU,-0.05893848167353101
LULU,-0.05956643933405126
SMCI,-0.07028718220667055
ENPH,-0.07046577131593687
PTON,-0.09789904446249384
