symbol,net_pnl
NVDA,0.38609476161046624
TSLA,0.35504457677831314
MRNA,0.24980578151511967
PLTR,0.22729608833531045
ZM,0.22573868686367196
WDC,0.20441377844769354
MU,0.20293031940004222
STX,0.19247988846251954
WBD,0.09379153975518584
PDD,0.08770056484813409
AMAT,0.07324218469318047
INTU,0.06549631414431481
INTC,0.0652959247268871
REGN,0.05279201808254064
MSTR,0.05262513238059703
META,0.05202952572157307
TMUS,0.05063375325849797
CRWD,0.04963279654460151
DOCU,0.04655589710230967
NFLX,0.046259503899641646
GOOG,0.04154976751362366
AMD,0.040792511316461
AVGO,0.03732735856471541
SNDK,0.03424345560619404
PANW,0.031954417590457085
VRTX,0.03131579420509919
GILD,0.027493235853706922
APP,0.02650614694556478
ADBE,0.024911283111674936
ISRG,0.02119174612596164
GOOGL,0.02070192075594578
ASML,0.020483966669844915
DXCM,0.018944329555435273
JD,0.012165473967679256
BKNG,0.010012314939448166
SBUX,0.008825064052904062
MELI,0.008730030833975935
CEG,0.00837954574473903
ADP,0.0063079023162644215
PYPL,0.006189119756499811
NXPI,0.004842024681007731
AZN,0.0035782710882178545
MAR,0.003538259589089101
SWKS,0.0029584451691264104
QCOM,0.002622044671076809
EBAY,0.002390212147631523
CSX,0.0023070820823682453
PEP,0.0013402390127222304
TXN,0.00042712374376746305
PCAR,0.0
NLOK,0.0
TCOM,0.0
ROST,0.0
ADSK,0.0
AEP,0.0
ALNY,0.0
ALGN,0.0
BMRN,0.0
BKR,0.0
ANSS,0.0
CELG,0.0
QQQ,0.0
AAL,0.0
CERN,0.0
CCEP,0.0
CDW,0.0
CDNS,0.0
AXON,0.0
CHKP,0.0
WYNN,0.0
SIRI,0.0
SGEN,0.0
SHOP,0.0
RIVN,0.0
ROP,0.0
PAYX,0.0
MNST,0.0
INSM,0.0
LBTYA,0.0
KHC,0.0
KDP,0.0
FOX,0.0
GFS,0.0
FTNT,0.0
FOXA,0.0
GEHC,0.0
FI,0.0
FAST,0.0
EA,0.0
FER,0.0
EXC,0.0
EXPE,0.0
FANG,0.0
DLTR,0.0
CTAS,0.0
CTSH,0.0
CTXS,0.0
CSGP,0.0
CSCO,0.0
CPRT,0.0
CMCSA,0.0
XEL,0.0
WBA,0.0
WTW,0.0
UAL,0.0
VRSN,0.0
VSNT,0.0
VRSK,0.0
ULTA,0.0
WMT,0.0
TTD,0.0
SPLK,0.0
TRI,0.0
TTWO,0.0
MPWR,0.0
LBTYK,0.0
LIN,0.0
HON,0.0
HSIC,0.0
HAS,0.0
IDXX,0.0
JBHT,0.0
ILMN,0.0
INCY,0.0
MYL,0.0
ORLY,0.0
ON,0.0
OKTA,0.0
ODFL,0.0
NTES,0.0
NTAP,0.0
MXIM,0.0
MTCH,0.0
SOLS,0.0
ABNB,-4.332742497404667e-05
MSFT,-0.00039021257694785963
ATVI,-0.0013563570556688507
CHTR,-0.002511118314424641
MCHP,-0.003549554747173152
SNPS,-0.0053581504926515245
ALXN,-0.005772402264714637
WDAY,-0.006945958329189792
ARM,-0.00750558972047787
MDLZ,-0.00792755030758
ADI,-0.009339344992788616
TEAM,-0.011130361928230413
BIIB,-0.014463233376175617
LRCX,-0.014740723588705765
LULU,-0.01655603510012944
DASH,-0.016766158748948833
AMZN,-0.022384802621474017
MDB,-0.024494959784889615
AMGN,-0.02462770875791636
DDOG,-0.02591852513888121
XLNX,-0.026253377857750403
KLAC,-0.029545374696685823
MRVL,-0.041450900978313714
BIDU,-0.042913924850081324
COST,-0.04529790576101015
ZS,-0.050579293530436054
ENPH,-0.05725199540860706
LCID,-0.0663153374458038
AAPL,-0.08119435653570897
PTON,-0.08661389288183001
SMCI,-0.1031605877532406
